Governor,,,,,,,,,,,,,,,,,,,,,,,
,,J. NATHAN DEAL(I)(R),,,,,,,JASON J. CARTER (D),,,,,,,ANDREW T. HUNT (L),,,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Advance in Person 3,Provisional,Total Votes,Total
LAKESIDE HIGH,2669,500,69,14,231,10,0,824,590,54,15,205,23,0,887,32,2,0,5,0,0,39,1750
LAVISTA,2108,269,12,5,27,38,0,351,410,30,40,51,41,2,574,22,5,1,1,0,0,29,954
LAVISTA ROAD,1752,282,20,10,29,11,1,353,465,31,28,73,14,1,612,27,0,1,1,1,0,30,995
LIN-MARY LIN ELEM,2567,0,17,16,32,3,0,68,6,55,80,125,4,1,271,0,3,1,6,0,0,10,349
LITHONIA,1018,28,5,3,1,0,0,37,234,27,73,21,25,0,380,6,1,0,0,0,0,7,424
LITHONIA HIGH,2379,20,1,2,2,2,0,27,650,23,213,82,117,3,1088,9,2,0,1,0,0,12,1127
LIVSEY ELEM,1235,247,13,4,158,2,0,424,214,10,1,142,5,1,373,15,0,2,8,0,0,25,822
MARBUT ELEM,3243,16,1,6,0,4,0,27,756,32,346,100,224,3,1461,10,1,1,0,2,0,14,1502
MATHIS-BOB MATHIS ELEM,2343,44,4,17,16,0,0,81,641,26,160,539,11,4,1381,11,0,0,3,0,0,14,1476
MCLENDON,1857,139,3,15,9,1,0,167,483,22,106,60,1,2,674,22,1,2,1,0,0,26,867
MCNAIR ACADEMY,1545,26,1,4,4,0,0,35,447,41,145,120,2,0,755,9,0,1,0,0,0,10,800
MCNAIR HIGH,2893,71,2,4,7,0,0,84,757,71,165,288,14,5,1300,16,0,0,0,0,0,16,1400
MCNAIR MIDDLE,1886,17,0,1,11,0,0,29,430,50,165,171,4,4,824,12,0,1,1,0,0,14,867
MCWILLIAMS,1702,22,1,6,2,4,0,35,548,18,176,167,33,1,943,3,0,1,1,3,0,8,986
MEADOWVIEW ELEM,2695,38,5,5,8,0,0,56,712,33,149,383,4,6,1287,7,0,1,5,0,0,13,1356
MEDLOCK ELEM,1848,220,14,17,40,2,1,294,576,23,75,94,10,2,780,21,5,2,4,0,0,32,1106
MEMORIAL NORTH,2360,79,11,37,15,0,2,144,415,20,314,26,3,2,780,15,4,1,0,0,0,20,944
MEMORIAL SOUTH,1454,36,0,15,3,0,0,54,264,6,173,17,3,0,463,11,0,0,0,0,0,11,528
METROPOLITAN,2289,65,3,8,3,0,0,79,810,32,119,73,3,1,1038,29,1,2,1,0,0,33,1150
MIDVALE ELEM,1725,352,36,3,283,1,0,675,238,20,6,208,2,0,474,23,3,0,4,0,0,30,1179
MIDVALE ROAD,2372,353,16,2,157,5,0,533,450,21,41,234,7,1,754,25,3,0,3,0,2,33,1320
MIDWAY ELEM,2247,42,9,16,3,0,0,70,497,33,257,47,2,2,838,12,0,5,4,0,0,21,929
MILLER-ELDRIDGE L. MILLER ELEM,2526,54,9,18,5,1,1,88,624,33,411,41,82,5,1196,8,0,3,0,0,0,11,1295
MILLER GROVE HIGH,2300,22,2,5,3,3,0,35,852,29,187,107,92,5,1272,13,0,2,0,0,0,15,1322
MILLER GROVE MIDDLE,3006,17,3,7,3,1,0,31,702,25,225,132,113,2,1199,6,0,2,1,0,0,9,1239
MILLER GROVE ROAD,1797,29,1,12,4,0,0,46,627,18,177,173,59,0,1054,3,0,0,0,0,0,3,1103
MONTCLAIR ELEM,1399,58,4,2,3,9,0,76,262,7,30,33,76,2,410,9,1,0,0,1,0,11,497
MONTGOMERY ELEM,2041,404,55,8,6,229,1,703,271,25,8,7,157,0,468,32,2,0,0,5,1,40,1211
MONTREAL,1344,182,11,6,52,1,0,252,295,10,48,90,1,1,445,16,0,0,2,0,0,18,715
MT. VERNON EAST,2216,856,40,7,16,106,0,1025,281,26,9,21,48,0,385,25,3,0,0,0,0,28,1438
MT. VERNON WEST,1930,582,39,3,22,81,0,727,320,37,5,10,50,1,423,20,1,0,0,4,0,25,1175
NORTH DECATUR,1342,88,10,14,7,0,0,119,272,24,106,64,2,3,471,11,0,4,2,0,0,17,607
NORTH HAIRSTON,1663,61,6,22,17,0,0,106,390,13,197,60,5,3,668,10,0,2,0,1,0,13,787
NORTH PEACHTREE,1469,250,13,0,4,28,0,295,283,7,7,10,62,0,369,17,0,0,0,0,0,17,681
NORTHLAKE,1244,252,11,6,63,3,0,335,318,19,13,84,0,1,435,19,0,0,4,0,0,23,793
OAK GROVE ELEM,1874,389,39,7,74,22,0,531,425,23,22,100,28,1,599,25,3,0,1,0,0,29,1159
OAK VIEW ELEM,3621,31,3,2,15,0,0,51,941,32,170,660,16,6,1825,6,0,1,4,0,0,11,1887
OAKCLIFF ELEM,1301,151,9,4,8,25,0,197,249,14,10,21,25,0,319,16,2,1,0,3,0,22,538
OAKHURST,2499,159,4,7,8,0,0,178,1012,53,133,163,7,2,1370,22,1,1,0,0,0,24,1572
PANOLA,1165,25,2,10,3,4,1,45,323,11,165,32,116,2,649,4,0,0,0,0,0,4,698
PANOLA ROAD,1561,0,4,3,0,2,0,9,3,50,176,74,62,5,370,0,0,0,0,1,0,1,380
PANOLA WAY ELEM,1542,8,1,9,0,7,0,25,310,4,117,42,116,3,592,5,0,0,0,2,0,7,624
PEACHCREST ELEM,1647,48,6,21,1,0,0,76,326,18,227,49,3,1,624,10,1,4,2,0,0,17,717
