"United States Senator, Chambliss",,,,,,,,,,,,,,,,,,,,
,,DAVID A. PERDUE (R),,,,,,M. MICHELLE NUNN (D),,,,,,AMANDA C. SWAFFORD (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person 1,Advance in Person 2,Provisional,Total Votes,Total
02D,2986,100,1,9,6,0,116,800,31,167,84,3,1085,16,0,2,0,0,18,1219
02E,1657,88,4,7,3,0,102,678,25,77,60,7,847,23,0,1,0,0,24,973
02F1,2350,138,1,9,12,3,163,726,23,76,56,10,891,22,0,0,1,0,23,1077
02F2,552,16,0,1,0,0,17,123,7,24,22,1,177,7,0,0,0,0,7,201
02G,2584,109,8,12,10,0,139,731,25,146,74,4,980,18,0,3,0,0,21,1140
02J,1885,108,0,18,5,1,132,598,1,68,29,16,712,18,0,2,0,0,20,864
02K,1206,73,1,7,2,0,83,370,5,58,8,0,441,16,0,0,1,0,17,541
02L1,4462,236,2,35,23,12,308,911,14,298,79,36,1338,38,0,4,0,1,43,1689
02L2,861,65,5,7,9,4,90,155,10,51,27,8,251,5,0,0,1,0,6,347
02S,620,10,0,1,0,0,11,182,6,26,14,1,229,5,0,1,0,0,6,246
02W,378,17,1,2,0,0,20,79,1,14,6,0,100,2,0,0,0,0,2,122
03A,1609,8,1,0,2,0,11,359,4,29,127,3,522,1,0,0,0,0,1,534
03B,446,2,0,0,0,0,2,80,5,9,19,2,115,0,0,0,0,0,0,117
03C,1300,7,0,0,0,0,7,325,1,32,138,4,500,0,0,0,0,0,0,507
03D,803,1,0,0,1,0,2,155,8,13,80,16,272,3,0,0,1,2,6,280
03E,1615,5,0,1,1,0,7,349,1,45,134,5,534,2,0,0,2,1,5,546
03F,1463,78,3,10,8,0,99,276,8,59,44,1,388,13,1,0,3,0,17,504
03G,513,5,0,0,0,0,5,116,2,9,32,3,162,1,0,1,0,0,2,169
03H,798,1,0,0,3,0,4,129,10,13,86,7,245,1,1,0,0,0,2,251
03I,1080,63,2,5,2,3,75,178,4,9,8,3,202,11,1,1,0,1,14,291
03L,492,2,0,0,1,0,3,108,0,6,23,4,141,1,0,0,1,0,2,146
03M,682,57,0,0,1,1,59,156,4,13,13,5,191,19,0,0,0,0,19,269
03N,1758,6,0,1,1,1,9,351,9,40,73,8,481,7,0,0,0,0,7,497
03P1A,2357,71,1,8,3,1,84,392,8,90,49,4,543,13,0,1,3,1,18,645
03P2,32,0,0,0,0,0,0,10,0,0,1,0,11,0,0,0,0,0,0,11
03S,583,2,0,0,2,0,4,144,8,10,67,1,230,3,0,0,0,0,3,237
03T,1308,12,0,7,1,1,21,346,8,49,66,7,476,7,1,0,1,0,9,506
04A,1024,7,0,0,1,0,8,202,12,31,106,1,352,5,0,0,0,0,5,365
04B,1757,9,2,3,1,0,15,217,12,57,43,3,332,6,0,0,0,0,6,353
04C,101,1,0,0,0,0,1,18,1,2,16,1,38,1,0,0,0,0,1,40
04D,1190,7,0,0,2,0,9,307,15,25,171,3,521,4,0,0,0,0,4,534
04F,1736,36,1,3,2,0,42,377,11,83,41,11,523,7,0,0,0,1,8,573
04G,592,2,1,0,1,0,4,146,5,8,35,1,195,1,0,0,0,0,1,200
04I,2039,17,4,8,2,2,33,164,43,80,17,6,310,3,1,1,0,1,6,349
04J,908,0,0,0,1,0,1,95,2,12,15,5,129,0,0,0,0,0,0,130
04K,1889,20,0,3,3,1,27,503,22,72,153,12,762,3,0,0,0,1,4,793
04L,1233,14,0,1,2,1,18,341,7,27,76,4,455,3,0,0,2,0,5,478
04M,580,5,0,1,0,0,6,155,2,11,22,2,192,2,0,0,0,0,2,200
04S,1792,10,0,0,3,0,13,587,19,36,193,5,840,6,0,0,1,0,7,860
04T,922,3,0,0,1,0,4,311,7,24,76,3,421,1,0,0,0,0,1,426
04V,2123,9,0,1,2,1,13,493,15,60,100,3,671,5,0,0,0,0,5,689
04W,1434,7,0,0,0,2,9,130,2,8,8,112,260,5,0,0,1,1,7,276
04X1,1508,4,1,1,3,0,9,457,11,46,153,3,670,2,0,2,0,0,4,683
04X2,595,6,0,1,0,0,7,129,13,14,43,1,200,2,0,0,0,0,2,209
05A1,1966,76,2,4,2,3,87,656,34,57,56,9,812,21,1,0,1,0,23,922
05A2,2051,91,3,5,2,1,102,629,13,79,77,2,800,20,0,0,0,0,20,922
05B,1372,17,0,0,2,0,19,330,13,57,58,12,470,9,0,3,1,0,13,502
05C,93,0,0,0,0,0,0,18,0,4,0,1,23,1,0,0,0,0,1,24
05D,243,1,0,1,0,0,2,20,0,13,1,2,36,0,0,0,0,0,0,38
05F,12,0,0,1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,1,4
05J,468,25,1,2,2,0,30,171,1,26,13,0,211,3,0,0,0,0,3,244
05K,1806,24,2,5,1,0,32,390,10,94,39,5,538,8,0,0,0,0,8,578
06B,1566,141,4,10,2,1,158,489,16,45,29,1,580,15,0,0,0,0,15,753
06D,2611,236,16,27,19,1,299,628,23,100,61,4,816,23,0,2,1,0,26,1141
06E,1869,156,9,14,4,0,183,467,21,79,39,1,607,7,0,1,1,0,9,799
06F,2362,241,6,17,9,0,273,719,18,79,35,3,854,15,1,1,0,0,17,1144
06G,400,28,1,6,1,0,36,132,2,21,9,1,165,3,0,0,0,0,3,204
06H,1530,257,10,16,14,0,297,568,10,46,26,0,650,15,1,0,0,0,16,963
06I,2395,131,5,16,9,1,162,389,11,80,44,8,532,7,0,0,0,1,8,702
06J,2310,257,13,13,10,2,295,758,45,93,39,5,940,17,4,1,0,0,22,1257
06L1,796,104,5,7,16,0,132,282,20,37,38,0,377,3,0,0,0,0,3,512
06L2,612,110,1,12,12,1,136,188,8,21,26,2,245,3,0,0,1,0,4,385
06N,1754,243,6,25,62,0,336,294,19,58,73,4,448,9,2,0,0,0,11,795
06Q,422,11,1,1,1,0,14,72,3,13,10,0,98,0,0,1,0,0,1,113
06R,1473,156,10,15,15,1,197,456,36,70,43,1,606,7,0,0,1,0,8,811
06S,2935,379,25,41,19,0,464,998,71,152,79,0,1300,21,0,1,0,0,22,1786
07A,4524,791,56,307,50,13,1217,588,63,245,43,13,952,20,2,1,0,1,24,2193
07B,2526,772,54,198,24,15,1063,299,18,97,20,10,444,13,0,2,0,0,15,1522
07C,3220,539,148,172,26,0,885,426,102,128,20,0,676,14,0,0,0,0,14,1575
07D,3231,520,17,61,37,7,642,420,25,90,30,15,580,22,0,1,0,0,23,1245
07E,1662,181,19,71,25,0,296,311,26,116,46,2,501,6,0,1,0,0,7,804
07F,2411,468,18,55,61,12,614,407,21,59,53,16,556,13,0,0,3,0,16,1186
07H,1738,391,19,33,81,1,525,360,21,46,76,0,503,10,0,1,1,0,12,1040
07J,2398,429,4,31,45,7,516,446,19,42,69,24,600,9,0,2,1,1,13,1129
07M,1856,237,18,27,4,6,292,289,11,47,20,5,372,10,1,0,1,1,13,677
07N,1518,88,5,11,4,0,108,228,18,68,34,2,350,12,3,1,0,1,17,475
08A,2537,537,56,117,171,1,882,286,17,70,129,4,506,12,0,0,3,0,15,1403
08B,2902,558,27,436,22,1,1044,277,20,206,7,1,511,17,0,9,1,0,27,1582
08C,1241,274,66,200,46,0,586,87,13,64,15,0,179,1,0,1,0,0,2,767
08D,937,238,27,24,158,28,475,91,15,9,66,19,200,1,0,0,1,0,2,677
08E,2262,604,48,52,295,0,999,323,28,31,128,1,511,11,2,0,2,0,15,1525
08F1,1922,543,42,50,266,0,901,235,17,20,83,0,355,17,0,0,0,0,17,1273
08G,2340,378,37,49,61,4,529,350,48,48,60,3,509,8,0,0,0,0,8,1046
08H,2130,494,41,62,262,2,861,262,33,63,138,2,498,3,0,0,1,0,4,1363
08J,2269,575,24,48,194,1,842,287,24,29,147,3,490,11,0,0,2,0,13,1345
08K,885,163,3,3,21,3,193,133,3,17,35,0,188,7,0,1,0,0,8,389
08L,2982,384,23,45,75,1,528,527,41,92,108,4,772,20,2,2,2,0,26,1326
08M,1321,390,29,64,124,3,610,147,2,33,63,2,247,6,0,1,1,0,8,865
08N1,703,205,11,12,95,1,324,71,4,5,42,1,123,0,0,0,4,0,4,451
08N2,981,189,36,0,102,0,327,124,39,9,79,0,251,4,1,0,0,0,5,583
08P,1062,99,3,6,14,1,123,215,7,39,50,1,312,6,0,0,0,1,7,442
09A,2552,313,8,7,34,5,367,562,19,58,110,9,758,29,0,0,1,1,31,1156
09B,337,1,0,0,0,1,2,78,3,7,25,6,119,1,0,0,0,0,1,122
09C,2380,14,2,0,5,0,21,625,45,40,405,4,1119,3,2,0,4,0,9,1149
09D,1612,7,0,0,0,0,7,437,30,18,144,1,630,2,0,1,2,0,5,642
09E,1904,26,0,2,0,0,28,514,21,40,138,7,720,6,1,0,0,0,7,755
09F,2909,606,19,41,166,6,838,532,26,48,129,4,739,26,1,3,1,0,31,1608
09G1,377,32,0,2,0,0,34,88,2,13,8,2,113,3,0,0,0,0,3,150
09G2,1925,199,7,13,32,0,251,394,11,37,82,4,528,10,1,0,2,0,13,792
09H,746,47,2,3,4,0,56,174,1,12,21,1,209,4,0,0,0,0,4,269
09I,1136,4,0,1,3,0,8,286,16,23,88,3,416,0,0,0,0,0,0,424
09K,2102,5,1,3,0,0,9,471,8,19,107,7,612,2,0,0,0,0,2,623
09L,1479,18,0,4,1,0,23,381,10,18,128,1,538,3,0,0,1,0,4,565
09M,1478,204,2,3,13,2,224,384,4,18,56,2,464,25,0,0,1,0,26,714
10A,2388,5,1,0,3,2,11,696,30,39,564,11,1340,5,0,0,5,0,10,1361
10B,555,4,0,0,3,1,8,168,9,14,167,1,359,1,0,0,1,0,2,369
10C,2071,2,3,0,2,0,7,413,50,23,283,8,777,3,0,0,0,1,4,788
10D,3386,7,1,1,5,1,15,587,46,25,705,11,1374,6,0,0,7,0,13,1402
10E,790,0,0,0,0,0,0,256,28,12,152,0,448,2,0,0,2,0,4,452
10F,897,10,0,0,2,0,12,286,34,20,131,1,472,1,0,0,1,0,2,486
10G,1076,11,0,0,4,0,15,311,16,17,286,5,635,2,0,0,0,0,2,652
10H,2106,17,0,0,1,0,18,485,36,25,342,11,899,3,0,0,2,0,5,922
10I,316,3,0,0,3,0,6,93,12,12,88,0,205,0,0,0,1,0,1,212
10J,742,3,0,0,0,0,3,215,13,13,69,1,311,1,0,0,2,0,3,317
10K,1274,11,1,0,2,0,14,436,26,42,218,4,726,0,0,2,2,0,4,744
10L,2571,23,1,0,2,0,26,736,49,58,676,5,1524,9,0,1,3,1,14,1564
10M,1998,13,2,2,0,0,17,560,22,47,249,4,882,10,0,0,2,0,12,911
10P,1150,2,0,0,2,0,4,322,29,9,142,2,504,2,0,0,0,0,2,510
10R,631,1,0,0,1,0,2,202,7,7,38,7,261,2,0,0,0,0,2,265
11B,3889,12,0,11,11,0,34,1004,48,205,813,22,2092,7,0,0,1,0,8,2134
11C,2231,9,0,0,17,0,26,384,30,97,820,3,1334,2,0,0,5,0,7,1367
11E1,899,13,2,2,2,0,19,228,6,52,112,21,419,1,0,0,0,0,1,439
11E2,720,6,0,1,1,0,8,235,2,44,114,0,395,4,0,0,0,0,4,407
11E3,2427,13,0,1,2,0,16,660,15,155,218,2,1050,3,0,0,0,0,3,1069
11G,1822,10,0,5,2,0,17,338,20,49,124,21,552,4,0,2,0,0,6,575
11H,564,3,0,0,1,0,4,188,5,13,74,2,282,1,0,0,0,0,1,287
11J,1457,7,3,0,3,0,13,449,36,51,196,1,733,0,2,0,0,0,2,748
11K,1516,12,2,1,4,1,20,497,25,45,284,2,853,2,0,1,1,0,4,877
11M,2573,9,1,0,2,0,12,675,21,74,371,5,1146,5,0,0,2,2,9,1167
11N,1846,6,0,0,10,0,16,529,31,82,432,4,1078,2,0,0,2,0,4,1098
11P,1538,7,0,1,3,0,11,449,42,36,177,2,706,1,1,1,2,0,5,722
11R,1475,3,0,0,0,0,3,323,1,27,105,2,458,4,0,0,1,0,5,466
12A,597,8,0,1,1,0,10,199,3,27,50,1,280,3,1,0,1,0,5,295
12B,1884,39,2,1,0,0,42,624,19,42,130,4,819,11,0,0,2,0,13,874
12C,1231,17,2,0,0,0,19,349,8,44,111,2,514,8,0,0,0,0,8,541
12D,961,4,0,0,2,0,6,263,6,25,36,12,342,2,0,0,1,0,3,351
12E1,1123,9,1,1,3,1,15,212,23,21,74,16,346,1,0,0,0,0,1,362
12F,709,3,0,0,0,0,3,199,3,20,43,2,267,5,0,0,1,0,6,276
12G,666,14,0,0,0,0,14,250,8,16,39,16,329,1,1,0,0,0,2,345
12H,2829,25,3,1,2,1,32,792,28,72,133,9,1034,4,0,0,2,0,6,1072
12I,782,1,0,0,1,0,2,160,25,27,68,11,291,0,1,0,1,0,2,295
12J,2093,17,1,3,1,0,22,608,13,44,112,11,788,3,0,1,0,0,4,814
12K,2249,27,0,0,4,1,32,611,4,57,102,9,783,7,0,0,0,0,7,822
12L,470,2,1,0,1,0,4,146,4,7,16,1,174,1,0,0,0,0,1,179
12M,230,1,0,0,0,0,1,95,2,5,7,0,109,0,0,0,0,0,0,110
12N,692,4,0,0,1,0,5,189,6,15,17,2,229,0,0,0,0,0,0,234
12S,1415,10,0,1,0,0,11,451,22,45,74,2,594,4,0,1,0,0,5,610
12T,1807,9,0,0,0,1,10,562,11,69,80,1,723,5,0,0,0,0,5,738
AP01A,1755,385,15,149,22,7,578,154,4,64,10,8,240,8,0,1,0,1,10,828
AP01B,648,66,1,15,11,0,93,63,3,29,10,0,105,7,1,0,0,0,8,206
AP01C,1900,396,34,199,10,0,639,166,12,114,6,1,299,11,1,3,0,0,15,953
AP01D,656,105,7,30,7,0,149,73,6,27,6,0,112,4,0,1,0,0,5,266
AP02B,356,24,42,21,3,0,90,21,25,14,1,0,61,2,0,0,0,0,2,153
AP03,640,52,2,6,0,0,60,114,0,26,3,1,144,6,0,1,0,0,7,211
AP04A,1349,370,36,76,105,2,589,117,4,26,41,0,188,16,0,1,0,0,17,794
AP04B,317,74,5,3,29,0,111,33,5,7,8,0,53,2,0,0,0,0,2,166
AP05,3703,909,39,392,28,3,1371,352,21,171,11,2,557,13,1,4,1,0,19,1947
AP06,1524,393,25,33,115,0,566,152,10,12,50,2,226,9,1,2,3,0,15,807
AP07A,2654,524,37,51,110,2,724,353,10,68,68,8,507,24,1,2,6,0,33,1264
AP07B,1219,279,23,23,109,0,434,111,7,20,39,0,177,5,1,0,1,0,7,618
AP09A,3603,651,42,355,24,5,1077,401,25,166,18,3,613,24,0,7,0,1,32,1722
AP09B,641,90,1,50,1,3,145,65,4,45,7,0,121,4,1,3,0,0,8,274
AP021,2304,447,25,43,155,9,679,228,11,40,87,7,373,22,1,0,7,0,30,1082
AP022,1755,305,28,52,79,1,465,195,21,49,67,0,332,19,1,0,5,0,25,822
AP10,849,217,11,4,84,1,317,79,2,12,30,0,123,12,0,0,2,0,14,454
AP12A,537,59,4,20,1,14,98,69,3,26,10,18,126,4,1,1,0,1,7,231
AP12B,646,49,2,9,2,0,62,79,3,21,8,1,112,2,0,0,0,0,2,176
AP12C,912,178,23,49,42,0,292,95,4,29,24,0,152,5,1,1,0,0,7,451
AP13,2168,366,17,211,7,8,609,198,15,111,5,4,333,11,0,3,0,0,14,956
AP14,2605,575,21,286,9,6,897,252,12,148,11,2,425,28,0,3,0,2,33,1355
CH01,190,16,0,3,3,0,22,35,0,7,7,1,50,1,0,1,0,0,2,74
CH02,260,54,0,0,3,0,57,57,2,19,19,0,97,0,0,0,0,0,0,154
CH03,272,104,2,7,2,0,115,41,0,4,6,0,51,1,0,2,0,0,3,169
CH04A,412,131,2,5,17,0,155,78,4,10,5,0,97,5,0,0,1,0,6,258
CH04B,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2
CH05,328,135,2,9,5,0,151,33,0,3,0,0,36,6,0,0,0,0,6,193
CP01B,335,29,1,7,8,0,45,66,1,4,25,0,96,4,0,0,1,0,5,146
CP011,893,59,2,7,40,0,108,181,6,12,122,0,321,3,0,0,3,0,6,435
CP012,957,78,3,7,45,1,134,196,5,21,155,21,398,2,1,0,1,0,4,536
CP02,813,36,3,6,21,0,66,144,20,19,100,0,283,6,0,0,2,0,8,357
CP04,117,0,0,0,1,0,1,11,1,0,10,0,22,0,0,0,0,0,0,23
CP05B,90,0,0,0,1,0,1,20,0,4,10,1,35,0,0,0,0,0,0,36
CP051,1379,9,5,6,3,0,23,395,1,101,177,1,675,2,0,0,0,0,2,700
CP06,369,1,0,1,0,0,2,55,0,8,30,0,93,0,0,0,0,0,0,95
CP07A,1077,5,0,0,0,0,5,143,1,26,38,3,211,2,0,0,0,0,2,218
CP07D,4,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,2
CP081,266,1,0,0,0,0,1,48,0,7,5,0,60,0,0,0,0,0,0,61
CP083,277,0,0,0,0,0,0,44,0,2,1,2,49,2,0,0,0,0,2,51
CP08A,444,0,0,0,0,0,0,61,0,6,10,6,83,3,0,0,0,0,3,86
EP01,4363,144,6,10,36,0,196,990,42,74,545,14,1665,19,0,2,9,0,30,1891
EP02,4425,155,1,10,29,0,195,1071,37,104,503,13,1728,20,0,0,5,0,25,1948
EP03,4829,73,10,13,33,0,129,1315,66,174,914,36,2505,10,0,2,7,0,19,2653
EP04,5058,41,3,7,15,0,66,1143,26,292,644,1,2106,12,0,1,2,0,15,2187
FA01A,6066,169,27,49,145,1,391,1151,50,528,834,17,2580,8,1,3,9,0,21,2992
FA01B,506,6,1,1,1,0,9,96,7,52,70,2,227,1,0,1,3,0,5,241
HP01,2479,339,6,14,8,1,368,534,17,47,83,7,688,25,2,0,2,0,29,1085
JC01,3829,687,39,250,5,6,987,464,24,190,0,8,686,8,1,5,0,0,14,1687
JC02,1383,228,11,118,2,3,362,159,4,76,2,2,243,8,0,1,0,0,9,614
JC03A,462,94,2,40,0,0,136,54,1,21,0,0,76,1,0,0,0,0,1,213
JC03B,1156,220,1,48,0,0,269,178,6,56,0,0,240,8,0,3,0,0,11,520
JC04A,3539,594,42,401,5,0,1042,308,26,281,4,1,620,17,0,4,0,0,21,1683
JC04B,209,23,5,23,0,0,51,22,4,10,0,0,36,1,0,0,0,0,1,88
JC05,1795,288,6,152,1,0,447,178,5,129,0,0,312,12,0,1,0,0,13,772
JC06,2210,448,28,259,2,3,740,195,7,90,1,0,293,8,0,3,0,0,11,1044
JC07,3223,539,24,305,4,0,872,344,22,197,0,4,567,17,3,8,0,0,28,1467
JC08,2333,414,19,313,2,8,756,263,4,179,0,13,459,22,1,4,0,0,27,1242
JC09,2396,383,14,204,1,1,603,292,14,167,5,0,478,16,2,2,0,0,20,1101
JC10,1943,298,25,158,1,1,483,248,10,138,2,2,400,23,1,5,0,0,29,912
JC11,2713,513,31,371,3,1,919,218,24,150,2,0,394,17,3,7,0,0,27,1340
JC12,2066,418,50,511,3,0,982,137,19,138,4,0,298,10,1,8,0,0,19,1299
JC13A,1902,466,51,354,3,6,880,130,11,72,1,1,215,5,0,5,0,0,10,1105
JC13B,276,65,25,59,2,0,151,7,0,5,0,0,12,0,0,0,0,0,0,163
JC14,2061,362,30,355,0,3,750,166,12,105,1,2,286,8,0,4,0,0,12,1048
JC15,618,78,4,45,1,0,128,78,0,48,1,0,127,10,0,0,0,0,10,265
JC16,1687,337,14,153,3,0,507,210,5,94,7,2,318,17,0,4,0,0,21,846
JC17,280,64,2,13,1,0,80,50,2,5,1,0,58,1,0,0,0,0,1,139
JC18A,2422,635,26,227,7,0,895,269,7,138,0,0,414,11,2,5,0,0,18,1327
JC18B,186,46,4,15,1,6,72,22,2,9,4,6,43,1,0,0,0,0,1,116
JC19,3161,561,49,381,2,2,995,356,14,303,4,4,681,22,2,10,0,1,35,1711
ML011,1809,486,13,38,110,4,651,166,8,20,31,4,229,13,0,0,0,0,13,893
ML012,421,124,6,18,41,0,189,31,5,11,0,0,47,3,2,0,0,0,5,241
ML01B,52,13,0,3,1,0,17,4,0,1,0,0,5,0,0,0,0,0,0,22
ML021,1298,375,27,46,79,7,534,82,5,9,21,1,118,8,0,1,0,0,9,661
ML022,221,49,4,5,21,0,79,12,0,0,5,0,17,1,0,0,0,0,1,97
ML023,1112,329,24,30,116,0,499,61,11,11,19,0,102,3,0,1,1,0,5,606
ML024,86,31,2,6,8,0,47,3,0,0,0,0,3,0,0,0,0,0,0,50
ML03,3204,897,46,86,282,4,1315,200,15,33,52,1,301,21,3,0,5,0,29,1645
ML04A,1366,336,16,28,119,4,503,110,3,26,33,1,173,11,3,0,4,0,18,694
ML04B,1031,329,11,14,85,1,440,81,4,13,35,0,133,6,0,0,2,0,8,581
ML04C,74,19,2,0,9,0,30,6,0,0,3,0,9,1,0,0,0,0,1,40
ML05A,12,3,0,0,1,2,6,1,0,0,2,5,8,0,0,0,0,0,0,14
ML05B,314,92,11,12,19,0,134,21,0,5,11,0,37,2,0,0,0,0,2,173
ML05C,3484,700,51,81,157,1,990,364,19,65,109,2,559,18,0,2,1,0,21,1570
ML06A,1514,167,7,11,30,0,215,200,6,41,28,5,280,9,2,0,0,1,12,507
ML06B,2279,324,17,39,60,0,440,336,21,72,70,0,499,19,1,3,1,0,24,963
ML071,82,21,0,1,6,0,28,11,2,0,0,0,13,1,0,0,0,0,1,42
ML072,870,256,15,28,31,1,331,71,2,11,13,0,97,2,0,0,0,0,2,430
ML07A,571,165,9,13,29,1,217,45,2,3,13,0,63,7,2,0,0,0,9,289
MP01,397,92,0,16,0,3,111,102,0,10,1,3,116,3,0,0,0,0,3,230
PA01,1916,3,13,18,23,0,57,8,12,82,110,1,213,0,0,0,1,0,1,271
RW01,4059,948,73,507,6,0,1534,382,41,283,7,1,714,25,0,7,0,0,32,2280
RW02,3339,694,34,424,4,1,1157,387,32,208,3,2,632,44,0,8,0,1,53,1842
RW03,3392,517,21,227,4,3,772,444,20,248,7,3,722,31,0,8,0,0,39,1533
RW04,1592,387,12,196,1,2,598,241,12,134,4,7,398,15,1,0,0,0,16,1012
RW05,1701,201,10,64,6,3,284,217,13,108,6,3,347,11,0,2,0,0,13,644
RW06,2430,541,26,135,6,1,709,349,25,116,8,1,499,22,0,2,0,0,24,1232
RW07A,1122,32,1,14,0,1,48,184,4,72,2,5,267,5,0,1,0,0,6,321
RW07B,307,41,2,12,0,1,56,65,1,17,1,1,85,8,0,0,0,0,8,149
RW08,1928,480,43,215,6,0,744,200,16,90,0,2,308,20,0,4,0,0,24,1076
RW09,2442,690,31,308,21,1,1051,200,10,106,11,2,329,13,1,2,2,0,18,1398
RW10,2836,725,40,353,2,6,1126,294,20,167,0,2,483,34,2,5,0,0,41,1650
RW11A,2266,438,14,194,3,4,653,295,15,143,5,2,460,21,1,3,0,0,25,1138
RW12,3083,799,30,327,46,1,1203,338,35,164,18,2,557,39,0,4,1,0,44,1804
RW13,2954,788,34,196,6,4,1028,390,14,127,16,5,552,36,0,1,0,0,37,1617
RW15,2741,713,60,334,8,3,1118,221,20,142,3,4,390,15,3,7,1,1,27,1535
RW16,1575,442,20,117,8,3,590,199,11,80,1,2,293,16,0,3,0,0,19,902
RW17,2352,433,17,136,3,1,590,418,7,135,6,1,567,22,1,1,0,0,24,1181
RW18,1991,624,31,181,5,0,841,207,3,100,1,0,311,15,2,3,0,0,20,1172
RW19,1742,525,28,100,19,0,672,187,12,58,7,0,264,11,0,3,0,0,14,950
RW20,2187,599,22,190,2,0,813,268,14,160,5,0,447,13,0,3,0,0,16,1276
RW21A,2760,565,42,470,2,7,1086,270,16,150,3,6,445,17,0,7,0,0,24,1555
RW21B,4,1,0,0,0,0,1,1,0,3,0,0,4,0,0,0,0,0,0,5
RW22A,3327,427,36,165,1,0,629,417,32,195,9,5,658,19,0,6,1,0,26,1313
SC01B,3229,24,6,11,5,0,46,853,43,474,653,1,2024,4,0,1,5,0,10,2080
SC02,1171,4,0,1,9,0,14,266,32,47,441,3,789,3,0,0,2,0,5,808
SC04,859,179,7,21,23,1,231,167,8,52,44,1,272,9,1,1,0,0,11,514
SC05A,494,4,0,2,2,0,8,132,1,101,39,5,278,4,0,0,0,0,4,290
SC05B,2456,16,3,14,2,0,35,574,22,541,218,2,1357,3,0,2,0,0,5,1397
SC05D,1901,53,6,21,15,0,95,540,12,329,111,2,994,4,0,1,0,0,5,1094
SC07A,3905,124,11,45,63,2,245,947,27,622,409,17,2022,8,0,5,4,0,17,2284
SC08B,2592,18,11,19,2,0,50,598,28,516,188,15,1345,4,1,6,0,0,11,1406
SC08C,59,0,0,0,0,0,0,12,1,15,7,0,35,0,0,0,0,0,0,35
SC08D,409,1,0,3,0,0,4,114,1,74,17,0,206,0,0,0,0,0,0,210
SC08E,333,0,1,0,0,0,1,95,1,53,14,0,163,1,0,0,0,0,1,165
SC08F,626,8,1,5,0,0,14,90,4,140,13,0,247,2,1,0,0,0,3,264
SC09A,2598,28,3,9,4,0,44,637,20,355,140,6,1158,2,0,1,0,0,3,1205
SC09B,1379,7,1,11,1,0,20,355,17,294,80,4,750,3,0,0,0,0,3,773
SC10,1369,6,0,4,0,0,10,329,5,102,63,5,504,1,0,2,1,0,4,518
SC11A,1184,8,0,5,0,0,13,383,4,183,62,5,637,2,0,1,0,0,3,653
SC11B,1320,14,0,2,1,0,17,401,11,213,74,1,700,1,0,1,0,0,2,719
SC13A,4603,47,1,35,12,0,95,1139,39,895,399,4,2476,4,0,2,0,0,6,2577
SC13B,1806,22,5,18,14,0,59,398,32,360,151,16,957,4,1,0,0,0,5,1021
SC14,1023,5,0,0,2,0,7,146,7,24,149,4,330,1,0,0,1,0,2,339
