,census_tract,white,black,hispanic,total,median_income,majority_race
131,"Census Tract 9800, Bryan County, Georgia",0,0,0,0,-,NA
132,"Census Tract 1101, Bulloch County, Georgia",2959,855,95,3986,37075,white
133,"Census Tract 1102, Bulloch County, Georgia",3861,2791,214,7221,40729,white
134,"Census Tract 1103, Bulloch County, Georgia",5758,1222,548,7823,51229,white
135,"Census Tract 1104.01, Bulloch County, Georgia",1393,1805,61,3321,22445,black
136,"Census Tract 1104.03, Bulloch County, Georgia",3867,2254,279,6712,18103,white
137,"Census Tract 1104.04, Bulloch County, Georgia",4172,2626,240,7506,6522,white
138,"Census Tract 1105, Bulloch County, Georgia",3043,1088,308,4778,27238,white
139,"Census Tract 1106.01, Bulloch County, Georgia",4313,2202,136,7020,44038,white
140,"Census Tract 1106.02, Bulloch County, Georgia",2022,1578,50,3854,30000,white
141,"Census Tract 1107, Bulloch County, Georgia",7215,2169,518,10309,47366,white
142,"Census Tract 1108, Bulloch County, Georgia",1926,676,0,2628,38458,white
143,"Census Tract 1109, Bulloch County, Georgia",5681,861,130,6782,40959,white
144,"Census Tract 9501, Burke County, Georgia",2888,2238,318,5444,31959,white
145,"Census Tract 9502, Burke County, Georgia",2054,571,104,2758,31250,white
146,"Census Tract 9504, Burke County, Georgia",1130,3701,0,4896,24155,black
147,"Census Tract 9505, Burke County, Georgia",2615,2783,96,5510,37308,black
148,"Census Tract 9507, Burke County, Georgia",1401,1303,17,2739,42150,white
149,"Census Tract 9509, Burke County, Georgia",733,919,124,1789,38603,black
150,"Census Tract 1501, Butts County, Georgia",7002,1127,83,8247,54098,white
151,"Census Tract 1502, Butts County, Georgia",4015,2752,330,7357,40080,white
152,"Census Tract 1503, Butts County, Georgia",4785,2669,268,7865,50000,white
153,"Census Tract 9501, Calhoun County, Georgia",1417,2263,283,4047,34160,black
154,"Census Tract 9502, Calhoun County, Georgia",748,1672,57,2502,21438,black
155,"Census Tract 101, Camden County, Georgia",1922,541,37,2522,48391,white
156,"Census Tract 102, Camden County, Georgia",3577,1573,122,5367,53304,white
157,"Census Tract 103.01, Camden County, Georgia",6231,1525,296,8479,48107,white
158,"Census Tract 103.02, Camden County, Georgia",2224,1052,182,3949,50394,white
159,"Census Tract 104.01, Camden County, Georgia",8203,1964,713,11302,57021,white
160,"Census Tract 104.02, Camden County, Georgia",4019,263,650,5186,74048,white
161,"Census Tract 104.03, Camden County, Georgia",3179,665,83,4094,76865,white
162,"Census Tract 105, Camden County, Georgia",1782,386,399,2756,42865,white
163,"Census Tract 106.01, Camden County, Georgia",4483,1491,363,6686,37850,white
164,"Census Tract 106.02, Camden County, Georgia",602,66,80,852,56534,white
165,"Census Tract 9900, Camden County, Georgia",0,0,0,0,-,NA
166,"Census Tract 9501, Candler County, Georgia",2814,1764,364,5045,25299,white
167,"Census Tract 9502, Candler County, Georgia",2741,586,328,3712,37292,white
168,"Census Tract 9503, Candler County, Georgia",1375,363,533,2299,34095,white
169,"Census Tract 9101.01, Carroll County, Georgia",3659,1817,195,6177,42063,white
170,"Census Tract 9101.03, Carroll County, Georgia",3514,937,397,5029,52135,white
171,"Census Tract 9101.04, Carroll County, Georgia",6936,1911,567,9807,56474,white
172,"Census Tract 9102, Carroll County, Georgia",9782,1409,231,11422,43429,white
173,"Census Tract 9103, Carroll County, Georgia",5278,704,191,6225,42236,white
174,"Census Tract 9104, Carroll County, Georgia",3126,102,20,3273,39352,white
175,"Census Tract 9105.01, Carroll County, Georgia",4243,3004,1111,8799,33324,NA
176,"Census Tract 9105.02, Carroll County, Georgia",440,1351,792,2619,25474,black
177,"Census Tract 9106, Carroll County, Georgia",3734,1562,861,6352,46058,white
178,"Census Tract 9107.01, Carroll County, Georgia",6682,1313,576,8897,43644,white
179,"Census Tract 9107.02, Carroll County, Georgia",5938,743,385,7544,60625,white
180,"Census Tract 9107.03, Carroll County, Georgia",5895,1975,204,8317,43611,white
181,"Census Tract 9108, Carroll County, Georgia",3566,128,137,3924,51042,white
182,"Census Tract 9109, Carroll County, Georgia",3656,312,94,4078,57635,white
183,"Census Tract 9110, Carroll County, Georgia",4040,1083,831,6124,43248,white
184,"Census Tract 9111, Carroll County, Georgia",5828,1072,456,7592,41792,white
185,"Census Tract 9112, Carroll County, Georgia",4565,778,32,5693,40962,white
186,"Census Tract 301, Catoosa County, Georgia",5999,56,158,6270,46780,white
187,"Census Tract 302.01, Catoosa County, Georgia",4253,161,145,4697,52234,white
188,"Census Tract 302.02, Catoosa County, Georgia",5499,162,65,6147,74127,white
189,"Census Tract 303.01, Catoosa County, Georgia",6968,3,238,7335,56698,white
190,"Census Tract 303.03, Catoosa County, Georgia",3284,37,66,3448,55205,white
191,"Census Tract 303.04, Catoosa County, Georgia",3784,72,74,3930,67836,white
192,"Census Tract 304.01, Catoosa County, Georgia",6806,15,285,7540,63986,white
193,"Census Tract 304.02, Catoosa County, Georgia",5478,244,261,6125,47569,white
194,"Census Tract 305, Catoosa County, Georgia",5353,355,35,5952,36295,white
