,census_tract,white,black,hispanic,total,median_income,majority_race
705,"Census Tract 233.09, DeKalb County, Georgia",246,8906,257,9835,47392,black
706,"Census Tract 233.10, DeKalb County, Georgia",183,8941,123,9401,33701,black
707,"Census Tract 233.11, DeKalb County, Georgia",237,4304,17,4668,76667,black
708,"Census Tract 233.12, DeKalb County, Georgia",292,8427,415,9309,56086,black
709,"Census Tract 233.13, DeKalb County, Georgia",143,4395,0,4797,38281,black
710,"Census Tract 233.14, DeKalb County, Georgia",143,4991,88,5293,46277,black
711,"Census Tract 233.15, DeKalb County, Georgia",227,4279,16,4645,54286,black
712,"Census Tract 233.16, DeKalb County, Georgia",159,6978,360,7670,57043,black
713,"Census Tract 234.10, DeKalb County, Georgia",28,3004,26,3078,27382,black
714,"Census Tract 234.11, DeKalb County, Georgia",151,3511,107,3805,47750,black
715,"Census Tract 234.12, DeKalb County, Georgia",320,5920,51,6527,43686,black
716,"Census Tract 234.13, DeKalb County, Georgia",159,3156,109,3493,50064,black
717,"Census Tract 234.14, DeKalb County, Georgia",114,6005,19,6621,50485,black
718,"Census Tract 234.16, DeKalb County, Georgia",105,7293,66,7692,65507,black
719,"Census Tract 234.18, DeKalb County, Georgia",638,16849,383,17948,47109,black
720,"Census Tract 234.19, DeKalb County, Georgia",66,8486,83,8840,61325,black
721,"Census Tract 234.21, DeKalb County, Georgia",550,7267,35,8295,41833,black
722,"Census Tract 234.22, DeKalb County, Georgia",73,4706,143,5001,52946,black
723,"Census Tract 234.23, DeKalb County, Georgia",276,7295,191,7903,55804,black
724,"Census Tract 234.24, DeKalb County, Georgia",301,5346,179,5890,58614,black
725,"Census Tract 234.25, DeKalb County, Georgia",77,5332,33,5562,60119,black
726,"Census Tract 234.26, DeKalb County, Georgia",21,4756,45,4878,62869,black
727,"Census Tract 234.27, DeKalb County, Georgia",23,2565,0,2702,60729,black
728,"Census Tract 234.28, DeKalb County, Georgia",87,9210,29,9452,33361,black
729,"Census Tract 235.01, DeKalb County, Georgia",269,2849,41,3177,22944,black
730,"Census Tract 235.04, DeKalb County, Georgia",92,3150,134,3387,21303,black
731,"Census Tract 235.05, DeKalb County, Georgia",125,2234,1,2451,40795,black
732,"Census Tract 235.06, DeKalb County, Georgia",328,5273,12,5819,37367,black
733,"Census Tract 235.07, DeKalb County, Georgia",199,3650,152,4050,37074,black
734,"Census Tract 236.01, DeKalb County, Georgia",674,1850,22,2580,53793,black
735,"Census Tract 236.02, DeKalb County, Georgia",145,2128,19,2355,39911,black
736,"Census Tract 236.03, DeKalb County, Georgia",256,3054,15,3421,31866,black
737,"Census Tract 237, DeKalb County, Georgia",851,4086,214,5266,26849,black
738,"Census Tract 238.01, DeKalb County, Georgia",1043,2336,79,3547,52872,black
739,"Census Tract 238.02, DeKalb County, Georgia",1132,3216,187,4760,31446,black
740,"Census Tract 238.03, DeKalb County, Georgia",727,4382,474,5694,42115,black
741,"Census Tract 9800, DeKalb County, Georgia",0,0,0,0,-,NA
742,"Census Tract 9601, Dodge County, Georgia",2040,1321,143,3529,29688,white
743,"Census Tract 9602, Dodge County, Georgia",2696,584,216,3509,37230,white
744,"Census Tract 9603, Dodge County, Georgia",3619,2369,181,6467,41103,white
745,"Census Tract 9604, Dodge County, Georgia",2338,1179,137,3785,27948,white
746,"Census Tract 9605, Dodge County, Georgia",1578,397,15,2027,40855,white
747,"Census Tract 9606, Dodge County, Georgia",1669,320,49,2048,37909,white
748,"Census Tract 9701, Dooly County, Georgia",2725,3103,234,6068,24486,black
749,"Census Tract 9702, Dooly County, Georgia",793,1183,385,2422,28369,NA
750,"Census Tract 9703, Dooly County, Georgia",2706,2859,352,5953,29164,NA
751,"Census Tract 1, Dougherty County, Georgia",706,4063,177,5096,22135,black
752,"Census Tract 2, Dougherty County, Georgia",26,2837,223,3137,16358,black
753,"Census Tract 4, Dougherty County, Georgia",2597,3068,72,5816,35105,black
754,"Census Tract 5.01, Dougherty County, Georgia",2133,2395,95,5067,43586,NA
755,"Census Tract 5.02, Dougherty County, Georgia",2906,1278,283,4899,56042,white
756,"Census Tract 6, Dougherty County, Georgia",1646,639,17,2343,34816,white
757,"Census Tract 7, Dougherty County, Georgia",1059,744,79,1882,36941,white
758,"Census Tract 8, Dougherty County, Georgia",157,1405,22,1600,12895,black
759,"Census Tract 9, Dougherty County, Georgia",696,1499,14,2252,25799,black
760,"Census Tract 10, Dougherty County, Georgia",483,1718,20,2285,25217,black
761,"Census Tract 11, Dougherty County, Georgia",318,5981,24,6371,26185,black
762,"Census Tract 14.03, Dougherty County, Georgia",0,2612,0,2623,15343,black
763,"Census Tract 15, Dougherty County, Georgia",20,2746,175,2941,14032,black
764,"Census Tract 103.02, Dougherty County, Georgia",465,5239,38,5828,22041,black
765,"Census Tract 104.01, Dougherty County, Georgia",4031,2605,151,7054,70739,white
766,"Census Tract 104.02, Dougherty County, Georgia",609,2234,66,2944,44655,black
767,"Census Tract 104.03, Dougherty County, Georgia",1028,686,11,1751,48667,white
768,"Census Tract 105, Dougherty County, Georgia",564,1629,69,2276,35583,black
769,"Census Tract 106.01, Dougherty County, Georgia",150,2416,7,2608,18507,black
770,"Census Tract 106.02, Dougherty County, Georgia",489,3705,0,4219,28773,black
771,"Census Tract 107, Dougherty County, Georgia",621,5233,312,6300,17661,black
772,"Census Tract 109, Dougherty County, Georgia",454,1064,0,1565,58242,black
773,"Census Tract 110, Dougherty County, Georgia",1534,1114,49,2716,50000,white
774,"Census Tract 112, Dougherty County, Georgia",1229,2611,196,4085,33770,black
775,"Census Tract 113, Dougherty County, Georgia",1081,1378,58,2563,27416,black
776,"Census Tract 114, Dougherty County, Georgia",105,1465,34,1664,12930,black
777,"Census Tract 116, Dougherty County, Georgia",1039,853,105,2005,51324,white
778,"Census Tract 801.02, Douglas County, Georgia",1563,4434,953,7219,46596,black
779,"Census Tract 801.03, Douglas County, Georgia",2181,3709,803,6693,34202,black
780,"Census Tract 802.01, Douglas County, Georgia",3064,1556,1256,6070,46302,white
781,"Census Tract 802.02, Douglas County, Georgia",3479,4628,1734,10157,41250,NA
782,"Census Tract 803.01, Douglas County, Georgia",2146,8779,676,11899,39698,black
783,"Census Tract 803.03, Douglas County, Georgia",1478,1558,613,3738,44732,NA
784,"Census Tract 803.04, Douglas County, Georgia",2595,2229,350,5375,45229,NA
785,"Census Tract 804.02, Douglas County, Georgia",7214,687,302,8321,84750,white
786,"Census Tract 804.03, Douglas County, Georgia",3049,1165,75,4459,60265,white
787,"Census Tract 804.04, Douglas County, Georgia",4775,2539,1057,8671,57048,white
788,"Census Tract 805.05, Douglas County, Georgia",3290,1303,450,5238,52673,white
789,"Census Tract 805.06, Douglas County, Georgia",3792,1081,457,5425,56458,white
790,"Census Tract 805.07, Douglas County, Georgia",2154,750,421,3581,52429,white
791,"Census Tract 805.08, Douglas County, Georgia",2711,1775,605,5363,55110,white
792,"Census Tract 805.09, Douglas County, Georgia",3105,1680,144,5082,71363,white
793,"Census Tract 805.10, Douglas County, Georgia",4398,2534,408,7755,57146,white
794,"Census Tract 805.11, Douglas County, Georgia",3937,4138,579,9225,65423,NA
795,"Census Tract 806.02, Douglas County, Georgia",2440,2810,76,5606,65136,black
796,"Census Tract 806.03, Douglas County, Georgia",2644,2344,433,5645,72356,NA
797,"Census Tract 806.04, Douglas County, Georgia",3469,5151,348,9515,61105,black
798,"Census Tract 901, Early County, Georgia",389,867,16,1272,23625,black
799,"Census Tract 902, Early County, Georgia",905,1583,0,2496,35550,black
800,"Census Tract 903, Early County, Georgia",886,702,85,1701,47500,white
801,"Census Tract 904, Early County, Georgia",1601,1799,66,3512,36406,black
802,"Census Tract 905, Early County, Georgia",1256,381,34,1681,29340,white
803,"Census Tract 8801, Echols County, Georgia",1218,39,520,1812,30962,white
804,"Census Tract 8802, Echols County, Georgia",1451,23,621,2206,37222,white
805,"Census Tract 301, Effingham County, Georgia",2663,403,14,3186,59353,white
806,"Census Tract 302.02, Effingham County, Georgia",4348,1342,66,5826,56940,white
807,"Census Tract 302.03, Effingham County, Georgia",6232,1010,247,7604,60785,white
808,"Census Tract 302.04, Effingham County, Georgia",2203,1661,39,3911,46343,white
809,"Census Tract 303.01, Effingham County, Georgia",4361,264,22,4711,96657,white
810,"Census Tract 303.03, Effingham County, Georgia",1977,62,158,2251,68375,white
811,"Census Tract 303.04, Effingham County, Georgia",5962,777,462,7353,61915,white
812,"Census Tract 303.05, Effingham County, Georgia",5521,1426,349,8118,73576,white
813,"Census Tract 304.01, Effingham County, Georgia",4258,352,128,4747,59044,white
814,"Census Tract 304.02, Effingham County, Georgia",5501,124,263,5966,67619,white
815,"Census Tract 1, Elbert County, Georgia",2788,530,115,3452,40767,white
816,"Census Tract 2, Elbert County, Georgia",2387,140,135,2669,36307,white
817,"Census Tract 3, Elbert County, Georgia",2030,1675,395,4100,29720,NA
818,"Census Tract 4, Elbert County, Georgia",1916,1765,375,4101,26211,NA
819,"Census Tract 5, Elbert County, Georgia",3482,1870,0,5372,42745,white
820,"Census Tract 9701, Emanuel County, Georgia",3591,1747,187,5639,28026,white
821,"Census Tract 9702, Emanuel County, Georgia",1384,405,0,1789,36055,white
822,"Census Tract 9703, Emanuel County, Georgia",1652,1715,201,3635,29196,NA
823,"Census Tract 9704, Emanuel County, Georgia",2206,2200,101,4682,33611,NA
824,"Census Tract 9705, Emanuel County, Georgia",1249,180,0,1448,41604,white
825,"Census Tract 9706, Emanuel County, Georgia",3592,1356,517,5538,34308,white
826,"Census Tract 9701, Evans County, Georgia",1907,432,688,3056,41932,white
827,"Census Tract 9702, Evans County, Georgia",2629,1133,154,3921,38864,white
828,"Census Tract 9703, Evans County, Georgia",1627,1736,486,3891,35145,NA
829,"Census Tract 501, Fannin County, Georgia",3098,9,152,3390,37724,white
830,"Census Tract 502, Fannin County, Georgia",6309,0,6,6355,35094,white
831,"Census Tract 503, Fannin County, Georgia",2365,0,0,2489,33250,white
832,"Census Tract 504, Fannin County, Georgia",6699,40,285,7214,34904,white
833,"Census Tract 505, Fannin County, Georgia",4140,8,10,4184,34427,white
834,"Census Tract 1401.01, Fayette County, Georgia",2000,3988,413,6725,72973,black
835,"Census Tract 1401.02, Fayette County, Georgia",3166,1643,195,5503,73678,white
836,"Census Tract 1402.03, Fayette County, Georgia",3548,1051,610,5417,83969,white
837,"Census Tract 1402.04, Fayette County, Georgia",2534,1649,1007,5315,79803,NA
838,"Census Tract 1402.06, Fayette County, Georgia",3741,340,204,4473,113065,white
839,"Census Tract 1402.07, Fayette County, Georgia",4558,430,249,5487,94620,white
840,"Census Tract 1402.08, Fayette County, Georgia",5004,1244,1085,8218,75781,white
841,"Census Tract 1403.03, Fayette County, Georgia",3902,130,243,4621,78382,white
842,"Census Tract 1403.04, Fayette County, Georgia",4546,310,588,5813,73929,white
843,"Census Tract 1403.05, Fayette County, Georgia",3376,490,553,4933,99950,white
844,"Census Tract 1403.06, Fayette County, Georgia",5553,734,504,7415,82692,white
845,"Census Tract 1403.07, Fayette County, Georgia",4130,343,214,4825,153480,white
846,"Census Tract 1404.03, Fayette County, Georgia",2293,2955,220,5877,68964,black
847,"Census Tract 1404.04, Fayette County, Georgia",3548,1498,227,5652,69803,white
848,"Census Tract 1404.05, Fayette County, Georgia",2720,565,68,3513,91875,white
849,"Census Tract 1404.06, Fayette County, Georgia",2056,1241,307,3880,60500,white
850,"Census Tract 1404.07, Fayette County, Georgia",4344,2376,379,7857,64744,white
851,"Census Tract 1404.08, Fayette County, Georgia",2227,578,51,3204,71889,white
852,"Census Tract 1405.01, Fayette County, Georgia",4979,272,100,5496,91875,white
853,"Census Tract 1405.02, Fayette County, Georgia",3429,109,83,3706,80592,white
854,"Census Tract 1, Floyd County, Georgia",4004,388,153,4627,39803,white
855,"Census Tract 2.01, Floyd County, Georgia",4584,318,802,6235,51446,white
856,"Census Tract 2.02, Floyd County, Georgia",3645,78,15,4042,62852,white
857,"Census Tract 3, Floyd County, Georgia",2410,245,239,2976,50809,white
858,"Census Tract 4, Floyd County, Georgia",5076,746,1139,7017,40199,white
859,"Census Tract 5, Floyd County, Georgia",1885,696,1332,3981,32500,NA
860,"Census Tract 6, Floyd County, Georgia",2411,2070,374,4939,25391,NA
861,"Census Tract 7, Floyd County, Georgia",4534,400,46,5003,51881,white
862,"Census Tract 8, Floyd County, Georgia",3793,869,0,4673,52430,white
863,"Census Tract 9, Floyd County, Georgia",1783,458,7,2333,44934,white
864,"Census Tract 11, Floyd County, Georgia",1460,770,654,2912,18359,white
865,"Census Tract 12, Floyd County, Georgia",1652,818,1925,4783,37316,NA
866,"Census Tract 13, Floyd County, Georgia",3937,867,843,5780,35906,white
867,"Census Tract 14, Floyd County, Georgia",5853,0,433,6527,62708,white
868,"Census Tract 16, Floyd County, Georgia",1334,2016,353,3833,22835,black
869,"Census Tract 17.01, Floyd County, Georgia",6410,125,133,6792,46164,white
870,"Census Tract 17.02, Floyd County, Georgia",4836,995,55,6206,55290,white
871,"Census Tract 18, Floyd County, Georgia",4033,125,334,4664,37946,white
872,"Census Tract 20, Floyd County, Georgia",4128,113,66,4366,39783,white
873,"Census Tract 21, Floyd County, Georgia",2031,1845,557,4457,30513,NA
874,"Census Tract 1301.01, Forsyth County, Georgia",3498,0,453,4181,77012,white
875,"Census Tract 1301.02, Forsyth County, Georgia",2928,64,0,2992,60395,white
876,"Census Tract 1301.03, Forsyth County, Georgia",3384,0,134,3553,56750,white
877,"Census Tract 1301.04, Forsyth County, Georgia",3563,0,24,3717,75820,white
878,"Census Tract 1301.05, Forsyth County, Georgia",1927,0,469,2412,34313,white
879,"Census Tract 1302.01, Forsyth County, Georgia",4382,0,152,4645,77543,white
880,"Census Tract 1302.02, Forsyth County, Georgia",3699,24,105,3885,105296,white
881,"Census Tract 1302.03, Forsyth County, Georgia",4910,0,718,5687,68949,white
882,"Census Tract 1302.04, Forsyth County, Georgia",3072,0,466,3758,70500,white
883,"Census Tract 1302.05, Forsyth County, Georgia",1459,57,357,1983,60192,white
884,"Census Tract 1303.01, Forsyth County, Georgia",4631,39,508,5410,70951,white
885,"Census Tract 1303.02, Forsyth County, Georgia",5152,112,195,5685,98333,white
886,"Census Tract 1303.03, Forsyth County, Georgia",3331,0,660,4043,81290,white
887,"Census Tract 1303.04, Forsyth County, Georgia",3445,38,693,4278,105054,white
888,"Census Tract 1303.05, Forsyth County, Georgia",3913,141,350,5079,99750,white
889,"Census Tract 1303.06, Forsyth County, Georgia",3474,65,184,4383,102352,white
890,"Census Tract 1303.07, Forsyth County, Georgia",3431,67,297,4379,86484,white
891,"Census Tract 1304.03, Forsyth County, Georgia",4703,137,1173,6146,65893,white
892,"Census Tract 1304.04, Forsyth County, Georgia",3082,206,216,4395,104872,white
893,"Census Tract 1304.05, Forsyth County, Georgia",3179,27,157,3426,84327,white
894,"Census Tract 1304.06, Forsyth County, Georgia",3624,456,725,5266,71320,white
895,"Census Tract 1304.08, Forsyth County, Georgia",2554,117,922,3740,48401,white
896,"Census Tract 1304.09, Forsyth County, Georgia",1779,2,504,2320,52800,white
897,"Census Tract 1304.10, Forsyth County, Georgia",2399,297,1292,4291,50978,white
898,"Census Tract 1305.03, Forsyth County, Georgia",2387,19,0,2457,83125,white
899,"Census Tract 1305.04, Forsyth County, Georgia",3190,193,242,3625,61958,white
900,"Census Tract 1305.05, Forsyth County, Georgia",2737,0,22,2782,76250,white
901,"Census Tract 1305.06, Forsyth County, Georgia",3016,0,160,3287,75069,white
902,"Census Tract 1305.07, Forsyth County, Georgia",2177,28,33,2255,76818,white
903,"Census Tract 1305.08, Forsyth County, Georgia",4509,156,390,5185,111538,white
904,"Census Tract 1305.09, Forsyth County, Georgia",2473,48,440,3073,70523,white
905,"Census Tract 1305.10, Forsyth County, Georgia",4800,145,624,6487,105347,white
906,"Census Tract 1306.01, Forsyth County, Georgia",2526,330,746,4104,69440,white
907,"Census Tract 1306.02, Forsyth County, Georgia",2472,656,1627,5353,84917,NA
908,"Census Tract 1306.03, Forsyth County, Georgia",3064,227,403,4423,121761,white
909,"Census Tract 1306.04, Forsyth County, Georgia",3574,86,480,5132,132468,white
910,"Census Tract 1306.05, Forsyth County, Georgia",3177,225,166,3991,111000,white
911,"Census Tract 1306.06, Forsyth County, Georgia",3809,117,320,4609,110179,white
912,"Census Tract 1306.07, Forsyth County, Georgia",3308,97,511,5334,128500,white
913,"Census Tract 1306.08, Forsyth County, Georgia",2389,437,243,5266,109271,NA
914,"Census Tract 1306.09, Forsyth County, Georgia",3232,297,272,4868,115525,white
915,"Census Tract 1306.10, Forsyth County, Georgia",2956,149,148,4179,114657,white
916,"Census Tract 1306.11, Forsyth County, Georgia",3138,6,174,3762,126862,white
917,"Census Tract 1306.12, Forsyth County, Georgia",5508,345,199,6517,153614,white
918,"Census Tract 1306.13, Forsyth County, Georgia",2330,1,230,2971,99142,white
919,"Census Tract 8901.01, Franklin County, Georgia",2616,622,529,3841,29772,white
920,"Census Tract 8901.02, Franklin County, Georgia",3674,200,136,4082,44817,white
921,"Census Tract 8902, Franklin County, Georgia",4690,681,24,5549,40389,white
922,"Census Tract 8903, Franklin County, Georgia",2955,0,15,3016,35288,white
923,"Census Tract 8904, Franklin County, Georgia",4763,530,213,5563,31523,white
924,"Census Tract 1, Fulton County, Georgia",4108,36,215,4469,128578,white
925,"Census Tract 2, Fulton County, Georgia",5359,329,205,6101,101100,white
926,"Census Tract 4, Fulton County, Georgia",1441,122,33,1642,92273,white
927,"Census Tract 5, Fulton County, Georgia",3420,961,238,5159,81615,white
928,"Census Tract 6, Fulton County, Georgia",2919,1653,567,6416,44612,NA
929,"Census Tract 7, Fulton County, Georgia",662,1999,138,2917,68631,black
930,"Census Tract 10.01, Fulton County, Georgia",1376,225,134,2531,67353,white
931,"Census Tract 10.02, Fulton County, Georgia",3846,1385,468,7550,32961,white
932,"Census Tract 11, Fulton County, Georgia",2708,562,137,3797,71901,white
933,"Census Tract 12.01, Fulton County, Georgia",2506,490,244,3484,57250,white
934,"Census Tract 12.02, Fulton County, Georgia",2167,376,167,3518,66670,white
935,"Census Tract 13, Fulton County, Georgia",2712,1063,346,4492,57625,white
936,"Census Tract 14, Fulton County, Georgia",1783,183,72,2157,70215,white
937,"Census Tract 15, Fulton County, Georgia",3244,394,307,4192,61362,white
938,"Census Tract 16, Fulton County, Georgia",1605,399,92,2162,63417,white
939,"Census Tract 17, Fulton County, Georgia",979,1975,104,3314,35337,black
940,"Census Tract 18, Fulton County, Georgia",1409,2313,150,4126,34583,black
941,"Census Tract 19, Fulton County, Georgia",2239,1131,269,4361,51474,white
942,"Census Tract 21, Fulton County, Georgia",1026,1579,30,2851,32279,black
943,"Census Tract 23, Fulton County, Georgia",51,1190,0,1263,21486,black
944,"Census Tract 24, Fulton County, Georgia",2,1720,3,1774,29451,black
945,"Census Tract 25, Fulton County, Georgia",41,1698,82,1884,22351,black
946,"Census Tract 26, Fulton County, Georgia",155,701,100,987,30118,black
947,"Census Tract 28, Fulton County, Georgia",1165,2211,366,4120,20915,black
948,"Census Tract 29, Fulton County, Georgia",1280,872,74,2401,60667,white
949,"Census Tract 30, Fulton County, Georgia",2102,244,235,2904,86103,white
950,"Census Tract 31, Fulton County, Georgia",889,952,29,1937,47843,NA
951,"Census Tract 32, Fulton County, Georgia",1205,701,69,2166,52770,white
952,"Census Tract 35, Fulton County, Georgia",602,1178,139,2050,53953,black
953,"Census Tract 36, Fulton County, Georgia",234,997,36,1364,30375,black
954,"Census Tract 37, Fulton County, Georgia",0,30,0,30,-,black
955,"Census Tract 38, Fulton County, Georgia",772,2285,292,3765,21071,black
956,"Census Tract 39, Fulton County, Georgia",97,1614,0,1711,21875,black
957,"Census Tract 40, Fulton County, Georgia",19,2389,0,2420,25388,black
958,"Census Tract 41, Fulton County, Georgia",79,1687,19,1836,24554,black
959,"Census Tract 42, Fulton County, Georgia",198,2372,6,2593,19055,black
960,"Census Tract 43, Fulton County, Georgia",590,1800,103,2646,30272,black
961,"Census Tract 44, Fulton County, Georgia",46,1960,13,2036,18359,black
962,"Census Tract 48, Fulton County, Georgia",85,747,61,974,11199,black
963,"Census Tract 49, Fulton County, Georgia",1292,1175,152,2696,58887,NA
964,"Census Tract 50, Fulton County, Georgia",1435,446,135,2074,61806,white
965,"Census Tract 52, Fulton County, Georgia",3033,1357,317,4938,83542,white
966,"Census Tract 53, Fulton County, Georgia",2142,1281,170,3702,91216,white
967,"Census Tract 55.01, Fulton County, Georgia",362,1750,136,2537,25321,black
968,"Census Tract 55.02, Fulton County, Georgia",170,2450,25,2645,16726,black
969,"Census Tract 57, Fulton County, Georgia",19,1727,22,1768,17717,black
970,"Census Tract 58, Fulton County, Georgia",173,1529,0,1754,25795,black
971,"Census Tract 60, Fulton County, Georgia",135,2770,148,3083,26359,black
972,"Census Tract 61, Fulton County, Georgia",36,3474,47,3614,26107,black
973,"Census Tract 62, Fulton County, Georgia",102,1104,47,1366,24844,black
974,"Census Tract 63, Fulton County, Georgia",7,1623,0,1630,22009,black
975,"Census Tract 64, Fulton County, Georgia",180,613,269,1082,31324,black
976,"Census Tract 65, Fulton County, Georgia",446,3266,112,4030,41869,black
977,"Census Tract 66.01, Fulton County, Georgia",405,1949,39,2413,29911,black
978,"Census Tract 66.02, Fulton County, Georgia",0,1027,18,1091,13872,black
979,"Census Tract 67, Fulton County, Georgia",273,3453,46,3837,19629,black
980,"Census Tract 68.01, Fulton County, Georgia",531,1199,490,2355,-,black
981,"Census Tract 68.02, Fulton County, Georgia",0,1865,0,1907,"2,500-",black
982,"Census Tract 69, Fulton County, Georgia",1116,1584,851,3659,44271,NA
983,"Census Tract 70.01, Fulton County, Georgia",91,4539,37,4730,25441,black
984,"Census Tract 70.02, Fulton County, Georgia",199,1830,156,2217,25496,black
985,"Census Tract 71, Fulton County, Georgia",26,1890,11,1927,19470,black
986,"Census Tract 72, Fulton County, Georgia",7,1853,14,1978,23708,black
987,"Census Tract 73, Fulton County, Georgia",195,7568,47,7922,22982,black
988,"Census Tract 74, Fulton County, Georgia",339,1998,608,2959,14879,black
989,"Census Tract 75, Fulton County, Georgia",160,2982,144,3435,16695,black
990,"Census Tract 76.02, Fulton County, Georgia",13,2488,103,2705,35446,black
991,"Census Tract 76.03, Fulton County, Georgia",155,4381,50,4685,14112,black
992,"Census Tract 76.04, Fulton County, Georgia",0,2232,0,2242,16289,black
993,"Census Tract 77.03, Fulton County, Georgia",0,3759,0,3759,40793,black
994,"Census Tract 77.04, Fulton County, Georgia",0,4898,578,5496,33474,black
995,"Census Tract 77.05, Fulton County, Georgia",19,4761,59,4969,19248,black
996,"Census Tract 77.06, Fulton County, Georgia",193,8885,129,9337,42258,black
997,"Census Tract 78.02, Fulton County, Georgia",24,9113,100,9295,46056,black
998,"Census Tract 78.05, Fulton County, Georgia",85,2970,236,3385,32401,black
999,"Census Tract 78.06, Fulton County, Georgia",1,6136,259,6396,31552,black
1000,"Census Tract 78.07, Fulton County, Georgia",19,2294,541,2854,17324,black
1001,"Census Tract 78.08, Fulton County, Georgia",14,3800,402,4273,11440,black
1002,"Census Tract 79, Fulton County, Georgia",34,5742,0,6050,58750,black
1003,"Census Tract 80, Fulton County, Georgia",158,5119,43,5383,38056,black
1004,"Census Tract 81.01, Fulton County, Georgia",10,1155,0,1165,28929,black
1005,"Census Tract 81.02, Fulton County, Georgia",0,5921,913,6834,23032,black
1006,"Census Tract 82.01, Fulton County, Georgia",146,6037,399,6640,27001,black
1007,"Census Tract 82.02, Fulton County, Georgia",27,2013,6,2046,25757,black
1008,"Census Tract 83.01, Fulton County, Georgia",112,2006,0,2152,29926,black
1009,"Census Tract 83.02, Fulton County, Georgia",15,1649,0,1669,27381,black
1010,"Census Tract 84, Fulton County, Georgia",203,2929,48,3255,19250,black
1011,"Census Tract 85, Fulton County, Georgia",73,3362,0,3492,27740,black
1012,"Census Tract 86.01, Fulton County, Georgia",73,4519,1,4643,20440,black
1013,"Census Tract 86.02, Fulton County, Georgia",45,1104,0,1172,30563,black
1014,"Census Tract 87, Fulton County, Georgia",288,3912,35,4235,26279,black
1015,"Census Tract 88, Fulton County, Georgia",3113,1056,766,5148,93750,white
1016,"Census Tract 89.02, Fulton County, Georgia",3457,1438,409,6357,52442,white
1017,"Census Tract 89.03, Fulton County, Georgia",494,277,851,1771,70771,NA
1018,"Census Tract 89.04, Fulton County, Georgia",3340,669,301,4776,68098,white
1019,"Census Tract 90, Fulton County, Georgia",3879,249,222,4698,104038,white
1020,"Census Tract 91.01, Fulton County, Georgia",3535,788,87,4783,69750,white
1021,"Census Tract 91.02, Fulton County, Georgia",1842,834,193,3147,53482,white
1022,"Census Tract 92, Fulton County, Georgia",3346,1201,1225,6577,53331,white
1023,"Census Tract 93, Fulton County, Georgia",3759,282,350,4449,95179,white
1024,"Census Tract 94.02, Fulton County, Georgia",1933,935,1731,5115,63799,NA
1025,"Census Tract 94.03, Fulton County, Georgia",1650,1182,1373,5538,41296,NA
1026,"Census Tract 94.04, Fulton County, Georgia",3293,771,401,4737,72282,white
1027,"Census Tract 95.01, Fulton County, Georgia",3677,49,19,3823,133750,white
1028,"Census Tract 95.02, Fulton County, Georgia",2362,558,80,3112,48068,white
1029,"Census Tract 96.01, Fulton County, Georgia",2049,94,85,2417,93026,white
1030,"Census Tract 96.02, Fulton County, Georgia",3773,413,170,4717,91875,white
1031,"Census Tract 96.03, Fulton County, Georgia",2668,533,329,3901,61908,white
1032,"Census Tract 97, Fulton County, Georgia",3754,117,94,4069,164659,white
1033,"Census Tract 98.01, Fulton County, Georgia",4307,76,30,4544,132143,white
1034,"Census Tract 98.02, Fulton County, Georgia",3580,250,138,4394,154702,white
1035,"Census Tract 99, Fulton County, Georgia",3933,40,57,4346,108800,white
1036,"Census Tract 100.01, Fulton County, Georgia",3639,224,92,4291,100921,white
1037,"Census Tract 100.02, Fulton County, Georgia",5772,458,382,7073,142375,white
1038,"Census Tract 101.06, Fulton County, Georgia",2636,788,192,3904,70119,white
1039,"Census Tract 101.07, Fulton County, Georgia",1847,21,42,1985,150893,white
1040,"Census Tract 101.08, Fulton County, Georgia",2959,128,165,3581,154762,white
1041,"Census Tract 101.10, Fulton County, Georgia",3187,812,420,5140,74904,white
1042,"Census Tract 101.13, Fulton County, Georgia",3139,657,2547,6857,54515,NA
1043,"Census Tract 101.14, Fulton County, Georgia",4252,591,2025,7356,53763,white
1044,"Census Tract 101.15, Fulton County, Georgia",1810,216,123,2398,99500,white
1045,"Census Tract 101.17, Fulton County, Georgia",1213,1281,206,3005,43986,NA
1046,"Census Tract 101.18, Fulton County, Georgia",1238,2426,1086,5243,32591,NA
1047,"Census Tract 101.19, Fulton County, Georgia",1086,3218,521,5265,36659,black
1048,"Census Tract 101.20, Fulton County, Georgia",1116,871,228,2295,60811,NA
1049,"Census Tract 101.21, Fulton County, Georgia",1750,189,36,2193,59896,white
1050,"Census Tract 101.22, Fulton County, Georgia",2926,662,558,6051,74744,NA
1051,"Census Tract 101.23, Fulton County, Georgia",2212,1661,917,4981,52195,NA
1052,"Census Tract 102.04, Fulton County, Georgia",4391,80,172,4843,143611,white
1053,"Census Tract 102.05, Fulton County, Georgia",4376,318,52,5002,95703,white
1054,"Census Tract 102.06, Fulton County, Georgia",4401,168,219,5029,163194,white
1055,"Census Tract 102.08, Fulton County, Georgia",2137,1692,107,4285,48583,NA
1056,"Census Tract 102.09, Fulton County, Georgia",1845,2598,580,5339,50095,NA
1057,"Census Tract 102.10, Fulton County, Georgia",3755,1672,171,5810,58051,white
1058,"Census Tract 102.11, Fulton County, Georgia",2679,276,356,3495,158209,white
1059,"Census Tract 102.12, Fulton County, Georgia",2075,630,1972,5014,50361,NA
