,median_income,Geography
375,61953,"Census Tract 406.08, Clayton County, Georgia"
376,57882,"Census Tract 406.09, Clayton County, Georgia"
377,33477,"Census Tract 406.11, Clayton County, Georgia"
378,39167,"Census Tract 406.12, Clayton County, Georgia"
379,51496,"Census Tract 406.13, Clayton County, Georgia"
380,66141,"Census Tract 406.14, Clayton County, Georgia"
381,55972,"Census Tract 406.15, Clayton County, Georgia"
382,34349,"Census Tract 406.16, Clayton County, Georgia"
383,34792,"Census Tract 406.17, Clayton County, Georgia"
384,52337,"Census Tract 406.19, Clayton County, Georgia"
385,57639,"Census Tract 406.20, Clayton County, Georgia"
386,55619,"Census Tract 406.21, Clayton County, Georgia"
387,44384,"Census Tract 406.22, Clayton County, Georgia"
388,-,"Census Tract 9800, Clayton County, Georgia"
389,32625,"Census Tract 9701, Clinch County, Georgia"
390,20335,"Census Tract 9702, Clinch County, Georgia"
391,74417,"Census Tract 301.01, Cobb County, Georgia"
392,69647,"Census Tract 301.03, Cobb County, Georgia"
393,49125,"Census Tract 301.04, Cobb County, Georgia"
394,43192,"Census Tract 301.06, Cobb County, Georgia"
395,80392,"Census Tract 301.07, Cobb County, Georgia"
396,85565,"Census Tract 302.09, Cobb County, Georgia"
397,76637,"Census Tract 302.14, Cobb County, Georgia"
398,79679,"Census Tract 302.15, Cobb County, Georgia"
399,118125,"Census Tract 302.18, Cobb County, Georgia"
400,105875,"Census Tract 302.19, Cobb County, Georgia"
401,66553,"Census Tract 302.20, Cobb County, Georgia"
402,75125,"Census Tract 302.22, Cobb County, Georgia"
403,59351,"Census Tract 302.23, Cobb County, Georgia"
404,64418,"Census Tract 302.24, Cobb County, Georgia"
405,70139,"Census Tract 302.26, Cobb County, Georgia"
406,61403,"Census Tract 302.27, Cobb County, Georgia"
407,46069,"Census Tract 302.28, Cobb County, Georgia"
408,51104,"Census Tract 302.29, Cobb County, Georgia"
409,56936,"Census Tract 302.30, Cobb County, Georgia"
410,87153,"Census Tract 302.31, Cobb County, Georgia"
411,100600,"Census Tract 302.32, Cobb County, Georgia"
412,93750,"Census Tract 302.33, Cobb County, Georgia"
413,103180,"Census Tract 302.34, Cobb County, Georgia"
414,103050,"Census Tract 302.35, Cobb County, Georgia"
415,145284,"Census Tract 302.36, Cobb County, Georgia"
416,123180,"Census Tract 302.38, Cobb County, Georgia"
417,97188,"Census Tract 302.39, Cobb County, Georgia"
418,67222,"Census Tract 303.10, Cobb County, Georgia"
419,95625,"Census Tract 303.11, Cobb County, Georgia"
420,71988,"Census Tract 303.12, Cobb County, Georgia"
421,76510,"Census Tract 303.13, Cobb County, Georgia"
422,93226,"Census Tract 303.14, Cobb County, Georgia"
423,134111,"Census Tract 303.18, Cobb County, Georgia"
424,102847,"Census Tract 303.19, Cobb County, Georgia"
425,82115,"Census Tract 303.20, Cobb County, Georgia"
426,94844,"Census Tract 303.22, Cobb County, Georgia"
427,84282,"Census Tract 303.24, Cobb County, Georgia"
428,128536,"Census Tract 303.26, Cobb County, Georgia"
429,99688,"Census Tract 303.27, Cobb County, Georgia"
430,115040,"Census Tract 303.28, Cobb County, Georgia"
431,105488,"Census Tract 303.29, Cobb County, Georgia"
432,96552,"Census Tract 303.30, Cobb County, Georgia"
433,107743,"Census Tract 303.31, Cobb County, Georgia"
434,104632,"Census Tract 303.32, Cobb County, Georgia"
435,109353,"Census Tract 303.33, Cobb County, Georgia"
436,91435,"Census Tract 303.34, Cobb County, Georgia"
437,115129,"Census Tract 303.35, Cobb County, Georgia"
438,146649,"Census Tract 303.36, Cobb County, Georgia"
439,126371,"Census Tract 303.37, Cobb County, Georgia"
440,54437,"Census Tract 303.39, Cobb County, Georgia"
441,129653,"Census Tract 303.40, Cobb County, Georgia"
442,92217,"Census Tract 303.41, Cobb County, Georgia"
443,111094,"Census Tract 303.42, Cobb County, Georgia"
444,113838,"Census Tract 303.43, Cobb County, Georgia"
445,43765,"Census Tract 303.44, Cobb County, Georgia"
446,53347,"Census Tract 303.45, Cobb County, Georgia"
447,40817,"Census Tract 304.05, Cobb County, Georgia"
448,72875,"Census Tract 304.07, Cobb County, Georgia"
449,64326,"Census Tract 304.08, Cobb County, Georgia"
