precinct_id,avg_income
CV,94760
CW,88798
D,46484
DA,52622
DAN,46866
DB,50876
DC,54270
DC01,132493
DE,58802
DF,103827
DG,96604
DH,135172
DI,160064
DI01,48505
DL01,116287
DO01,135256
DOUGL,47529
DU01,122434
DV01,107702
E,40527
E-27,49589
EA,79561
EA01,123098
EA02,104083
EC,72854
EDDIN,49577
EDGH,61083
EE,64081
EF,77477
EG,119229
EL,96861
EL01,68594
EL02,71168
EL03,100861
EL04,69555
EL05,107627
EM1,39090
EM2,43763
EM3,41139
EM4,32596
EM5,44364
EM6,44666
EMPIR,39521
ENO,62398
EP,42000
EP01,52293
EP02,43892
EP03,40755
EP04,44265
EPH,46417
ER,61905
ES,41606
ET,57445
EW1,56891
F,44888
F1,41183
F2,48398
F3,40365
FA,48869
FA01A,60879
FA01B,49709
FAIR,101053
FB,198844
FC,40254
FE,65677
FG,64872
FI,60364
FJ,49470
FK,74771
FL,53216
FLIN,61418
FM,56107
FMMS,81626
FO01,59327
FO02,52728
FO04,44940
FO05,40736
FOR,56604
FP01,130955
FP1,37404
FP2,36158
FP3,36083
FP4,48948
FP5,37074
FP6,46714
FR01,140343
FRA,49121
FS,71812
FT O,46666
FY01,121281
G,49838
GA,109230
GB,51211
GC,55100
GD,93532
GF,46810
GF1,41417
GF2,33844
GF3,36526
GF4,22567
GF5,48090
GF6,28219
GF7,27623
GI,44952
GIBS,61157
GILL,38837
GL,41349
GM,77818
GM01,106836
GRAY,71556
GT01,86476
H,48182
HA,59224
HA1,37013
HA2,67141
HA3,53446
HA4,85572
HA5,31171
HA6,34275
HA7,67069
HAFS,70661
HAR,57336
HB,89219
HC,82869
HCTC,52209
HE,55016
HEFS,70322
HEMP,78737
HF,53033
HG,86316
HH,59679
HI,67972
HL01,80381
HO1,151346
HO2,112267
HO3,84586
HO4,34302
HO5,58498
HO6,61752
HO7,79745
HO8,99156
HOTH,61401
HP01,52728
HR01,129610
HT01,145876
HUL,60227
HV,40854
HY01,93312
IA,62494
IB,37218
ILA,35975
JA,37225
JAKIN,38051
JAMES,41486
JAYBI,65645
JB,43931
JB01,39950
JB02,49055
JB03,56670
JB04,37544
JB05,62887
JB06,98839
JB07,61433
JB08,44454
JB09,35854
JB10,44596
JB11,71921
JB12,52810
JB13,61797
JB14,66980
JB15,35193
JB16,40761
JB17,43619
JB18,52217
JC01,145437
JC02,120089
JC03A,98408
JC03B,98284
JC04A,163214
JC04B,113888
JC05,98304
JC06,126374
JC07,126874
JC08,126374
JC09,120524
JC10,111815
JC11,123049
JC12,170595
JC13A,215907
JC13B,216386
JC14,216248
JC15,127328
JC16,117226
JC17,118038
JC18A,98918
JC18B,118306
JC19,116617
JENK,69020
JONES,54939
JV/W,53056
KA,41761
KB,131181
KC,56589
KD,75854
KE,58134
KE1A,77291
KE2A,85755
KE3A,75817
KE4A,77347
KE5A,79727
KG,64676
KL01,90702
KP01,116309
KP02,99930
KP03,123445
L,44779
L9,41493
LA,87610
LA01,135352
LAKE,81112
LB,75189
LC,91571
LC1,50427
LD,48433
LE,60070
LEE,50876
LH,55572
LI01,133868
LISTO,57731
LJ1,50492
LJ2,59093
LJ3,66927
LJ4,62846
LJ5,48920
LM01,115800
LM02,132545
LM03,127467
LM04,130660
LO,77640
LOTH,41703
LS,39090
LT,51702
LU,40583
LV,96375
LW01,100008
LX,50541
M,41213
MA,65922
MA01,76598
