,v_id,avg_income,race
509,12109K,30510,black
510,12109L,35429,black
511,12109M,116890,white
512,12110A,36567,black
513,12110C,31080,black
514,12110D,28495,black
515,12110E,35188,black
516,12110F,42864,black
517,12110G,39498,black
518,12110H,33196,black
519,12110J,29343,black
520,12110L,71380,black
521,12110M,32980,black
522,12110P,31346,black
523,12110R,29417,black
524,12111A1,71364,black
525,12111A2,71195,black
526,12111B,72057,black
527,12111C,63953,black
528,12111E1,56967,black
529,12111E2,57014,black
530,12111E3,53405,black
531,12111G,26855,black
532,12111H,45824,black
533,12111J,35689,black
534,12111K,42834,black
535,12111M,58843,black
536,12111N,55476,black
537,12111P,43818,black
538,12111R,25939,black
539,12112A,57958,black
540,12112B,57822,black
541,12112C,42905,black
542,12112D,26172,black
543,12112E1,24544,black
544,12112F,44590,black
545,12112G,25997,black
546,12112H,35076,black
547,12112J,30993,black
548,12112L,24758,black
549,12112M,33015,black
550,12112S,42937,black
551,12112T,31526,black
552,121AP01A,115596,white
553,121AP01B,84740,white
554,121AP01C,122166,white
555,121AP01D,88568,white
556,121AP021,96833,white
557,121AP022,67786,white
558,121AP02B,67794,white
559,121AP03,60386,
560,121AP04A,124588,white
561,121AP04B,153895,white
562,121AP05,154278,white
563,121AP06,97642,white
564,121AP07A,90769,white
565,121AP07B,129501,white
566,121AP09A,108953,white
567,121AP09B,123345,white
568,121AP10,158669,white
569,121AP12A,89684,white
570,121AP13,129749,white
571,121AP14,127972,white
572,121CH01,35067,white
573,121CH02,34988,white
574,121CH03,35022,white
575,121CH04A,35107,white
576,121CH05,35023,white
577,121CP011,39629,black
578,121CP012,39393,black
579,121CP01B,71343,
580,121CP02,70777,
581,121CP04,37886,black
582,121CP051,52339,black
583,121CP05B,37025,black
584,121CP06,57702,white
585,121CP07A,37011,black
586,121CP07B,37009,black
587,121CP081,42597,black
588,121CP083,42614,black
589,121EP01A,25248,black
590,121EP01B,25260,black
591,121EP03,49166,black
592,121EP04,28209,white
593,121EP05,44934,
594,121EP06A,40551,black
595,121EP06B,49869,black
596,121EP071,46343,black
597,121EP072,47214,black
598,121EP07B,49154,black
599,121EP08A,47158,black
600,121EP08B,53596,black
601,121EP08D,40148,black
602,121EP09,33679,black
603,121EP10A,54577,black
604,121EP10B,53673,black
605,121EP11A,51168,black
606,121EP11B,53675,black
607,121FA01A,66492,black
608,121FA01B,40243,black
609,121HP01,50207,white
610,121JC01,135059,white
611,121JC02,117237,white
612,121JC03A,101116,white
613,121JC03B,100880,white
614,121JC04A,164014,white
615,121JC04B,121194,white
616,121JC05,100992,white
617,121JC06,138446,white
618,121JC07,126300,white
619,121JC08,138461,white
620,121JC09,110320,white
621,121JC10,119267,white
622,121JC11,113186,white
623,121JC12,189617,white
624,121JC13A,253558,white
625,121JC13B,253783,white
626,121JC14,253596,white
627,121JC15,137213,white
628,121JC16,135239,white
629,121JC17,135214,white
630,121JC18A,100897,white
631,121JC18B,136328,white
632,121JC19,105352,white
633,121ML011,153817,white
634,121ML012,154045,white
635,121ML01B,165480,white
636,121ML02A,209918,white
637,121ML02B,176259,white
638,121ML03,224689,white
639,121ML04,165279,white
640,121ML05,135763,white
641,121ML06,89433,white
642,121ML07A,224846,white
643,121ML07B,224858,white
644,121MP01,176675,white
645,121PA01,40648,
646,121RW01,115974,white
647,121RW02,127282,white
648,121RW03,75499,
649,121RW04,91111,white
650,121RW05,61676,
651,121RW06,91284,white
652,121RW07,44898,hispanic
653,121RW08,110477,white
654,121RW09,166018,white
655,121RW10,119088,white
656,121RW11A,97188,white
657,121RW12A,107076,white
658,121RW12B,101424,white
659,121RW13,109743,white
660,121RW15,166797,white
661,121RW16,105083,white
662,121RW17,90812,white
663,121RW18,137974,white
664,121RW19,163677,white
665,121RW20,128786,white
666,121RW21A,146891,white
667,121RW21B,255287,white
668,121RW22A,96307,white
669,121SC01B,91980,black
670,121SC02,70499,black
671,121SC04,43601,white
672,121SC05A,57790,white
673,121SC05B,96073,black
674,121SC07A,72219,black
675,121SC08B,44242,black
676,121SC08C,57699,black
677,121SC08D,40826,black
678,121SC08E,52344,black
679,121SC08F,52244,black
680,121SC09A,41222,black
681,121SC09B,40395,black
682,121SC10,42571,black
683,121SC11A,54551,black
684,121SC11B,54614,black
685,121SC13A,47676,white
686,121SC13B,47825,white
687,121SC14,37592,black
688,121SC16,87817,black
689,121SC17A,53486,black
690,121SC17C,41221,black
691,121SC18A,58629,black
692,121SC18B,100837,black
693,121SC19A,40996,black
694,121SC19B,48870,black
695,121SC211,56727,black
696,121SC212,40211,black
697,121SC23A,55638,black
698,121SC23B,57864,black
699,121SC27,41364,black
700,121SC29A,40339,black
701,121SC29B,52104,black
702,121SC30A,70808,black
703,121SC30B,62669,black
