,PRECINCT_N,COUNTY_NAM,avg_income,race,income_bin,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge
76,JONESBORO 1,CLAYTON,54801.0,black,mid,JONESBORO 1,4045.0,217.0,2371.0,2598.0,0.0835257890685,0.912625096228,CLAYTON,both
77,PANHANDLE 1,CLAYTON,73155.0,black,mid,PANHANDLE 1,2584.0,246.0,1569.0,1819.0,0.135239142386,0.862561847169,CLAYTON,both
78,JONESBORO 13,CLAYTON,62975.0,black,mid,JONESBORO 13,1426.0,195.0,840.0,1038.0,0.187861271676,0.809248554913,CLAYTON,both
79,LOVEJOY 4,CLAYTON,57914.0,black,mid,LOVEJOY 4,3473.0,237.0,2100.0,2343.0,0.101152368758,0.89628681178,CLAYTON,both
80,LOVEJOY 5,CLAYTON,53662.0,black,mid,LOVEJOY 5,2633.0,151.0,1449.0,1602.0,0.0942571785268,0.904494382022,CLAYTON,both
81,PANHANDLE 2,CLAYTON,73153.0,black,mid,PANHANDLE 2,2330.0,545.0,1106.0,1662.0,0.327918170878,0.665463297232,CLAYTON,both
82,JONESBORO 4,CLAYTON,37116.0,black,low,JONESBORO 4,2041.0,187.0,882.0,1076.0,0.173791821561,0.81970260223,CLAYTON,both
83,LOVEJOY 3,CLAYTON,68385.0,black,mid,LOVEJOY 3,5009.0,640.0,2535.0,3186.0,0.200878844947,0.795668549906,CLAYTON,both
84,LOVEJOY 1,CLAYTON,54255.0,black,mid,LOVEJOY 1,3141.0,360.0,1722.0,2095.0,0.171837708831,0.821957040573,CLAYTON,both
85,LOVEJOY 2,CLAYTON,55644.0,black,mid,LOVEJOY 2,2696.0,198.0,1482.0,1687.0,0.117368109069,0.878482513337,CLAYTON,both
86,JONESBORO 5,CLAYTON,69130.0,black,mid,JONESBORO 5,1763.0,329.0,839.0,1177.0,0.279524214104,0.712829226848,CLAYTON,both
87,JONESBORO 14,CLAYTON,72645.0,black,mid,JONESBORO 14,3739.0,987.0,1786.0,2787.0,0.354144241119,0.640832436311,CLAYTON,both
88,003 DACULA,GWINNETT,84350.0,white,mid,003 DACULA,3317.0,1323.0,1161.0,2504.0,0.528354632588,0.463658146965,GWINNETT,both
89,152 ROCKYCREEK C,GWINNETT,87631.0,white,mid,152 ROCKYCREEK C,3275.0,1744.0,848.0,2633.0,0.662362324345,0.322066084314,GWINNETT,both
90,137 ROCKYCREEK B,GWINNETT,75888.0,white,mid,137 ROCKYCREEK B,3733.0,1888.0,911.0,2844.0,0.663853727145,0.320323488045,GWINNETT,both
91,154 PUCKETTS D,GWINNETT,81967.0,white,mid,154 PUCKETTS D,2306.0,1360.0,433.0,1813.0,0.750137892995,0.238830667402,GWINNETT,both
92,008 DUNCANS A,GWINNETT,108937.0,white,high,008 DUNCANS A,3367.0,2109.0,560.0,2706.0,0.779379157428,0.206947524021,GWINNETT,both
93,013 DUNCANS C,GWINNETT,107643.0,white,high,013 DUNCANS C,2384.0,1546.0,386.0,1948.0,0.79363449692,0.198151950719,GWINNETT,both
94,RW09,FULTON,166018.0,white,high,RW09,2493.0,1422.0,388.0,1827.0,0.778325123153,0.212370005473,FULTON,both
95,001 HARBINS A,GWINNETT,75541.0,white,mid,001 HARBINS A,3941.0,1863.0,1108.0,3016.0,0.617705570292,0.367374005305,GWINNETT,both
96,151 HARBINS C,GWINNETT,75551.0,white,mid,151 HARBINS C,1686.0,1027.0,306.0,1348.0,0.761869436202,0.227002967359,GWINNETT,both
97,133 HARBINS B,GWINNETT,79589.0,white,mid,133 HARBINS B,2886.0,1657.0,468.0,2165.0,0.765357967667,0.216166281755,GWINNETT,both
98,028 ROCKYCREEK A,GWINNETT,99931.0,white,mid,028 ROCKYCREEK A,3838.0,1966.0,1016.0,3005.0,0.654242928453,0.338103161398,GWINNETT,both
99,129 DUNCANS B,GWINNETT,110362.0,white,high,129 DUNCANS B,3187.0,1930.0,527.0,2494.0,0.773857257418,0.211307137129,GWINNETT,both
100,009 PUCKETTS A,GWINNETT,86571.0,white,mid,009 PUCKETTS A,3437.0,2016.0,636.0,2683.0,0.751397689154,0.237048080507,GWINNETT,both
101,135 PUCKETTS C,GWINNETT,96220.0,white,mid,135 PUCKETTS C,2213.0,1212.0,463.0,1704.0,0.711267605634,0.271713615023,GWINNETT,both
102,039 DUNCANS D,GWINNETT,117338.0,white,high,039 DUNCANS D,4059.0,2488.0,619.0,3146.0,0.790845518118,0.196757787667,GWINNETT,both
