ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race
5134143.0,1456.0,121JC01,JC01,JC01,60,FULTON,121,610.0,135059.0,white
5134205.0,1685.0,1357,7,007 DULUTH A,67,GWINNETT,135,872.0,95294.0,white
5134369.0,1833.0,135155,155,155 SUWANEE G,67,GWINNETT,135,811.0,117052.0,white
5134413.0,1818.0,135140,140,140 SUWANEE H,67,GWINNETT,135,795.0,141303.0,white
5134473.0,1695.0,13517,17,017 MARTINS A,67,GWINNETT,135,814.0,60507.0,
5147993.0,1784.0,135106,106,106 SUWANEE C,67,GWINNETT,135,757.0,98622.0,white
5148059.0,1809.0,135131,131,131 SUWANEE E,67,GWINNETT,135,785.0,141298.0,white
5148107.0,1682.0,1354,4,004 SUWANEE A,67,GWINNETT,135,839.0,101057.0,white
5148173.0,1776.0,13598,98,098 GOODWINS F,67,GWINNETT,135,903.0,81563.0,white
5148242.0,1820.0,135142,142,142 SUWANEE F,67,GWINNETT,135,797.0,113240.0,white
5148300.0,1778.0,135100,100,100 SUWANEE B,67,GWINNETT,135,751.0,113293.0,white
5148354.0,1708.0,13530,30,030 CATES C,67,GWINNETT,135,829.0,67276.0,
5184786.0,1748.0,13570,70,070 GOODWINS B,67,GWINNETT,135,873.0,98960.0,white
5184832.0,1704.0,13526,26,026 HOG MOUNTAIN A,67,GWINNETT,135,824.0,79532.0,white
5184887.0,1709.0,13531,31,031 HOG MOUNTAIN D,67,GWINNETT,135,830.0,84718.0,white
5184936.0,1814.0,135136,136,136 HOG MOUNTAIN C,67,GWINNETT,135,790.0,75888.0,white
5184992.0,1745.0,13567,67,067 PUCKETTS E,67,GWINNETT,135,869.0,86443.0,white
5185050.0,1749.0,13571,71,071 LAWRENCEVILLE F,67,GWINNETT,135,874.0,74203.0,
5185102.0,1822.0,135144,144,144 LAWRENCEVILLE M,67,GWINNETT,135,799.0,66072.0,
5185171.0,1705.0,13527,27,027 HOG MOUNTAIN B,67,GWINNETT,135,825.0,87792.0,white
5202500.0,1511.0,121RW19,RW19,RW19,60,FULTON,121,664.0,163677.0,white
5202549.0,1481.0,121ML01B,ML01B,ML01B,60,FULTON,121,635.0,165480.0,white
5202620.0,1480.0,121ML012,ML012,ML012,60,FULTON,121,634.0,154045.0,white
5202671.0,1400.0,121AP04A,AP04A,AP04A,60,FULTON,121,560.0,124588.0,white
5202735.0,1479.0,121ML011,ML011,ML011,60,FULTON,121,633.0,153817.0,white
5202879.0,1401.0,121AP04B,AP04B,AP04B,60,FULTON,121,561.0,153895.0,white
4694626.0,1250.0,12102B,02B,02B,60,FULTON,121,414.0,58125.0,
