ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race,XCOORD,YCOORD
1048163.000000000000000,472.000000000000000,063JB10,JB10,JONESBORO 10,31,CLAYTON,063,16,42891,black,-84.375385,33.523475
1048228.000000000000000,471.000000000000000,063JB09,JB09,JONESBORO 9,31,CLAYTON,063,15,36321,,-84.371466,33.547033
4752225.000000000000000,935.000000000000000,089OV,OV,OAK VIEW ELEM,44,DEKALB,089,337,51276,black,-84.265670,33.677148
4752290.000000000000000,885.000000000000000,089HH,HH,HARRIS-NARVIE J. HARRIS ELEM,44,DEKALB,089,287,61401,black,-84.253238,33.662801
4752358.000000000000000,872.000000000000000,089FK,FK,FLAKES MILL FIRE STATION,44,DEKALB,089,274,78747,black,-84.241043,33.646218
4752408.000000000000000,869.000000000000000,089FE,FE,FLAT SHOALS PARKWAY,44,DEKALB,089,271,67909,black,-84.230138,33.671994
4752472.000000000000000,836.000000000000000,089CG,CG,CHAPEL HILL ELEM,44,DEKALB,089,237,69569,black,-84.215107,33.677186
4743397.000000000000000,470.000000000000000,063JB08,JB08,JONESBORO 8,31,CLAYTON,063,14,47459,black,-84.278378,33.556307
4743462.000000000000000,494.000000000000000,063MO8,MO8,MORROW 8,31,CLAYTON,063,38,60025,black,-84.276461,33.568855
4743511.000000000000000,491.000000000000000,063MO5,MO5,MORROW 5,31,CLAYTON,063,35,62479,black,-84.269911,33.593436
4646566.000000000000000,508.000000000000000,063RD07,RD07,RIVERDALE 7,31,CLAYTON,063,52,41924,black,-84.390760,33.582276
4646631.000000000000000,459.000000000000000,063FP3,FP3,FOREST PARK 3,31,CLAYTON,063,3,40214,black,-84.390084,33.614651
4646732.000000000000000,507.000000000000000,063RD06,RD06,RIVERDALE 6,31,CLAYTON,063,51,38543,black,-84.371785,33.571033
4646805.000000000000000,477.000000000000000,063JB15,JB15,JONESBORO 15,31,CLAYTON,063,21,41310,black,-84.355757,33.565054
4646876.000000000000000,461.000000000000000,063FP5,FP5,FOREST PARK 5,31,CLAYTON,063,5,38031,,-84.374529,33.594664
4646946.000000000000000,462.000000000000000,063FP6,FP6,FOREST PARK 6,31,CLAYTON,063,6,44360,,-84.352956,33.589724
4640815.000000000000000,505.000000000000000,063RD04,RD04,RIVERDALE 4,31,CLAYTON,063,49,51116,black,-84.398593,33.569526
4123627.000000000000000,509.000000000000000,063RD08,RD08,RIVERDALE 8,31,CLAYTON,063,53,65003,black,-84.441371,33.561459
4123721.000000000000000,502.000000000000000,063RD01,RD01,RIVERDALE 1,31,CLAYTON,063,46,61449,black,-84.440382,33.579641
4123781.000000000000000,504.000000000000000,063RD03,RD03,RIVERDALE 3,31,CLAYTON,063,48,50131,black,-84.422169,33.573945
4123865.000000000000000,499.000000000000000,063OAK4,OAK4,OAK 4,31,CLAYTON,063,43,47995,black,-84.437928,33.597820
4123921.000000000000000,497.000000000000000,063OAK2,OAK2,OAK 2,31,CLAYTON,063,41,47505,black,-84.434929,33.613379
4123980.000000000000000,511.000000000000000,063RD10,RD10,RIVERDALE 10,31,CLAYTON,063,55,36016,black,-84.417643,33.589509
4124027.000000000000000,498.000000000000000,063OAK3,OAK3,OAK 3,31,CLAYTON,063,42,38539,black,-84.415014,33.603690
4124092.000000000000000,1427.000000000000000,121CP06,CP06,CP06,60,FULTON,121,584,57702,white,-84.466553,33.626154
4118051.000000000000000,1371.000000000000000,12111J,11J,11J,60,FULTON,121,533,35689,black,-84.488249,33.684081
4118101.000000000000000,1450.000000000000000,121EP10B,EP10B,EP10B,60,FULTON,121,604,53673,black,-84.480215,33.671376
4118148.000000000000000,1550.000000000000000,121SC23A,SC23A,SC23A,60,FULTON,121,697,55638,black,-84.470795,33.564428
4118217.000000000000000,512.000000000000000,063RD11,RD11,RIVERDALE 11,31,CLAYTON,063,56,67740,black,-84.454006,33.578224
4118281.000000000000000,1552.000000000000000,121SC27,SC27,SC27,60,FULTON,121,699,41364,black,-84.463828,33.599699
4118330.000000000000000,1432.000000000000000,121CP083,CP083,CP083,60,FULTON,121,588,42614,black,-84.468680,33.612519
4102005.000000000000000,1553.000000000000000,121SC29A,SC29A,SC29A,60,FULTON,121,700,40339,black,-84.500953,33.568516
4102052.000000000000000,1551.000000000000000,121SC23B,SC23B,SC23B,60,FULTON,121,698,57864,black,-84.495021,33.554997
4102083.000000000000000,1532.000000000000000,121SC09B,SC09B,SC09B,60,FULTON,121,681,40395,black,-84.497234,33.586539
4102134.000000000000000,1535.000000000000000,121SC11B,SC11B,SC11B,60,FULTON,121,684,54614,black,-84.487567,33.573040
4102180.000000000000000,1534.000000000000000,121SC11A,SC11A,SC11A,60,FULTON,121,683,54551,black,-84.476128,33.580888
4102272.000000000000000,1604.000000000000000,121UC033,UC033,UC033,60,FULTON,121,748,43303,black,-84.502588,33.590171
4102305.000000000000000,1528.000000000000000,121SC08D,SC08D,SC08D,60,FULTON,121,677,40826,black,-84.494275,33.603752
4102329.000000000000000,1596.000000000000000,121UC01B,UC01B,UC01B,60,FULTON,121,743,40409,black,-84.492968,33.605981
4102402.000000000000000,1531.000000000000000,121SC09A,SC09A,SC09A,60,FULTON,121,680,41222,black,-84.479512,33.595311
4102449.000000000000000,1533.000000000000000,121SC10,SC10,SC10,60,FULTON,121,682,42571,black,-84.480494,33.608024
4102539.000000000000000,1430.000000000000000,121CP081,CP081,CP081,60,FULTON,121,587,42597,black,-84.477997,33.617332
4095998.000000000000000,1595.000000000000000,121UC01A,UC01A,UC01A,60,FULTON,121,742,52129,black,-84.539297,33.583711
4096061.000000000000000,1602.000000000000000,121UC031,UC031,UC031,60,FULTON,121,746,49883,black,-84.518135,33.564968
4096147.000000000000000,1529.000000000000000,121SC08E,SC08E,SC08E,60,FULTON,121,678,52344,black,-84.522922,33.582448
4096175.000000000000000,1554.000000000000000,121SC29B,SC29B,SC29B,60,FULTON,121,701,52104,black,-84.513545,33.584617
4096338.000000000000000,1526.000000000000000,121SC08B,SC08B,SC08B,60,FULTON,121,675,44242,black,-84.513664,33.603945
4061416.000000000000000,1523.000000000000000,121SC07A,SC07A,SC07A,60,FULTON,121,674,72219,black,-84.624144,33.572924
3975344.000000000000000,1415.000000000000000,121CH03,CH03,CH03,60,FULTON,121,574,35022,white,-84.751412,33.583595
