,ID,DATA,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY_NUM,COUNTY_NAM,FIPS2,2012_preci,avg_income,race,XCOORD,YCOORD,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county,_merge,income_bin
32,4123627.0,509.0,063RD08,RD08,RIVERDALE 8,31.0,CLAYTON,63.0,53.0,65003.0,black,-84.441371,33.561459,RIVERDALE 8,2413.0,173.0,1553.0,1729.0,0.1000578369,0.898207056102,CLAYTON,both,mid
33,4123721.0,502.0,063RD01,RD01,RIVERDALE 1,31.0,CLAYTON,63.0,46.0,61449.0,black,-84.440382,33.579641,RIVERDALE 1,2090.0,108.0,1408.0,1517.0,0.0711931443639,0.928147659855,CLAYTON,both,mid
34,4123781.0,504.0,063RD03,RD03,RIVERDALE 3,31.0,CLAYTON,63.0,48.0,50131.0,black,-84.422169,33.573945,RIVERDALE 3,3164.0,91.0,1849.0,1945.0,0.0467866323907,0.950642673522,CLAYTON,both,mid
35,4123865.0,499.0,063OAK4,OAK4,OAK 4,31.0,CLAYTON,63.0,43.0,47995.0,black,-84.437928,33.59782,OAK 4,3059.0,54.0,1659.0,1716.0,0.0314685314685,0.966783216783,CLAYTON,both,low
36,4123921.0,497.0,063OAK2,OAK2,OAK 2,31.0,CLAYTON,63.0,41.0,47505.0,black,-84.434929,33.613379,OAK 2,1552.0,39.0,628.0,669.0,0.0582959641256,0.938714499253,CLAYTON,both,low
37,4123980.0,511.0,063RD10,RD10,RIVERDALE 10,31.0,CLAYTON,63.0,55.0,36016.0,black,-84.417643,33.589509,RIVERDALE 10,2667.0,27.0,1263.0,1291.0,0.0209140201394,0.978311386522,CLAYTON,both,low
38,4124027.0,498.0,063OAK3,OAK3,OAK 3,31.0,CLAYTON,63.0,42.0,38539.0,black,-84.415014,33.60369,OAK 3,3893.0,52.0,1935.0,1988.0,0.0261569416499,0.973340040241,CLAYTON,both,low
39,4124092.0,1427.0,121CP06,CP06,CP06,60.0,FULTON,121.0,584.0,57702.0,white,-84.466553,33.626154,CP06,406.0,3.0,213.0,216.0,0.0138888888889,0.986111111111,FULTON,both,mid
40,4118051.0,1371.0,12111J,11J,11J,60.0,FULTON,121.0,533.0,35689.0,black,-84.488249,33.684081,11J,1411.0,14.0,1078.0,1096.0,0.0127737226277,0.983576642336,FULTON,both,low
41,4118101.0,1450.0,121EP10B,EP10B,EP10B,60.0,FULTON,121.0,604.0,53673.0,black,-84.480215,33.671376,EP10B,575.0,18.0,455.0,475.0,0.0378947368421,0.957894736842,FULTON,both,mid
42,4118148.0,1550.0,121SC23A,SC23A,SC23A,60.0,FULTON,121.0,697.0,55638.0,black,-84.470795,33.564428,SC23A,4137.0,76.0,2980.0,3062.0,0.0248203788374,0.97322011757,FULTON,both,mid
43,4118217.0,512.0,063RD11,RD11,RIVERDALE 11,31.0,CLAYTON,63.0,56.0,67740.0,black,-84.454006,33.578224,RIVERDALE 11,1679.0,70.0,1119.0,1191.0,0.0587741393787,0.939546599496,CLAYTON,both,mid
44,4118281.0,1552.0,121SC27,SC27,SC27,60.0,FULTON,121.0,699.0,41364.0,black,-84.463828,33.599699,SC27,1869.0,32.0,1391.0,1426.0,0.0224403927069,0.975455820477,FULTON,both,low
46,4102005.0,1553.0,121SC29A,SC29A,SC29A,60.0,FULTON,121.0,700.0,40339.0,black,-84.500953,33.568516,SC29A,2355.0,24.0,1739.0,1770.0,0.0135593220339,0.982485875706,FULTON,both,low
47,4102052.0,1551.0,121SC23B,SC23B,SC23B,60.0,FULTON,121.0,698.0,57864.0,black,-84.495021,33.554997,SC23B,417.0,14.0,300.0,315.0,0.0444444444444,0.952380952381,FULTON,both,mid
48,4102083.0,1532.0,121SC09B,SC09B,SC09B,60.0,FULTON,121.0,681.0,40395.0,black,-84.497234,33.586539,SC09B,1371.0,19.0,1029.0,1050.0,0.0180952380952,0.98,FULTON,both,low
49,4102134.0,1535.0,121SC11B,SC11B,SC11B,60.0,FULTON,121.0,684.0,54614.0,black,-84.487567,33.57304,SC11B,1247.0,11.0,941.0,955.0,0.0115183246073,0.985340314136,FULTON,both,mid
50,4102180.0,1534.0,121SC11A,SC11A,SC11A,60.0,FULTON,121.0,683.0,54551.0,black,-84.476128,33.580888,SC11A,1331.0,18.0,1009.0,1028.0,0.0175097276265,0.981517509728,FULTON,both,mid
51,4102272.0,1604.0,121UC033,UC033,UC033,60.0,FULTON,121.0,748.0,43303.0,black,-84.502588,33.590171,UC033,35.0,3.0,24.0,27.0,0.111111111111,0.888888888889,FULTON,both,low
52,4102305.0,1528.0,121SC08D,SC08D,SC08D,60.0,FULTON,121.0,677.0,40826.0,black,-84.494275,33.603752,SC08D,409.0,5.0,301.0,306.0,0.016339869281,0.983660130719,FULTON,both,low
53,4102329.0,1596.0,121UC01B,UC01B,UC01B,60.0,FULTON,121.0,743.0,40409.0,black,-84.492968,33.605981,UC01B,229.0,4.0,149.0,153.0,0.0261437908497,0.97385620915,FULTON,both,low
54,4102402.0,1531.0,121SC09A,SC09A,SC09A,60.0,FULTON,121.0,680.0,41222.0,black,-84.479512,33.595311,SC09A,2730.0,57.0,1868.0,1929.0,0.0295489891135,0.968377397615,FULTON,both,low
55,4102449.0,1533.0,121SC10,SC10,SC10,60.0,FULTON,121.0,682.0,42571.0,black,-84.480494,33.608024,SC10,1386.0,18.0,836.0,854.0,0.0210772833724,0.978922716628,FULTON,both,low
56,4102539.0,1430.0,121CP081,CP081,CP081,60.0,FULTON,121.0,587.0,42597.0,black,-84.477997,33.617332,CP081,245.0,2.0,132.0,134.0,0.0149253731343,0.985074626866,FULTON,both,low
57,4095998.0,1595.0,121UC01A,UC01A,UC01A,60.0,FULTON,121.0,742.0,52129.0,black,-84.539297,33.583711,UC01A,3087.0,58.0,1995.0,2056.0,0.0282101167315,0.9703307393,FULTON,both,mid
58,4096061.0,1602.0,121UC031,UC031,UC031,60.0,FULTON,121.0,746.0,49883.0,black,-84.518135,33.564968,UC031,1327.0,116.0,740.0,858.0,0.135198135198,0.862470862471,FULTON,both,low
59,4096147.0,1529.0,121SC08E,SC08E,SC08E,60.0,FULTON,121.0,678.0,52344.0,black,-84.522922,33.582448,SC08E,252.0,1.0,187.0,189.0,0.00529100529101,0.989417989418,FULTON,both,mid
60,4096175.0,1554.0,121SC29B,SC29B,SC29B,60.0,FULTON,121.0,701.0,52104.0,black,-84.513545,33.584617,SC29B,134.0,4.0,96.0,100.0,0.04,0.96,FULTON,both,mid
61,4096338.0,1526.0,121SC08B,SC08B,SC08B,60.0,FULTON,121.0,675.0,44242.0,black,-84.513664,33.603945,SC08B,2876.0,73.0,2023.0,2103.0,0.0347123157394,0.961959106039,FULTON,both,low
62,4061416.0,1523.0,121SC07A,SC07A,SC07A,60.0,FULTON,121.0,674.0,72219.0,black,-84.624144,33.572924,SC07A,3789.0,359.0,2566.0,2932.0,0.1224420191,0.87517053206,FULTON,both,mid
63,3975344.0,1415.0,121CH03,CH03,CH03,60.0,FULTON,121.0,574.0,35022.0,white,-84.751412,33.583595,CH03,289.0,173.0,60.0,234.0,0.739316239316,0.25641025641,FULTON,both,low
64,3975483.0,1414.0,121CH02,CH02,CH02,60.0,FULTON,121.0,573.0,34988.0,white,-84.706726,33.593946,CH02,286.0,94.0,120.0,216.0,0.435185185185,0.555555555556,FULTON,both,low
65,3975541.0,1413.0,121CH01,CH01,CH01,60.0,FULTON,121.0,572.0,35067.0,white,-84.690312,33.562941,CH01,214.0,39.0,95.0,135.0,0.288888888889,0.703703703704,FULTON,both,low
66,3975586.0,1520.0,121SC04,SC04,SC04,60.0,FULTON,121.0,671.0,43601.0,white,-84.683201,33.616471,SC04,818.0,316.0,330.0,649.0,0.486902927581,0.508474576271,FULTON,both,low
67,1061171.0,480.0,063JB18,JB18,JONESBORO 18,31.0,CLAYTON,63.0,24.0,56380.0,black,-84.336409,33.553545,JONESBORO 18,2644.0,244.0,1401.0,1656.0,0.147342995169,0.846014492754,CLAYTON,both,mid
68,1061250.0,473.0,063JB11,JB11,JONESBORO 11,31.0,CLAYTON,63.0,17.0,70799.0,black,-84.319021,33.534289,JONESBORO 11,3305.0,614.0,1670.0,2303.0,0.266608771168,0.725141120278,CLAYTON,both,mid
69,1061344.0,469.0,063JB07,JB07,JONESBORO 7,31.0,CLAYTON,63.0,13.0,63803.0,black,-84.318887,33.550985,JONESBORO 7,2771.0,402.0,1465.0,1876.0,0.214285714286,0.78091684435,CLAYTON,both,mid
70,1061410.0,468.0,063JB06,JB06,JONESBORO 6,31.0,CLAYTON,63.0,12.0,95494.0,white,-84.301431,33.52299,JONESBORO 6,2224.0,973.0,696.0,1691.0,0.575399172088,0.41159077469,CLAYTON,both,mid
71,785561.0,1418.0,121CH05,CH05,CH05,60.0,FULTON,121.0,576.0,35023.0,white,-84.785387,33.541167,CH05,346.0,235.0,43.0,280.0,0.839285714286,0.153571428571,FULTON,both,low
72,785734.0,1416.0,121CH04A,CH04A,CH04A,60.0,FULTON,121.0,575.0,35107.0,white,-84.715887,33.526988,CH04A,372.0,195.0,100.0,298.0,0.654362416107,0.335570469799,FULTON,both,low
73,894105.0,503.0,063RD02,RD02,RIVERDALE 2,31.0,CLAYTON,63.0,47.0,45682.0,black,-84.427636,33.534674,RIVERDALE 2,2986.0,64.0,1691.0,1760.0,0.0363636363636,0.960795454545,CLAYTON,both,low
74,894162.0,474.0,063JB12,JB12,JONESBORO 12,31.0,CLAYTON,63.0,18.0,51060.0,black,-84.411812,33.530192,JONESBORO 12,2429.0,116.0,1359.0,1476.0,0.0785907859079,0.920731707317,CLAYTON,both,mid
75,894197.0,513.0,063RD12,RD12,RIVERDALE 12,31.0,CLAYTON,63.0,57.0,55731.0,black,-84.424082,33.552208,RIVERDALE 12,2657.0,108.0,1686.0,1798.0,0.0600667408231,0.937708565072,CLAYTON,both,mid
76,886223.0,463.0,063JB01,JB01,JONESBORO 1,31.0,CLAYTON,63.0,7.0,54801.0,black,-84.413927,33.507094,JONESBORO 1,4045.0,217.0,2371.0,2598.0,0.0835257890685,0.912625096228,CLAYTON,both,mid
77,1040813.0,500.0,063PH1,PH1,PANHANDLE 1,31.0,CLAYTON,63.0,44.0,73155.0,black,-84.391763,33.428545,PANHANDLE 1,2584.0,246.0,1569.0,1819.0,0.135239142386,0.862561847169,CLAYTON,both,mid
78,1040851.0,475.0,063JB13,JB13,JONESBORO 13,31.0,CLAYTON,63.0,19.0,62975.0,black,-84.377235,33.483269,JONESBORO 13,1426.0,195.0,840.0,1038.0,0.187861271676,0.809248554913,CLAYTON,both,mid
79,1040904.0,485.0,063LJ4,LJ4,LOVEJOY 4,31.0,CLAYTON,63.0,29.0,57914.0,black,-84.35843,33.459624,LOVEJOY 4,3473.0,237.0,2100.0,2343.0,0.101152368758,0.89628681178,CLAYTON,both,mid
80,1040947.0,486.0,063LJ5,LJ5,LOVEJOY 5,31.0,CLAYTON,63.0,30.0,53662.0,black,-84.357755,33.470864,LOVEJOY 5,2633.0,151.0,1449.0,1602.0,0.0942571785268,0.904494382022,CLAYTON,both,mid
81,1032511.0,501.0,063PH2,PH2,PANHANDLE 2,31.0,CLAYTON,63.0,45.0,73153.0,black,-84.372511,33.389304,PANHANDLE 2,2330.0,545.0,1106.0,1662.0,0.327918170878,0.665463297232,CLAYTON,both,mid
