Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,county
HAWTHORNE ELEM - CHAMBLEE,264,79,102,189,0.417989417989,0.539682539683,DEKALB
HENDERSON MILL ELEM,2576,871,1018,1921,0.453409682457,0.529932326913,DEKALB
HUGH HOWELL,1543,690,594,1292,0.534055727554,0.459752321981,DEKALB
HUNTLEY HILLS ELEM,2087,471,906,1405,0.335231316726,0.644839857651,DEKALB
IDLEWOOD ELEM,1884,301,997,1321,0.227857683573,0.754731264194,DEKALB
INDIAN CREEK ELEM,1733,130,874,1018,0.127701375246,0.858546168959,DEKALB
JOHNSON ESTATES,1036,302,512,830,0.363855421687,0.61686746988,DEKALB
JOLLY ELEM,2253,113,1225,1347,0.0838901262064,0.909428359317,DEKALB
KELLEY CHAPEL ROAD,1159,34,887,921,0.0369163952226,0.963083604777,DEKALB
KELLEY LAKE ELEM,2468,29,1699,1734,0.0167243367935,0.979815455594,DEKALB
KING-ML KING JR HIGH,3358,41,2702,2748,0.0149199417758,0.98326055313,DEKALB
KINGSLEY ELEM,2199,1298,501,1824,0.711622807018,0.274671052632,DEKALB
KNOLLWOOD ELEM,1934,72,1289,1369,0.0525931336742,0.941563184806,DEKALB
KITTREDGE CHAMBLEE,1245,454,472,940,0.482978723404,0.502127659574,DEKALB
KITTREDGE BROOKHAVEN,560,269,185,462,0.582251082251,0.400432900433,DEKALB
LAKESIDE HIGH,2753,1121,1100,2252,0.497779751332,0.488454706927,DEKALB
LAVISTA,2126,586,873,1477,0.396750169262,0.591062965471,DEKALB
LAVISTA ROAD,1811,503,719,1251,0.40207833733,0.574740207834,DEKALB
LIN-MARY LIN ELEM,2667,493,1321,1857,0.265481960151,0.711362412493,DEKALB
LITHONIA,1146,48,679,731,0.0656634746922,0.928864569083,DEKALB
LITHONIA HIGH,2523,22,1779,1807,0.0121748754842,0.984504703929,DEKALB
LIVSEY ELEM,1225,590,431,1042,0.566218809981,0.413627639155,DEKALB
MARBUT ELEM,3456,26,2452,2484,0.0104669887279,0.987117552335,DEKALB
MATHIS-BOB MATHIS ELEM,2418,83,1893,1979,0.0419403739262,0.956543708944,DEKALB
MCLENDON,1910,295,967,1287,0.229215229215,0.75135975136,DEKALB
MCNAIR ACADEMY,1593,53,1049,1113,0.047619047619,0.942497753819,DEKALB
MCNAIR HIGH,3009,156,1947,2130,0.0732394366197,0.914084507042,DEKALB
MCNAIR MIDDLE,1997,45,1341,1395,0.0322580645161,0.961290322581,DEKALB
MCWILLIAMS,1733,18,1317,1337,0.0134629768138,0.985041136874,DEKALB
MEADOWVIEW ELEM,2779,76,1929,2015,0.0377171215881,0.957320099256,DEKALB
MEDLOCK ELEM,1948,458,990,1478,0.309878213802,0.669824086604,DEKALB
MEMORIAL NORTH,2768,189,1408,1609,0.117464263518,0.875077688005,DEKALB
MEMORIAL SOUTH,1478,78,833,918,0.0849673202614,0.907407407407,DEKALB
METROPOLITAN,2350,157,1417,1619,0.0969734403953,0.87523162446,DEKALB
MIDVALE ELEM,1804,908,570,1498,0.606141522029,0.380507343124,DEKALB
MIDVALE ROAD,2336,724,1064,1803,0.401552967277,0.590127565169,DEKALB
MIDWAY ELEM,2352,131,1358,1500,0.0873333333333,0.905333333333,DEKALB
MILLER-ELDRIDGE L. MILLER ELEM,2665,91,1880,1975,0.0460759493671,0.951898734177,DEKALB
MILLER GROVE HIGH,2360,18,1577,1595,0.0112852664577,0.988714733542,DEKALB
MILLER GROVE MIDDLE,3013,26,2060,2089,0.0124461464816,0.986117759694,DEKALB
MILLER GROVE ROAD,1847,32,1462,1500,0.0213333333333,0.974666666667,DEKALB
MONTCLAIR ELEM,1979,302,903,1221,0.247338247338,0.739557739558,DEKALB
MONTGOMERY ELEM,3371,1689,1001,2752,0.613735465116,0.363735465116,DEKALB
MONTREAL,1406,400,638,1059,0.377714825307,0.602455146364,DEKALB
MT. VERNON EAST,2286,1402,512,1934,0.724922440538,0.264736297828,DEKALB
MT. VERNON WEST,2025,967,554,1546,0.625485122898,0.358344113842,DEKALB
NORTH DECATUR,1497,211,690,918,0.229847494553,0.751633986928,DEKALB
NORTH HAIRSTON,1781,161,1097,1274,0.126373626374,0.861067503925,DEKALB
NORTH PEACHTREE,1463,433,582,1038,0.417148362235,0.560693641618,DEKALB
NORTHLAKE,1252,472,524,1019,0.463199214917,0.514229636899,DEKALB
OAK GROVE ELEM,1902,732,760,1513,0.483807005948,0.502313284865,DEKALB
OAK VIEW ELEM,3831,41,2796,2841,0.0144315381908,0.984160506864,DEKALB
OAKCLIFF ELEM,1284,278,516,807,0.34448574969,0.639405204461,DEKALB
