AREA,COUNTY,COUNTY_NAM,CTYSOSID,DATA,DISTRICT,FIPS2,ID,PRECINCT_I,PRECINCT_N,income_r_1,income_rac
2.49,33,COBB,067SO03,638,067SO03,067,4259455,SO03,SOPE CREEK 03,166386.08086,white
2.56,60,FULTON,121SS16,1562,121SS16,121,4259505,SS16,SS16,58034.0000791,
2.19,60,FULTON,121AP09A,1387,121AP09A,121,4848415,AP09A,AP09A,105645.403973,white
1.83,67,GWINNETT,135121,1778,135121,135,4848474,121,PINCKNEYVILLE X,112622.830828,white
4.79,67,GWINNETT,13540,1697,13540,135,4848523,40,PINCKNEYVILLE H,88833.7062525,
3.34,60,FULTON,121JC12,1439,121JC12,121,4848626,JC12,JC12,170409.619398,white
1.89,67,GWINNETT,13599,1756,13599,135,4848690,99,PINCKNEYVILLE T,63661.8072709,
0.66,60,FULTON,121SS15A,1560,121SS15A,121,4763972,SS15A,SS15A,44353.0003431,black
2.48,33,COBB,067RW01,621,067RW01,067,4764015,RW01,ROSWELL 01,135308.349366,white
2.53,60,FULTON,121RW02,1471,121RW02,121,4764088,RW02,RW02,142982.961069,white
2.2,60,FULTON,121RW10,1480,121RW10,121,4764155,RW10,RW10,121373.989042,white
2.27,60,FULTON,121RW15,1485,121RW15,121,4764210,RW15,RW15,166033.558256,white
4.01,60,FULTON,121RW01,1470,121RW01,121,4764273,RW01,RW01,108603.189828,white
3.03,60,FULTON,121RW03,1472,121RW03,121,4764348,RW03,RW03,71633.4028417,
1.9,67,GWINNETT,135155,1812,135155,135,5034183,155,SUWANEE G,120739.198901,white
3.29,67,GWINNETT,135140,1797,135140,135,5034227,140,SUWANEE H,145658.999772,white
1.72,67,GWINNETT,13517,1674,13517,135,5034287,17,MARTINS A,59083.7728671,
3.72,67,GWINNETT,13577,1734,13577,135,5034337,77,GOODWINS C,67035.1992435,
2.8,67,GWINNETT,13597,1754,13597,135,5034415,97,GOODWINS E,83664.9144076,
2.52,33,COBB,067LM02,567,067LM02,067,3958663,LM02,LOST MOUNTAIN 02,132393.217757,white
2.33,33,COBB,067FR01,547,067FR01,067,3958718,FR01,FORD 01,140268.115179,white
3.18,33,COBB,067DU01,532,067DU01,067,3958775,DU01,DURHAM 01,122343.99999,white
5.54,33,COBB,067KP03,563,067KP03,067,3958825,KP03,KEMP 03,123383.605978,white
2.45,33,COBB,067FY01,548,067FY01,067,3958891,FY01,FREY 01,121066.425676,white
2.02,33,COBB,067LM04,569,067LM04,067,3958944,LM04,LOST MOUNTAIN 04,130492.169301,white
9.31,33,COBB,067MS01,593,067MS01,067,3958991,MS01,MARS HILL 01,105760.970971,white
1.48,33,COBB,067LW01,570,067LW01,067,3959109,LW01,LEWIS 01,99747.7968572,white
2.27,67,GWINNETT,135131,1788,135131,135,5047868,131,SUWANEE E,145658.999952,white
2.21,67,GWINNETT,1354,1661,1354,135,5047916,4,SUWANEE A,100037.072778,white
2.17,67,GWINNETT,13598,1755,13598,135,5047982,98,GOODWINS F,86616.2120716,white
2.76,67,GWINNETT,135142,1799,135142,135,5048051,142,SUWANEE F,108954.871969,
2.84,67,GWINNETT,135100,1757,135100,135,5048109,100,SUWANEE B,108992.821252,
2.38,67,GWINNETT,13530,1687,13530,135,5048163,30,CATES C,70953.6404458,
2.13,67,GWINNETT,13570,1727,13570,135,5084595,70,GOODWINS B,102252.99995,white
2.75,67,GWINNETT,13526,1683,13526,135,5084641,26,HOG MOUNTAIN A,82901.170437,
2.16,67,GWINNETT,13531,1688,13531,135,5084696,31,HOG MOUNTAIN D,89986.5605277,white
4.43,67,GWINNETT,135136,1793,135136,135,5084745,136,HOG MOUNTAIN C,80519.2148583,white
4.87,67,GWINNETT,13567,1724,13567,135,5084801,67,PUCKETTS E,80968.0378222,white
2.41,67,GWINNETT,13571,1728,13571,135,5084859,71,LAWRENCEVILLE F,80776.9390566,
4.5,67,GWINNETT,135144,1801,135144,135,5084911,144,LAWRENCEVILLE M,70796.5579162,
5.63,67,GWINNETT,13527,1684,13527,135,5084980,27,HOG MOUNTAIN B,86588.316059,white
1.83,33,COBB,067FP01,546,067FP01,067,4302647,FP01,FULLERS PARK 01,130850.90241,white
1.87,33,COBB,067SM01,626,067SM01,067,4302716,SM01,SEWELL MILL 01,125454.990659,white
1.94,33,COBB,067MD01,577,067MD01,067,4302796,MD01,MURDOCK 01,126857.326326,white
1.99,33,COBB,067MT04,597,067MT04,067,4302856,MT04,MT BETHEL 04,209538.999635,white
1.67,33,COBB,067EA01,534,067EA01,067,4302911,EA01,EASTSIDE 01,122972.150886,white
1.19,33,COBB,067DO01,531,067DO01,067,4302972,DO01,DODGEN 01,135135.423006,white
1.43,33,COBB,067CR01,527,067CR01,067,4303023,CR01,CHESTNUT RIDGE 01,126045.486549,white
1.67,33,COBB,067RW02,622,067RW02,067,4303089,RW02,ROSWELL 02,153556.991168,white
1.96,33,COBB,067WG02,648,067WG02,067,4189043,WG02,WADE GREEN 02,84696.1926927,white
1.11,33,COBB,067BG02,513,067BG02,067,4189087,BG02,BIG SHANTY 02,101215.728602,white
1.03,33,COBB,067PT01,618,067PT01,067,4189152,PT01,PITNER 01,111668.999885,white
3.75,33,COBB,067CK01,523,067CK01,067,4189207,CK01,CHALKER 01,57427.9083144,white
1.55,33,COBB,067PR01,614,067PR01,067,4189282,PR01,PALMER 01,87389.9386063,white
3.58,33,COBB,067BF03,511,067BF03,067,4189336,BF03,BELLS FERRY 03,77375.5927994,white
0.37,60,FULTON,12103E,1237,12103E,121,4088718,03E,03E,19653.4983947,black
0.22,60,FULTON,12104J,1256,12104J,121,4088790,04J,04J,25242.292842,black
0.27,60,FULTON,12103L,1242,12103L,121,4088850,03L,03L,60667.9997259,black
0.71,60,FULTON,12103M,1243,12103M,121,4088903,03M,03M,57334.3119909,white
0.69,60,FULTON,12103N,1244,12103N,121,4088960,03N,03N,29787.4994217,black
0.57,60,FULTON,12109G1,1320,12109G1,121,4089035,09G1,09G1,67895.0182723,white
1.26,60,FULTON,12109G2,1321,12109G2,121,4089071,09G2,09G2,67895.0000883,white
0.44,60,FULTON,12109H,1322,12109H,121,4089133,09H,09H,67895.0,white
1.06,60,FULTON,12108M,1310,12108M,121,4709230,08M,08M,135365.035419,white
0.58,60,FULTON,12107J,1295,12107J,121,4709303,07J,07J,125829.486437,white
0.45,60,FULTON,12107H,1294,12107H,121,4709350,07H,07H,129059.000016,white
0.57,60,FULTON,12108G,1305,12108G,121,4709398,08G,08G,118764.009889,white
2.09,60,FULTON,12108C,1300,12108C,121,4709445,08C,08C,256389.389374,white
2.0,60,FULTON,12108B,1299,12108B,121,4709523,08B,08B,245507.920083,white
0.53,60,FULTON,12106I,1280,12106I,121,4709617,06I,06I,69900.5230237,
3.24,33,COBB,067MT01,595,067MT01,067,4756800,MT01,MT BETHEL 01,157721.753009,white
0.25,60,FULTON,121SS18B,1565,121SS18B,121,4756865,SS18B,SS18B,90477.0004194,white
1.22,33,COBB,067TR01,642,067TR01,067,4756891,TR01,TIMBER RIDGE 01,157506.254459,white
0.51,60,FULTON,121SS02A,1537,121SS02A,121,4756935,SS02A,SS02A,90477.0,white
1.08,60,FULTON,121SS19B,1567,121SS19B,121,4756981,SS19B,SS19B,77423.006892,white
1.02,60,FULTON,121SS19A,1566,121SS19A,121,4757024,SS19A,SS19A,66247.9391108,
0.0,60,FULTON,121SS29B,1573,121SS29B,121,4757069,SS29B,SS29B,103129.0,
0.76,60,FULTON,121SS26,1571,121SS26,121,4757085,SS26,SS26,57995.7841135,
0.94,60,FULTON,121SS20,1568,121SS20,121,4757134,SS20,SS20,68393.6845785,
2.37,60,FULTON,121SS22,1569,121SS22,121,4757210,SS22,SS22,52899.405147,
1.34,60,FULTON,121RW11A,1481,121RW11A,121,4757297,RW11A,RW11A,92566.1771281,white
1.11,60,FULTON,121RW19,1489,121RW19,121,5102293,RW19,RW19,187821.165651,white
1.35,60,FULTON,121ML012,1450,121ML012,121,5102342,ML012,ML012,177525.000024,white
1.22,60,FULTON,121ML01B,1451,121ML01B,121,5102394,ML01B,ML01B,178143.432728,white
0.89,60,FULTON,121AP04A,1381,121AP04A,121,5102464,AP04A,AP04A,138431.719885,white
3.24,60,FULTON,121ML011,1449,121ML011,121,5102527,ML011,ML011,177524.999989,white
0.34,60,FULTON,121AP04B,1382,121AP04B,121,5102671,AP04B,AP04B,177524.999495,white
0.61,60,FULTON,12105A2,1267,12105A2,121,4587698,05A2,05A2,74509.8315883,white
0.17,60,FULTON,12103G,1239,12103G,121,4587787,03G,03G,15389.0001477,black
0.5,60,FULTON,12103T,1248,12103T,121,4587836,03T,03T,44311.8871663,black
0.16,60,FULTON,12103P2,1246,12103P2,121,4587898,03P2,03P2,21209.0,black
0.36,60,FULTON,12104F,1253,12104F,121,4587937,04F,04F,49896.5106383,white
0.62,60,FULTON,12103P1A,1245,12103P1A,121,4587984,03P1A,03P1A,53680.0186107,white
0.83,60,FULTON,12103I,1241,12103I,121,4588058,03I,03I,66113.854176,
0.92,60,FULTON,121AP06,1384,121AP06,121,5109990,AP06,AP06,111870.317795,white
1.46,60,FULTON,121AP07B,1386,121AP07B,121,5110054,AP07B,AP07B,138287.349975,white
