President of the United States,,,,,,,,,,,,,,,,,,,,
,,MITT ROMNEY (R),,,,,,BARACK OBAMA (I) D,,,,,,GARY JOHNSON (L),,,,,,
Precinct,Registered Voters,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Election Day,Absentee by Mail,Advance in Person,Advance in Person 2,Provisional,Total Votes,Total
Powder Springs 1A,3880,715,85,114,268,2,1184,821,78,328,488,7,1722,29,1,2,4,0,36,2942
Powder Springs 2A,2234,200,39,51,48,1,339,713,49,277,233,6,1278,8,0,3,0,0,11,1628
Powder Springs 3A,2538,416,74,63,143,1,697,630,49,221,293,2,1195,10,0,1,0,0,11,1903
Pitner 01,1671,607,53,50,113,0,823,248,23,42,50,2,365,31,1,0,2,0,34,1222
Rocky Mount 01,2881,1106,112,90,295,1,1604,445,28,51,119,1,644,31,2,0,2,0,35,2283
Red Rock 01,2125,747,115,123,416,2,1403,160,17,48,71,1,297,22,5,0,4,0,31,1731
Riverside 01,1450,40,10,8,30,0,88,457,29,59,372,1,918,0,0,0,1,0,1,1007
Roswell 01,2637,1063,130,68,211,1,1473,453,51,39,79,0,622,33,1,0,6,0,40,2135
Roswell 02,3393,1275,161,87,287,2,1812,524,80,39,110,3,756,35,0,0,2,0,37,2605
Sandy Plains 01,2339,754,105,94,163,1,1117,435,39,74,77,4,629,30,1,1,1,0,33,1779
Shallowford Falls 01,2950,1057,168,86,302,3,1616,451,60,65,118,0,694,30,6,2,2,0,40,2350
Simpson 01,1704,584,138,51,151,0,924,250,33,33,67,0,383,12,0,1,1,0,14,1321
Sewell Mill 01,2913,1095,118,117,207,0,1537,452,62,92,65,0,671,38,4,0,3,0,45,2253
Sewell Mill 03,3838,855,165,176,154,2,1352,761,83,265,96,6,1211,53,3,0,3,0,59,2622
Smyrna 1A,3123,381,65,38,144,1,629,814,83,201,317,18,1433,28,0,1,1,0,30,2092
Smyrna 2A,2239,367,67,39,125,0,598,479,29,101,288,4,901,30,1,2,0,0,33,1532
Smyrna 2B,1751,166,19,18,84,1,288,427,38,143,228,7,843,7,2,1,1,0,11,1142
Smyrna 3A,2970,470,70,49,257,3,849,638,73,120,366,10,1207,35,2,0,1,0,38,2094
Smyrna 4A,3668,815,165,92,274,1,1347,699,103,181,336,6,1325,44,3,0,2,0,49,2721
Smyrna 5A,3070,455,93,61,138,2,749,712,55,169,270,9,1215,38,2,0,3,0,43,2007
Smyrna 6A,4446,947,205,148,395,2,1697,851,107,195,449,5,1607,58,3,1,8,0,70,3374
Smyrna 7A,2758,759,188,97,360,2,1406,409,66,88,211,0,774,33,5,3,4,0,45,2225
Smyrna 7B,5279,1173,188,128,507,0,1996,933,129,266,774,3,2105,55,3,0,11,0,69,4170
Sope Creek 01,2003,773,91,56,219,3,1142,312,39,34,82,1,468,28,1,2,1,0,32,1642
Sope Creek 02,3854,1137,210,179,319,2,1847,565,101,176,169,4,1015,38,5,4,3,0,50,2912
Sope Creek 03,2533,975,122,69,229,2,1397,333,29,37,70,0,469,27,4,1,2,1,35,1901
Sweetwater 01,2460,569,89,58,234,2,952,589,42,169,199,9,1008,6,1,0,2,0,9,1969
Sweetwater 02,2452,238,64,37,95,1,435,601,76,205,279,5,1166,11,0,1,1,0,13,1614
Sprayberry 01,2152,674,121,114,175,0,1084,340,28,85,70,1,524,39,1,2,0,0,42,1650
Terrell Mill 01,4171,622,99,135,152,3,1011,1016,108,486,227,12,1849,27,3,2,3,0,35,2895
Timber Ridge 01,2346,926,153,32,197,1,1309,359,61,21,75,0,516,37,6,0,3,0,46,1871
Tritt 01,3206,1300,153,80,293,1,1827,511,62,42,93,0,708,44,0,2,1,0,47,2582
Vaughan 01,2777,1013,104,104,479,3,1703,276,27,53,94,1,451,22,5,1,7,0,35,2189
Vinings 01,1560,421,56,55,71,0,603,329,26,63,80,2,500,16,2,0,1,0,19,1122
Vinings 02,4811,941,140,97,264,2,1444,1088,103,235,385,9,1820,50,6,0,2,0,58,3322
Vinings 03,3321,734,155,86,277,3,1255,676,70,164,365,7,1282,24,1,1,3,0,29,2566
Vinings 04,2904,1066,209,109,182,1,1567,471,54,88,123,2,738,26,4,1,4,1,36,2341
Wade Green 01,2624,890,81,82,173,1,1227,460,32,97,125,0,714,35,3,2,1,0,41,1982
Wade Green 02,1849,488,57,48,142,0,735,352,34,85,143,1,615,17,1,1,5,0,24,1374
Willeo 01,2645,1039,169,63,238,0,1509,395,40,38,77,2,552,32,3,0,3,0,38,2099
Totals:,415314,104790,15845,17395,33488,204,171722,74487,7711,22696,27743,487,133124,4027,337,225,416,19,5024,309870
