DISTRICT,income,race
12110H,31296.7654716,black
121EP02,43866.7971891,black
12111B,65759.240361,black
12110D,26177.6079698,black
12110E,33518.5280698,black
12110P,32046.999984,black
12109C,40447.9996988,black
12109B,35970.8214809,black
12109L,40094.0606534,black
12111R,21537.9448448,black
12111K,42006.4885368,black
12111G,25664.1565825,black
12112I,28534.9013759,black
12112C,41225.9998394,black
12104S,46545.999876,black
12104X1,35759.0200937,black
12104M,21568.0,black
12104T,35386.0,black
12110M,36298.822261,black
12104X2,35959.1343464,black
12104L,36129.9999521,black
12104D,35651.9999567,black
12104G,36778.0,black
12104A,30341.9999945,black
12104K,35074.0841761,black
12104W,38930.9239721,black
12110F,40447.8169444,black
12103S,35997.0000039,black
12109D,26088.6688216,black
12103C,39291.3838513,black
12103H,35997.0000251,black
067OR03,56990.6482891,
067MR2A,89297.6799139,white
067NP01,78399.9406555,
067FO01,59273.0004728,
067LA01,135333.297273,white
067KL01,90600.0000324,white
067RM01,107844.870771,white
067EA02,103993.958473,white
067SO01,128431.999861,white
067FO02,52712.4392107,
067FO04,44912.2795331,
067MR2B,65711.1799342,
067BF02,88512.9901919,white
067BW01,92280.8493667,white
067GT01,86430.0564448,white
067MK01,102494.999956,white
067NS01,98730.8242133,white
067AD01,96407.00754,white
067SI01,123586.000049,white
067MR6A,58686.2957434,white
067MR5B,71131.401242,white
067HY01,93193.9643763,white
067PM02,86939.8596807,white
067CH02,96504.704698,white
067PF01,72146.5837328,white
12108E,269010.312053,white
067VG04,126661.805272,white
067MR7A,45574.9659184,
067FO05,40611.7386728,
067MR1A,44243.5740626,
067DI01,48433.5654379,
067SN5A,49751.0936112,
067SN3A,57525.2561464,
067MR4C,74968.78785,white
067KE3A,75715.0304655,white
067MR4A,83951.0,white
067MR5A,54417.3046791,
067SN7A,99052.1272221,white
067SN4A,88558.9035795,white
067EP01,64825.2446372,white
067KE1A,77015.5050269,white
067BG01,69130.7263802,white
067MR4B,65071.6983488,white
067EL01,68561.6172113,white
067PM01,114203.499666,white
067KE2A,85698.9271015,white
067MS02,98446.0335185,white
067AC1C,79031.1637163,white
067KE4A,77266.2969222,white
067KE5A,79632.8809973,white
067BK01,83133.409111,white
067OK01,114410.028123,white
067NJ01,96528.8662411,white
067SN6A,117261.09756,white
067VG03,101153.096721,white
067VG02,85128.5831797,
067SN2A,63168.5304485,
067SN1A,62805.5286894,
067MR6B,84439.8843064,white
067EL02,71124.8854385,white
067EL04,69450.4283272,white
067SM03,77698.3457055,white
067EL03,100849.673996,white
067EL05,107569.000056,white
089SM,67964.3714773,black
089MV,79162.9997618,black
089CC,37708.5424923,black
089FL,53082.3465227,black
089CM,48321.456227,black
089TC,31018.0001088,black
089KE,58064.2778009,black
089WA,39815.870019,black
089SG,49201.5433753,black
13566,43949.9557506,hispanic
13538,48601.4434474,hispanic
13559,46957.0349528,
089NC,60236.9999293,black
089BF,58317.6675457,
13584,80120.3323567,
135150,33750.9787657,
13548,72921.5412114,
13596,110492.900219,
13572,44527.0956843,
13595,80415.67377,
135138,104633.557229,
121JC01,145436.99994,
1357,98014.0090971,white
089MN,41417.7465845,black
089MM,43097.1164635,black
089WB,56502.0,black
089SS,60566.2389816,black
089MF,65251.9999564,black
089MI,47983.0366455,black
089BM,53747.6837004,black
089SD,71286.1437994,black
089WN,73882.004222,black
089ST,77019.3781422,black
089SO,76661.6416358,black
13564,68808.0899946,black
089VB,47316.0002603,
089SC,53268.7732685,black
089CT,27600.0000297,black
089RG,35326.7998836,black
089DE,58731.7910895,black
089AA,63471.9998234,black
089IB,37167.245448,black
089CK,37306.7694379,black
13510,93438.5673772,white
13581,70051.9971414,
135156,80793.2614533,
13541,78720.2706164,
135134,76728.0000797,white
13594,101025.320875,white
1355,89086.6851566,white
13586,48606.0125066,
13534,58238.2312173,
135119,82742.4891836,white
13519,59659.7987336,
13543,52116.1756184,
135116,62145.012094,
135117,47118.6057567,
13588,56859.2083175,black
121SS12,124374.241597,white
121SS07C,108524.999954,white
121SS07B,108524.999331,white
121SS07A,84328.9999613,white
121SS08B,108524.991486,white
121SS02B,90477.0,white
121SS08C,84329.0001405,white
121SS04,74517.0043037,
121SS08A,108525.000018,white
121SS08D,108525.020545,white
121SS29A,103129.00006,
089LC,91469.3933821,
12106J,45081.057745,
12106E,72178.7174635,white
12106Q,74875.0001423,white
12106S,59200.5701212,white
12106H,59582.2674532,white
12106D,71373.3689554,white
089MB,66331.6333265,black
089LH,55563.9999656,black
089RH,49647.55742,black
089WD,56197.9405044,black
089LD,48247.0,black
089SL,43697.5894288,black
089PC,72649.0000008,black
089RC,72655.0937844,black
089SV,72877.0000043,black
12108L,87289.0007578,white
12102W,87766.0,white
12103F,86784.2560239,white
12102A,46303.0001382,white
12106R,37734.6990054,hispanic
12106N,109896.950179,white
12106L2,87766.0000903,white
12102S,57249.8912256,
12105J,42941.585985,black
12101I,34378.0001593,black
12102B,57686.6943556,
12105C,34376.6748439,black
12105K,30532.5617551,black
12105D,52260.4903887,
12105F,29512.0,white
12102L2,100864.999874,white
12102C,29512.0016958,white
12102L1,45188.9725985,hispanic
12102K,42950.0,
12108P,67895.2872147,white
12108K,138803.068553,white
089CP,57954.9855647,black
089FA,48858.0000259,black
089PR,39873.7596373,black
089PI,65558.0327844,black
089YA,65615.1257733,black
089RM,50272.9792647,black
089MC,55545.1416782,black
089RK,55080.0000084,black
089WG,51184.0000336,black
089RJ,63090.4975492,black
089WK,47216.0000308,black
089FM,56095.4040655,black
089PE,42070.0496019,black
089HA,50233.8643098,black
089RE,41197.1690337,black
089SJ,36927.3545,black
089MA,61031.4152713,black
13545,73877.0920981,black
13532,97661.8156498,white
13511,48747.0001917,
135120,60881.664558,
135109,98089.3071449,white
13574,45760.9254793,
135103,51231.4140089,
135118,82412.7626273,white
135112,77794.2471374,white
13533,91737.9999169,white
13592,101415.695334,white
13549,80846.954552,white
13514,106134.001048,white
089FB,198544.827023,white
089EG,119116.973185,white
089JA,36435.5899204,white
089BC,88264.1679836,white
089DH,134869.307608,white
089ER,61829.8290046,white
089LB,75148.8796866,white
089SI,44447.773362,black
089TF,96314.9255889,white
089HG,86195.7687577,
089SH,117152.875737,white
13512,60552.4691547,
135148,73174.953133,
089SU,60509.8194421,black
089PH,63450.9241653,black
089SK,72872.6533676,black
089SP,43995.228424,black
089SQ,64377.0594466,black
12108H,226996.999074,white
13557,68527.5590905,
13582,68022.5747984,
13556,60812.2880176,
121JC11,122981.463271,white
121JC09,120359.978589,white
121JC07,126839.488816,white
121AP12C,85109.9573477,
089SN,75154.0001454,white
089ND,110455.999955,white
089BD,155996.999767,white
089RD,97723.8880976,white
089WI,56205.1077989,
13565,58383.6657037,
135123,43085.6810829,hispanic
13523,44776.1697722,
13558,49756.4892071,
13550,61858.2203188,
089WL,126049.575239,white
135101,62044.1526814,
089MW,94871.7683969,white
089HC,86202.9956996,white
089MK,82430.2820955,white
089JB,43895.1366532,black
089IA,62406.8975829,black
089BH,70612.1762036,
089WJ,91628.9954277,
089CO,103435.932886,
089HI,84529.649367,white
089BG,82487.2273616,white
089MJ,53960.4135568,hispanic
089BE,83551.484499,hispanic
089BI,123167.521961,white
089SE,120886.597542,white
089SF,101731.994626,
089AB,121469.258963,white
089OA,102700.673396,white
089CW,88732.4900975,white
089SA,152270.048599,white
089LA,127376.406513,white
089DC,54242.2244947,hispanic
089HB,89142.956877,white
089CL,57071.1882567,black
089CR,60412.9860109,black
089FJ,49299.9421385,black
089FC,40205.6109299,black
089MP,63298.9618907,black
089EA,79382.0158026,black
089MD,60027.4694929,black
089OK,106164.804212,white
089RN,106721.992146,white
089PG,91336.453884,white
089CV,94575.0664381,white
089WF,107682.555416,white
089GA,109095.808889,white
089CI,109860.295873,white
12112M,32997.0398197,black
12112J,32930.0000227,black
12112H,32339.3658542,black
063FP2,36140.1578396,black
12112T,32949.4699222,black
063MO2,47053.9136763,black
063MO7,46943.0012069,black
089GB,51183.999986,black
089AI,86539.3731549,white
089AE,74514.5410651,white
089MO,55244.8169723,black
089CU,45725.1472133,black
089NB,57972.1051015,
089ME,47316.0000925,
063LC1,50361.1557331,
063MO4,47832.7742799,black
063MO9,44338.0001804,black
063MO6,58798.2297341,black
063MO3,50130.6568649,
089PA,45137.9976276,black
089MR,59521.993967,black
089RA,56147.2972574,black
089KC,56502.0000084,black
089CA,49146.9999949,black
089AF,42576.6152659,black
089CB,44949.8348805,black
089SR,44471.7333448,black
089GF,46753.2187242,black
063MO1,40974.4173442,
089BL,67348.9990567,black
063EW1,56862.2945303,black
089CS,65998.398768,black
089CD,67577.9549057,black
12112F,38291.6535249,black
12104V,24285.8435641,black
12104I,53217.466991,black
12101F,25282.0000225,black
12101G,44017.9664044,black
12101D,52036.5347394,black
12101H,24479.6984578,black
12105B,37228.5098978,black
12101S,36673.1016468,black
12101C2,35120.0000431,black
12101T,55133.2093864,
12101P,39242.6726698,black
12101R,20891.6639949,black
12101E,90784.1397842,white
12101A,92952.9622934,white
12105A1,39463.2967499,black
12101B,80095.1839086,
089KA,41734.4224844,black
089CQ,48441.992136,black
089CN,56069.8578966,white
089EE,64047.6932682,white
089LE,59997.6991367,white
089BB,52449.3895367,white
089ML,53920.7683813,black
089GC,55032.6402231,black
089BR,56858.983108,white
089MT,55994.556887,white
089PN,49885.9618547,black
089TA,49803.0111423,black
12102G,59375.0279533,black
12102D,51385.098194,black
12102F2,27533.0,hispanic
12102J,27533.0003873,hispanic
12106G,27533.0,hispanic
12106B,75487.0,white
12102E,25350.6313556,black
12102F1,42909.2731933,white
12106F,58946.758234,white
12106L1,87765.9992351,white
121RW17,100437.99017,white
121RW04,100437.999959,white
089KB,131053.188751,white
121SS01,136488.870001,white
121RW20,141846.704718,white
121RW21A,163434.327627,white
121RW22A,96248.0087598,white
121RW07A,45163.0000085,hispanic
089DA,51380.957949,
089OB,48825.9669156,hispanic
089NF,68242.5858185,
13537,49915.3815158,
089EC,72769.8156416,
089PF,42765.322967,
121SS25,240757.812902,white
13573,89159.9742188,white
135126,157289.26475,white
121RW21B,215870.515805,white
121JC19,116523.586226,white
121JC13A,215884.83114,white
13522,112593.361519,white
135125,157519.000127,white
13562,158449.136342,white
121JC13B,215885.0,white
13563,174588.43018,white
13521,48705.2491376,hispanic
13551,41192.3195348,hispanic
135113,58325.9909451,
135114,68796.7918856,
13520,48121.3441719,hispanic
13587,73037.8726623,
089EF,77401.9394479,white
089MH,99403.6207026,white
089TH,86583.1318894,white
089LV,96227.6770666,white
089DB,50535.0285842,
121JC18A,98820.6053867,white
121JC18B,117149.0,white
121JC17,117142.980528,white
121AP01C,111815.650764,white
121JC16,117148.995231,white
121AP01A,116185.023555,white
121AP13,140031.290537,white
121AP12A,97284.0001583,
121JC14,215884.999136,white
121AP14,118228.333247,white
121JC15,127036.418003,white
121JC10,111750.530237,white
089AG,138754.283642,white
089AH,94373.329923,white
089MU,59718.1137412,white
089KG,64576.1341072,white
089GD,93518.2565336,white
089DF,103704.870622,
089MS,135705.256782,white
12107F,120758.606402,white
12107D,131764.348369,white
12107N,52523.0003284,
12107M,77244.3317819,
12107E,126115.024592,white
12107A,157276.007275,white
12107C,176043.722072,white
12107B,199294.36658,white
089MZ,39873.7680554,black
089RL,55589.406838,black
089RF,69754.00005,black
089RI,76356.9663357,black
135122,66881.53564,black
13529,105833.146071,white
13579,105832.992696,white
135139,60154.2597737,
135115,62549.6379779,
13568,104667.072613,white
13593,115555.99355,white
135127,60407.0102112,
13518,59237.7297579,
13569,103561.424641,white
13536,101285.282677,white
135107,105700.685053,white
13535,95189.7064185,white
13544,69315.1544263,black
13553,55325.4170542,black
13546,112113.957655,white
13547,112113.999945,white
135143,79124.9828859,
13561,53880.4268808,
135153,65770.3293267,
13516,84147.2609054,
13578,80066.6393881,white
13515,54894.2737124,
135110,62952.278405,
135124,70959.3286338,
135149,93855.9999817,white
1356,82916.7351706,white
135128,72928.3511667,white
13583,83704.7140178,white
135106,104351.906772,
135105,111801.874104,white
