ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1
4771112,0.40,1561,121SS15B,121SS15B,SS15B,SS15B,60,FULTON,121,,72017.999837399998796
4771146,3.47,1563,121SS17,121SS17,SS17,SS17,60,FULTON,121,white,46878.673220199998468
4044457,6.92,482,063OAK1,063OAK1,OAK1,OAK 1,31,CLAYTON,063,black,40769.391433299999335
4044614,1.09,1405,121CP02,121CP02,CP02,CP02,60,FULTON,121,,79794.966854800004512
4044714,0.15,1404,121CP01B,121CP01B,CP01B,CP01B,60,FULTON,121,,79794.999258099996950
4251043,1.39,644,067VG01,067VG01,VG01,VININGS 01,33,COBB,067,white,88765.788843699992867
4251121,1.10,1319,12109F,12109F,09F,09F,60,FULTON,121,white,92955.461979400002747
4251171,0.38,1312,12108N2,12108N2,08N2,08N2,60,FULTON,121,white,221381.421358999999939
4251207,0.49,1311,12108N1,12108N1,08N1,08N1,60,FULTON,121,white,221299.000193000014406
4251244,1.45,1303,12108F1,12108F1,08F1,08F1,60,FULTON,121,white,226070.090637999994215
4251295,3.25,1298,12108A,12108A,08A,08A,60,FULTON,121,white,263565.203107999986969
4251371,0.94,1301,12108D,12108D,08D,08D,60,FULTON,121,white,255725.654678999999305
4259115,2.40,520,067CA01,067CA01,CA01,CHATTAHOOCHEE 01,33,COBB,067,,67115.786434800000279
4259191,1.30,641,067TM01,067TM01,TM01,TERRELL MILL 01,33,COBB,067,,62734.667886399998679
4259309,2.85,637,067SO02,067SO02,SO02,SOPE CREEK 02,33,COBB,067,white,109556.046759000004386
4259387,4.12,1550,121SS09A,121SS09A,SS09A,SS09A,60,FULTON,121,white,66325.275617099992814
4259455,2.49,638,067SO03,067SO03,SO03,SOPE CREEK 03,33,COBB,067,white,166386.080859999987297
4259505,2.56,1562,121SS16,121SS16,SS16,SS16,60,FULTON,121,,58034.000079099998402
4848415,2.19,1387,121AP09A,121AP09A,AP09A,AP09A,60,FULTON,121,white,105645.403972999993130
4848474,1.83,1778,135121,135121,121,PINCKNEYVILLE X,67,GWINNETT,135,white,112622.830828000005567
4848523,4.79,1697,13540,13540,40,PINCKNEYVILLE H,67,GWINNETT,135,,88833.706252499992843
4848626,3.34,1439,121JC12,121JC12,JC12,JC12,60,FULTON,121,white,170409.619398000009824
4848690,1.89,1756,13599,13599,99,PINCKNEYVILLE T,67,GWINNETT,135,,63661.807270899997093
4763972,0.66,1560,121SS15A,121SS15A,SS15A,SS15A,60,FULTON,121,black,44353.000343100000464
