DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
067DL01,116142.006679,white,DOWELL 01,,,,,,,,left_only
067CH03,101431.856003,white,CHEATHAM HILL 03,,,,,,,,left_only
067MA01,76526.1134595,,MABLETON 01,,,,,,,,left_only
067SW02,48164.3079317,black,SWEETWATER 02,,,,,,,,left_only
067BR02,88901.4144031,white,BIRNEY 02,,,,,,,,left_only
067BR01,81757.9999983,,BIRNEY 01,,,,,,,,left_only
067MA03,90712.6836194,white,MABLETON 03,,,,,,,,left_only
067MA04,85874.5923571,white,MABLETON 04,,,,,,,,left_only
067AC1A,86606.9200046,white,ACWORTH 1A,,,,,,,,left_only
067ME01,80636.2928891,,MCEACHERN 01,,,,,,,,left_only
067LM01,115676.017844,white,LOST MOUNTAIN 01,,,,,,,,left_only
067OR01,113406.000007,white,OREGON 01,,,,,,,,left_only
067VA01,133633.008538,white,VAUGHAN 01,,,,,,,,left_only
067PS1A,72507.5992392,,POWDER SPRINGS 1A,,,,,,,,left_only
067PS3A,69734.9063381,,POWDER SPRINGS 3A,,,,,,,,left_only
067LM03,127437.776917,white,LOST MOUNTAIN 03,,,,,,,,left_only
067SW01,71456.3040366,,SWEETWATER 01,,,,,,,,left_only
067CL02,67228.7038238,black,CLARKDALE 02,,,,,,,,left_only
067MR3A,59452.946863,,MARIETTA 3A,,,,,,,,left_only
067HR01,129495.146669,white,HARRISON 01,,,,,,,,left_only
067KP01,115967.16253,white,KEMP 01,,,,,,,,left_only
067ML01,98471.0045237,white,MCCLURE 01,,,,,,,,left_only
067NC01,74359.4702,white,NORTH COBB 01,,,,,,,,left_only
067SN7B,114849.058097,,SMYRNA 7B,,,,,,,,left_only
067HL01,80364.0067912,,HARMONY-LELAND 01,,,,,,,,left_only
067LI01,133845.983744,,LINDLEY 01,,,,,,,,left_only
121UC01E,48657.1903879,black,UC01E,,,,,,,,left_only
067BT01,48001.3799581,black,BRYANT 01,,,,,,,,left_only
12110E,33518.5280698,black,10E,,,,,,,,left_only
067OR03,56990.6482891,,OREGON 03,,,,,,,,left_only
067MR2A,89297.6799139,white,MARIETTA 2A,,,,,,,,left_only
067NP01,78399.9406555,,NORTON PARK 01,,,,,,,,left_only
067FO01,59273.0004728,,FAIR OAKS 01,,,,,,,,left_only
067LA01,135333.297273,white,LASSITER 01,,,,,,,,left_only
067KL01,90600.0000324,white,KELL 01,,,,,,,,left_only
067RM01,107844.870771,white,ROCKY MOUNT 01,,,,,,,,left_only
067EA02,103993.958473,white,EASTSIDE 02,,,,,,,,left_only
067SO01,128431.999861,white,SOPE CREEK 01,,,,,,,,left_only
067FO02,52712.4392107,,FAIR OAKS 02,,,,,,,,left_only
067FO04,44912.2795331,,FAIR OAKS 04,,,,,,,,left_only
067MR2B,65711.1799342,,MARIETTA 2B,,,,,,,,left_only
067BF02,88512.9901919,white,BELLS FERRY 02,,,,,,,,left_only
067BW01,92280.8493667,white,BLACKWELL 01,,,,,,,,left_only
067GT01,86430.0564448,white,GRITTERS 01,,,,,,,,left_only
067MK01,102494.999956,white,MCCLESKEY 01,,,,,,,,left_only
067NS01,98730.8242133,white,NICHOLSON 01,,,,,,,,left_only
067AD01,96407.00754,white,ADDISON 01,,,,,,,,left_only
067SI01,123586.000049,white,SIMPSON 01,,,,,,,,left_only
067MR6A,58686.2957434,white,MARIETTA 6A,,,,,,,,left_only
067MR5B,71131.401242,white,MARIETTA 5B,,,,,,,,left_only
067HY01,93193.9643763,white,HAYES 01,,,,,,,,left_only
067PM02,86939.8596807,white,PINE MOUNTAIN 02,,,,,,,,left_only
067CH02,96504.704698,white,CHEATHAM HILL 02,,,,,,,,left_only
067PF01,72146.5837328,white,POWERS FERRY 01,,,,,,,,left_only
067VG04,126661.805272,white,VININGS 04,,,,,,,,left_only
067MR7A,45574.9659184,,MARIETTA 7A,,,,,,,,left_only
067FO05,40611.7386728,,FAIR OAKS 05,,,,,,,,left_only
067MR1A,44243.5740626,,MARIETTA 1A,,,,,,,,left_only
067DI01,48433.5654379,,DOBBINS 01,,,,,,,,left_only
067SN5A,49751.0936112,,SMYRNA 5A,,,,,,,,left_only
067SN3A,57525.2561464,,SMYRNA 3A,,,,,,,,left_only
067MR4C,74968.78785,white,MARIETTA 4C,,,,,,,,left_only
067KE3A,75715.0304655,white,KENNESAW 3A,,,,,,,,left_only
067MR4A,83951.0,white,MARIETTA 4A,,,,,,,,left_only
067MR5A,54417.3046791,,MARIETTA 5A,,,,,,,,left_only
067SN7A,99052.1272221,white,SMYRNA 7A,,,,,,,,left_only
067SN4A,88558.9035795,white,SMYRNA 4A,,,,,,,,left_only
067EP01,64825.2446372,white,EAST PIEDMONT 01,,,,,,,,left_only
067KE1A,77015.5050269,white,KENNESAW 1A,,,,,,,,left_only
