,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,Precinct,County,JEB BUSH,BEN CARSON,_merge
924,,,,,,,,,,,,,AVONDALE HIGH - 05,DeKalb,1.0,4.0,right_only
925,,,,,,,,,,,,,BOULDERCREST RD,DeKalb,0.0,2.0,right_only
926,,,,,,,,,,,,,CHAMBLEE ,DeKalb,1.0,16.0,right_only
927,,,,,,,,,,,,,CHAMBLEE 2,DeKalb,0.0,14.0,right_only
928,,,,,,,,,,,,,COVINGTON HWY LIBRAR,DeKalb,0.0,1.0,right_only
929,,,,,,,,,,,,,DUNWOODY HIGH,DeKalb,6.0,20.0,right_only
930,,,,,,,,,,,,,EAST LAKE ELEM,DeKalb,2.0,6.0,right_only
931,,,,,,,,,,,,,GEORGETOWN SQUARE,DeKalb,6.0,25.0,right_only
932,,,,,,,,,,,,,GLENNWOOD - 04,DeKalb,0.0,6.0,right_only
933,,,,,,,,,,,,,GLENNWOOD - 05,DeKalb,2.0,3.0,right_only
934,,,,,,,,,,,,,HARRIS-NARVIE J. HAR,DeKalb,1.0,4.0,right_only
935,,,,,,,,,,,,,HUNTLEY HILLS ELEM,DeKalb,1.0,16.0,right_only
936,,,,,,,,,,,,,MEDLOCK ELEM,DeKalb,3.0,3.0,right_only
937,,,,,,,,,,,,,MILLER-ELDRIDGE L. M,DeKalb,0.0,7.0,right_only
938,,,,,,,,,,,,,MILLER GROVE MIDDLE,DeKalb,0.0,4.0,right_only
939,,,,,,,,,,,,,MONTGOMERY ELEM,DeKalb,1.0,16.0,right_only
940,,,,,,,,,,,,,MT. VERNON EAST,DeKalb,2.0,28.0,right_only
941,,,,,,,,,,,,,MT. VERNON WEST,DeKalb,4.0,13.0,right_only
942,,,,,,,,,,,,,SMOKE RISE ELEM,DeKalb,4.0,21.0,right_only
943,,,,,,,,,,,,,SNAPFINGER ROAD NORT,DeKalb,0.0,2.0,right_only
944,,,,,,,,,,,,,SNAPFINGER ROAD SOUT,DeKalb,2.0,8.0,right_only
945,,,,,,,,,,,,,STONE MOUNTAIN CHAMP,DeKalb,2.0,5.0,right_only
946,,,,,,,,,,,,,STONE MOUNTAIN LIBRA,DeKalb,0.0,4.0,right_only
947,,,,,,,,,,,,,STONE MOUNTAIN MIDDL,DeKalb,0.0,3.0,right_only
948,,,,,,,,,,,,,TERRY MILL ELEM,DeKalb,0.0,0.0,right_only
949,,,,,,,,,,,,,WADSWORTH ELEM - 05,DeKalb,1.0,2.0,right_only
950,,,,,,,,,,,,,WADSWORTH ELEM - 04,DeKalb,1.0,6.0,right_only
951,,,,,,,,,,,,,WHITEFOORD ELEM,DeKalb,1.0,6.0,right_only
952,,,,,,,,,,,,,01C,Fulton,0.0,0.0,right_only
953,,,,,,,,,,,,,09G,Fulton,1.0,10.0,right_only
954,,,,,,,,,,,,,10H1,Fulton,0.0,0.0,right_only
955,,,,,,,,,,,,,10H2,Fulton,0.0,4.0,right_only
956,,,,,,,,,,,,,AP12C,Fulton,1.0,6.0,right_only
957,,,,,,,,,,,,,CP06A,Fulton,0.0,0.0,right_only
958,,,,,,,,,,,,,EP04-05,Fulton,1.0,8.0,right_only
959,,,,,,,,,,,,,EP04-13,Fulton,0.0,0.0,right_only
960,,,,,,,,,,,,,RW21,Fulton,7.0,18.0,right_only
961,,,,,,,,,,,,,SC08G,Fulton,0.0,0.0,right_only
962,,,,,,,,,,,,,PINCKNEYVILLE A,Gwinnett,1.0,14.0,right_only
963,,,,,,,,,,,,,CATES D - 04,Gwinnett,2.0,22.0,right_only
964,,,,,,,,,,,,,CATES D - 07,Gwinnett,0.0,4.0,right_only
