,DISTRICT,income,race,Precinct Description,Precinct,registered_v,rep_votes,dem_votes,total,rep_p,dem_p,_merge
31,089CG,72421.3486141,black,CHAPEL HILL ELEM,CHAPEL HILL ELEM,2585.0,53.0,1454.0,1517.0,0.0,0.0,both
32,089KD,75793.7897241,black,KING-ML KING JR HIGH,KING-ML KING JR HIGH,3355.0,54.0,2002.0,2065.0,0.0,0.0,both
33,089BJ,69589.6873835,black,BROWNS MILL ELEM,BROWNS MILL ELEM,3026.0,80.0,1748.0,1843.0,0.0,0.0,both
34,089OV,51142.8983879,black,OAK VIEW ELEM,OAK VIEW ELEM,3621.0,51.0,1825.0,1887.0,0.0,0.0,both
35,089HH,59598.6970728,black,NARVIE J HARRIS ELEM,,,,,,,,left_only
36,089FK,74727.9999779,black,FLAKES MILL FIRE STATION,FLAKES MILL FIRE STATION,1534.0,33.0,800.0,839.0,0.0,0.0,both
37,089SB,70105.1177822,white,SCOTT,SCOTT,2045.0,267.0,878.0,1170.0,0.0,0.0,both
38,089MG,69707.7390984,white,MEDLOCK,,,,,,,,left_only
39,089CJ,79524.7953418,white,CLAIRMONT ROAD,CLAIRMONT ROAD,2676.0,378.0,965.0,1374.0,0.0,0.0,both
40,063JB08,44427.2567272,black,JONESBORO 8,JONESBORO 8,2620.0,60.0,907.0,975.0,0.0,0.0,both
41,063MO8,54253.9085824,black,MORROW 8,MORROW 8,2143.0,87.0,1098.0,1193.0,0.0,0.0,both
42,063MO5,64404.8017229,black,MORROW 5,MORROW 5,3588.0,325.0,1684.0,2037.0,0.0,0.0,both
43,063RD07,39854.7245755,black,RIVERDALE 7,RIVERDALE 7,1766.0,96.0,524.0,636.0,0.0,0.0,both
44,063FP3,35993.1132663,,FOREST PARK 3,FOREST PARK 3,1628.0,149.0,540.0,699.0,0.0,0.0,both
45,063RD06,36949.3305338,black,RIVERDALE 6,RIVERDALE 6,2371.0,148.0,705.0,867.0,0.0,0.0,both
46,063JB15,35178.5895145,black,JONESBORO 15,JONESBORO 15,1955.0,114.0,621.0,749.0,0.0,0.0,both
47,063FP5,37037.8752304,,FOREST PARK 5,FOREST PARK 5,2507.0,217.0,705.0,940.0,0.0,0.0,both
48,063FP6,46613.8230662,,FOREST PARK 6,FOREST PARK 6,1011.0,163.0,317.0,485.0,0.0,0.0,both
49,063RD04,49299.9556957,black,RIVERDALE 4,RIVERDALE 4,3183.0,138.0,1184.0,1334.0,0.0,0.0,both
50,12111J,41628.0000181,black,11J,11J,1457.0,13.0,733.0,748.0,0.0,0.0,both
51,121SC23A,56054.9410052,black,SC23A,SC23A,4037.0,51.0,2019.0,2080.0,0.0,0.0,both
52,063RD11,65591.2016586,black,RIVERDALE 11,RIVERDALE 11,1394.0,69.0,745.0,825.0,0.0,0.0,both
53,121SC27,43809.1670036,black,SC27,SC27,1781.0,24.0,1014.0,1045.0,0.0,0.0,both
54,121CP083,41166.0,black,CP083,,,,,,,,left_only
55,121CP08A,57248.9999496,white,CP08A,,,,,,,,left_only
56,063RD08,62179.274513,black,RIVERDALE 8,RIVERDALE 8,2115.0,137.0,1135.0,1289.0,0.0,0.0,both
57,121SC08B,43010.1486789,black,SC08B,SC08B,2592.0,50.0,1345.0,1406.0,0.0,0.0,both
58,121SC29A,49669.0001547,black,SC29A,SC29A,2336.0,25.0,1268.0,1300.0,0.0,0.0,both
59,121SC23B,54597.9959849,black,SC23B,SC23B,369.0,12.0,183.0,198.0,0.0,0.0,both
60,121SC09B,46959.0854889,black,SC09B,SC09B,1379.0,20.0,750.0,773.0,0.0,0.0,both
61,121SC11B,56759.9999777,black,SC11B,SC11B,1320.0,17.0,700.0,719.0,0.0,0.0,both
62,121SC11A,56759.9999747,black,SC11A,SC11A,1184.0,13.0,637.0,653.0,0.0,0.0,both
63,121SC08D,39694.0,black,SC08D,SC08D,409.0,4.0,206.0,210.0,0.0,0.0,both
64,121UC01B,39848.998953,black,UC01B,UC01B,300.0,1.0,89.0,90.0,0.0,0.0,both
65,121SC09A,44086.6969134,black,SC09A,SC09A,2598.0,44.0,1158.0,1205.0,0.0,0.0,both
66,121UC01A,49338.6179548,black,UC01A,UC01A,2821.0,32.0,1057.0,1098.0,0.0,0.0,both
67,121UC031,51926.3173636,black,UC031,UC031,1901.0,209.0,636.0,851.0,0.0,0.0,both
68,121SC08E,49346.9978534,black,SC08E,SC08E,333.0,1.0,163.0,165.0,0.0,0.0,both
69,121UC035,50266.6137287,black,UC035,UC035,7.0,2.0,3.0,5.0,0.0,0.0,both
70,121UC01D,48657.0,black,UC01D,,,,,,,,left_only
71,121SC17B,48657.0,black,SC17B,,,,,,,,left_only
72,121SC07A,64043.8404756,black,SC07A,SC07A,3905.0,245.0,2022.0,2284.0,0.0,0.0,both
73,121CH03,41282.0,white,CH03,CH03,272.0,115.0,51.0,169.0,0.0,0.0,both
74,121CH02,41282.0000023,white,CH02,CH02,260.0,57.0,97.0,154.0,0.0,0.0,both
75,121CH01,41282.0,white,CH01,CH01,190.0,22.0,50.0,74.0,0.0,0.0,both
76,121SC04,51949.8440986,white,SC04,SC04,859.0,231.0,272.0,514.0,0.0,0.0,both
77,121CH05,41282.0,white,CH05,CH05,328.0,151.0,36.0,193.0,0.0,0.0,both
78,121CH04A,41282.0,white,CH04A,CH04A,412.0,155.0,97.0,258.0,0.0,0.0,both
79,063JB18,52205.8454371,black,JONESBORO 18,JONESBORO 18,2263.0,174.0,882.0,1076.0,0.0,0.0,both
80,063JB11,71803.0289449,black,JONESBORO 11,JONESBORO 11,2840.0,439.0,1145.0,1611.0,0.0,0.0,both
81,063JB07,61414.1036329,black,JONESBORO 7,JONESBORO 7,2340.0,296.0,930.0,1242.0,0.0,0.0,both
82,063JB06,98786.0904393,white,JONESBORO 6,JONESBORO 6,2009.0,693.0,551.0,1264.0,0.0,0.0,both
83,121UC032,49669.0000862,black,UC032,UC032,16.0,2.0,4.0,6.0,0.0,0.0,both
84,121SC211,54300.2067363,black,SC211,SC211,820.0,13.0,434.0,448.0,0.0,0.0,both
85,063JB01,39933.0779979,black,JONESBORO 1,JONESBORO 1,3515.0,165.0,1423.0,1614.0,0.0,0.0,both
86,063PH1,71320.0,black,PANHANDLE 1,PANHANDLE 1,2293.0,171.0,1144.0,1325.0,0.0,0.0,both
87,063JB13,61686.8245944,black,JONESBORO 13,JONESBORO 13,1336.0,154.0,645.0,813.0,0.0,0.0,both
88,063LJ4,62823.9968421,black,LOVEJOY 4,LOVEJOY 4,2983.0,159.0,1368.0,1544.0,0.0,0.0,both
89,063LJ5,48898.9998072,black,LOVEJOY 5,LOVEJOY 5,2207.0,108.0,951.0,1074.0,0.0,0.0,both
90,063PH2,71320.0,black,PANHANDLE 2,PANHANDLE 2,2043.0,367.0,785.0,1164.0,0.0,0.0,both
91,063JB04,37524.6059607,black,JONESBORO 4,JONESBORO 4,1566.0,113.0,520.0,644.0,0.0,0.0,both
92,063LJ3,66907.0979587,black,LOVEJOY 3,LOVEJOY 3,4240.0,405.0,1553.0,1982.0,0.0,0.0,both
93,063LJ1,50463.5165331,black,LOVEJOY 1,LOVEJOY 1,2716.0,269.0,1239.0,1531.0,0.0,0.0,both
94,063LJ2,59069.9955964,black,LOVEJOY 2,LOVEJOY 2,2257.0,141.0,936.0,1088.0,0.0,0.0,both
95,063JB05,62825.0,black,JONESBORO 5,JONESBORO 5,1532.0,223.0,537.0,768.0,0.0,0.0,both
96,063JB14,66969.206291,black,JONESBORO 14,JONESBORO 14,3390.0,684.0,1290.0,2007.0,0.0,0.0,both
97,135147,90842.5664644,,BAYCREEK I,BAYCREEK I,3769.0,906.0,913.0,1873.0,0.0,0.0,both
98,13580,84393.7784348,,BAYCREEK C,BAYCREEK C,4139.0,1153.0,1058.0,2254.0,0.0,0.0,both
99,13590,57021.6103245,,LAWRENCEVILLE I,LAWRENCEVILLE I,2168.0,555.0,516.0,1113.0,0.0,0.0,both
100,13585,88378.1611122,white,LAWRENCEVILLE H,LAWRENCEVILLE H,3140.0,1004.0,544.0,1596.0,0.0,0.0,both
101,135132,87845.014055,white,LAWRENCEVILLE K,LAWRENCEVILLE K,2467.0,779.0,454.0,1258.0,0.0,0.0,both
102,13560,62617.0986675,,LAWRENCEVILLE D,LAWRENCEVILLE D,3229.0,346.0,745.0,1109.0,0.0,0.0,both
103,13542,86150.1992045,white,LAWRENCEVILLE C,LAWRENCEVILLE C,2190.0,774.0,320.0,1138.0,0.0,0.0,both
104,1359,80975.999975,white,PUCKETTS A,PUCKETTS A,3549.0,1387.0,463.0,1893.0,0.0,0.0,both
105,135135,90506.7657347,white,PUCKETTS C,PUCKETTS C,2259.0,784.0,301.0,1129.0,0.0,0.0,both
106,1353,88376.2428555,white,DACULA,DACULA,3307.0,909.0,766.0,1719.0,0.0,0.0,both
107,135152,92688.0017271,white,ROCKYCREEK C,ROCKYCREEK C,3497.0,1187.0,668.0,1888.0,0.0,0.0,both
108,135137,80511.0777688,white,ROCKYCREEK B,ROCKYCREEK B,3657.0,1217.0,626.0,1903.0,0.0,0.0,both
109,135154,80791.9673805,white,PUCKETTS D,PUCKETTS D,2286.0,901.0,289.0,1231.0,0.0,0.0,both
110,1358,110889.981861,white,DUNCANS A,DUNCANS A,3536.0,1523.0,440.0,2016.0,0.0,0.0,both
111,13513,111087.0,white,DUNCANS C,DUNCANS C,2380.0,1086.0,262.0,1384.0,0.0,0.0,both
112,121RW09,176443.563528,white,RW09,RW09,2442.0,1051.0,329.0,1398.0,0.0,0.0,both
113,135108,80886.0366707,,BAYCREEK E,BAYCREEK E,2265.0,638.0,469.0,1129.0,0.0,0.0,both
114,135145,76761.3788658,white,BAYCREEK G,BAYCREEK G,3107.0,948.0,670.0,1646.0,0.0,0.0,both
115,135146,82443.0556252,white,BAYCREEK H,BAYCREEK H,4012.0,1479.0,676.0,2191.0,0.0,0.0,both
116,13591,94098.1579451,white,BAYCREEK D,BAYCREEK D,3355.0,1181.0,652.0,1882.0,0.0,0.0,both
117,135133,82440.026504,white,HARBINS B,HARBINS B,2851.0,1059.0,355.0,1469.0,0.0,0.0,both
118,13528,103858.05682,white,ROCKYCREEK A,ROCKYCREEK A,3847.0,1355.0,668.0,2074.0,0.0,0.0,both
119,135129,111273.950701,white,DUNCANS B,DUNCANS B,3262.0,1365.0,392.0,1808.0,0.0,0.0,both
120,13539,111722.999983,white,DUNCANS D,DUNCANS D,4282.0,1759.0,439.0,2261.0,0.0,0.0,both
121,135104,74483.9951314,black,ROCKBRIDGE F,ROCKBRIDGE F,4120.0,621.0,1634.0,2287.0,0.0,0.0,both
122,13576,74483.9999396,black,ROCKBRIDGE D,ROCKBRIDGE D,2726.0,538.0,954.0,1505.0,0.0,0.0,both
123,13552,86326.5441964,white,BERKSHIRE G,BERKSHIRE G,1785.0,675.0,395.0,1103.0,0.0,0.0,both
124,1351,77447.9999908,white,HARBINS A,HARBINS A,4016.0,1303.0,747.0,2122.0,0.0,0.0,both
125,135151,77448.0000003,white,HARBINS C,HARBINS C,1708.0,722.0,201.0,944.0,0.0,0.0,both
126,067WL01,136873.844336,white,WILLEO 01,,,,,,,,left_only
127,121RW07B,45170.9301991,hispanic,RW07B,RW07B,307.0,56.0,85.0,149.0,0.0,0.0,both
128,121AP03,57454.0000093,,AP03,AP03,640.0,60.0,144.0,211.0,0.0,0.0,both
129,121RW05,58003.9855617,,RW05,RW05,1701.0,284.0,347.0,644.0,0.0,0.0,both
130,121AP021,110781.941078,white,AP021,AP021,2304.0,679.0,373.0,1082.0,0.0,0.0,both
131,121RW06,93606.2385029,white,RW06,RW06,2430.0,709.0,499.0,1232.0,0.0,0.0,both
132,121RW13,103843.601204,white,RW13,RW13,2954.0,1028.0,552.0,1617.0,0.0,0.0,both
133,121AP01D,81158.1907624,white,AP01D,AP01D,656.0,149.0,112.0,266.0,0.0,0.0,both
134,121AP02B,61654.999889,,AP02B,AP02B,356.0,90.0,61.0,153.0,0.0,0.0,both
135,121AP022,61655.0002753,,AP022,AP022,1755.0,465.0,332.0,822.0,0.0,0.0,both
136,121AP01B,84909.9999854,,AP01B,AP01B,648.0,93.0,105.0,206.0,0.0,0.0,both
137,063RD01,59697.5995614,black,RIVERDALE 1,RIVERDALE 1,1764.0,88.0,946.0,1041.0,0.0,0.0,both
138,063RD03,48284.7791155,black,RIVERDALE 3,RIVERDALE 3,2580.0,75.0,1159.0,1248.0,0.0,0.0,both
139,063OAK4,50172.3189563,black,OAK 4,OAK 4,2394.0,54.0,1036.0,1099.0,0.0,0.0,both
140,063OAK2,46756.5878746,black,OAK 2,OAK 2,1039.0,33.0,377.0,416.0,0.0,0.0,both
141,063RD10,31847.5402106,black,RIVERDALE 10,RIVERDALE 10,1942.0,25.0,655.0,686.0,0.0,0.0,both
142,063OAK3,34426.8627647,black,OAK 3,OAK 3,2856.0,62.0,962.0,1032.0,0.0,0.0,both
143,121CP06,57248.9999336,white,CP06,CP06,369.0,2.0,93.0,95.0,0.0,0.0,both
144,121CP05B,35056.3167721,black,CP05B,CP05B,90.0,1.0,35.0,36.0,0.0,0.0,both
145,121CP07D,35016.0,black,CP07D,,,,,,,,left_only
146,121RW08,104907.832885,white,RW08,RW08,1928.0,744.0,308.0,1076.0,0.0,0.0,both
147,121RW18,152029.727253,white,RW18,RW18,1991.0,841.0,311.0,1172.0,0.0,0.0,both
148,121RW16,110849.313211,white,RW16,RW16,1575.0,590.0,293.0,902.0,0.0,0.0,both
149,121RW12,113046.672824,white,RW12,RW12,3083.0,1203.0,557.0,1804.0,0.0,0.0,both
150,089DI,159717.823872,white,DUNWOODY LIBRARY,DUNWOODY LIBRARY,2205.0,1070.0,361.0,1457.0,0.0,0.0,both
151,089AD,157989.300633,white,AUSTIN,AUSTIN,2235.0,1052.0,391.0,1474.0,0.0,0.0,both
152,089MQ,146753.47041,white,MOUNT VERNON EAST,,,,,,,,left_only
153,121SS15B,72017.9998374,,SS15B,SS15B,1339.0,191.0,316.0,522.0,0.0,0.0,both
154,121SS17,46878.6732202,white,SS17,SS17,2998.0,1008.0,534.0,1561.0,0.0,0.0,both
155,063OAK1,40769.3914333,black,OAK 1,OAK 1,1608.0,27.0,607.0,640.0,0.0,0.0,both
156,121CP02,79794.9668548,,CP02,CP02,813.0,66.0,283.0,357.0,0.0,0.0,both
157,121CP01B,79794.9992581,,CP01B,CP01B,335.0,45.0,96.0,146.0,0.0,0.0,both
158,067VG01,88765.7888437,white,VININGS 01,VININGS 01,1760.0,457.0,394.0,881.0,0.0,0.0,both
159,12109F,92955.4619794,white,09F,09F,2909.0,838.0,739.0,1608.0,0.0,0.0,both
160,12108N2,221381.421359,white,08N2,08N2,981.0,327.0,251.0,583.0,0.0,0.0,both
161,12108N1,221299.000193,white,08N1,08N1,703.0,324.0,123.0,451.0,0.0,0.0,both
162,12108F1,226070.090638,white,08F1,08F1,1922.0,901.0,355.0,1273.0,0.0,0.0,both
163,12108A,263565.203108,white,08A,08A,2537.0,882.0,506.0,1403.0,0.0,0.0,both
164,12108D,255725.654679,white,08D,08D,937.0,475.0,200.0,677.0,0.0,0.0,both
165,067CA01,67115.7864348,,CHATTAHOOCHEE 01,CHATTAHOOCHEE 01,4192.0,434.0,972.0,1461.0,0.0,0.0,both
166,067TM01,62734.6678864,,TERRELL MILL 01,TERRELL MILL 01,4160.0,721.0,964.0,1740.0,0.0,0.0,both
167,067SO02,109556.046759,white,SOPE CREEK 02,SOPE CREEK 02,3732.0,1348.0,685.0,2088.0,0.0,0.0,both
168,121SS09A,66325.2756171,white,SS09A,SS09A,2603.0,1091.0,551.0,1664.0,0.0,0.0,both
169,067SO03,166386.08086,white,SOPE CREEK 03,SOPE CREEK 03,2451.0,1054.0,359.0,1457.0,0.0,0.0,both
170,121SS16,58034.0000791,,SS16,SS16,1894.0,848.0,389.0,1250.0,0.0,0.0,both
171,121AP09A,105645.403973,white,AP09A,AP09A,3603.0,1077.0,613.0,1722.0,0.0,0.0,both
172,135121,112622.830828,white,PINCKNEYVILLE X,PINCKNEYVILLE X,2341.0,788.0,495.0,1334.0,0.0,0.0,both
173,13540,88833.7062525,,PINCKNEYVILLE H,PINCKNEYVILLE H,2930.0,886.0,684.0,1625.0,0.0,0.0,both
174,121JC12,170409.619398,white,JC12,JC12,2066.0,982.0,298.0,1299.0,0.0,0.0,both
175,13599,63661.8072709,,PINCKNEYVILLE T,PINCKNEYVILLE T,2137.0,477.0,481.0,995.0,0.0,0.0,both
176,121SS15A,44353.0003431,black,SS15A,SS15A,1950.0,109.0,471.0,594.0,0.0,0.0,both
177,067RW01,135308.349366,white,ROSWELL 01,ROSWELL 01,4758.0,2007.0,851.0,2950.0,0.0,0.0,both
178,121RW02,142982.961069,white,RW02,RW02,3339.0,1157.0,632.0,1842.0,0.0,0.0,both
179,121RW10,121373.989042,white,RW10,RW10,2836.0,1126.0,483.0,1650.0,0.0,0.0,both
180,121RW15,166033.558256,white,RW15,RW15,2741.0,1118.0,390.0,1535.0,0.0,0.0,both
181,121RW01,108603.189828,white,RW01,RW01,4059.0,1534.0,714.0,2280.0,0.0,0.0,both
182,121RW03,71633.4028417,,RW03,RW03,3392.0,772.0,722.0,1533.0,0.0,0.0,both
183,135155,120739.198901,white,SUWANEE G,SUWANEE G,2650.0,798.0,486.0,1321.0,0.0,0.0,both
184,135140,145658.999772,white,SUWANEE H,SUWANEE H,2784.0,1221.0,346.0,1593.0,0.0,0.0,both
185,13517,59083.7728671,,MARTINS A,MARTINS A,2109.0,232.0,614.0,859.0,0.0,0.0,both
186,13577,67035.1992435,,GOODWINS C,GOODWINS C,3637.0,739.0,750.0,1535.0,0.0,0.0,both
187,13597,83664.9144076,,GOODWINS E,GOODWINS E,3880.0,1116.0,697.0,1877.0,0.0,0.0,both
188,067LM02,132393.217757,white,LOST MOUNTAIN 02,LOST MOUNTAIN 02,3525.0,1621.0,359.0,2034.0,0.0,0.0,both
189,067FR01,140268.115179,white,FORD 01,FORD 01,2620.0,1114.0,291.0,1438.0,0.0,0.0,both
190,067DU01,122343.99999,white,DURHAM 01,DURHAM 01,3444.0,1556.0,384.0,1988.0,0.0,0.0,both
191,067KP03,123383.605978,white,KEMP 03,KEMP 03,3221.0,1515.0,404.0,1963.0,0.0,0.0,both
192,067FY01,121066.425676,white,FREY 01,FREY 01,1985.0,786.0,293.0,1118.0,0.0,0.0,both
193,067LM04,130492.169301,white,LOST MOUNTAIN 04,LOST MOUNTAIN 04,2201.0,942.0,295.0,1272.0,0.0,0.0,both
194,067MS01,105760.970971,white,MARS HILL 01,MARS HILL 01,2594.0,1062.0,265.0,1373.0,0.0,0.0,both
195,067LW01,99747.7968572,white,LEWIS 01,LEWIS 01,1224.0,483.0,224.0,728.0,0.0,0.0,both
196,135131,145658.999952,white,SUWANEE E,SUWANEE E,3103.0,1209.0,447.0,1707.0,0.0,0.0,both
197,1354,100037.072778,white,SUWANEE A,SUWANEE A,1300.0,318.0,224.0,555.0,0.0,0.0,both
198,13598,86616.2120716,white,GOODWINS F,GOODWINS F,2324.0,605.0,476.0,1120.0,0.0,0.0,both
199,135142,108954.871969,,SUWANEE F,SUWANEE F,2816.0,857.0,523.0,1424.0,0.0,0.0,both
200,135100,108992.821252,,SUWANEE B,SUWANEE B,3084.0,1028.0,525.0,1592.0,0.0,0.0,both
201,13530,70953.6404458,,CATES C,CATES C,2092.0,503.0,594.0,1117.0,0.0,0.0,both
202,13570,102252.99995,white,GOODWINS B,GOODWINS B,3119.0,1098.0,507.0,1668.0,0.0,0.0,both
203,13526,82901.170437,,HOG MOUNTAIN A,HOG MOUNTAIN A,3211.0,732.0,625.0,1395.0,0.0,0.0,both
204,13531,89986.5605277,white,HOG MOUNTAIN D,HOG MOUNTAIN D,2249.0,782.0,360.0,1175.0,0.0,0.0,both
205,135136,80519.2148583,white,HOG MOUNTAIN C,HOG MOUNTAIN C,2964.0,947.0,440.0,1437.0,0.0,0.0,both
206,13567,80968.0378222,white,PUCKETTS E,PUCKETTS E,3503.0,964.0,604.0,1606.0,0.0,0.0,both
207,13571,80776.9390566,,LAWRENCEVILLE F,LAWRENCEVILLE F,2883.0,447.0,948.0,1417.0,0.0,0.0,both
208,135144,70796.5579162,,LAWRENCEVILLE M,LAWRENCEVILLE M,3741.0,428.0,1182.0,1644.0,0.0,0.0,both
209,13527,86588.316059,white,HOG MOUNTAIN B,HOG MOUNTAIN B,3319.0,1227.0,589.0,1866.0,0.0,0.0,both
210,067FP01,130850.90241,white,FULLERS PARK 01,FULLERS PARK 01,2922.0,1185.0,577.0,1797.0,0.0,0.0,both
211,067SM01,125454.990659,white,SEWELL MILL 01,SEWELL MILL 01,2806.0,1133.0,487.0,1675.0,0.0,0.0,both
212,067MD01,126857.326326,white,MURDOCK 01,MURDOCK 01,3387.0,1428.0,609.0,2109.0,0.0,0.0,both
213,067MT04,209538.999635,white,MT BETHEL 04,,,,,,,,left_only
214,067EA01,122972.150886,white,EASTSIDE 01,EASTSIDE 01,2528.0,1134.0,477.0,1671.0,0.0,0.0,both
215,067DO01,135135.423006,white,DODGEN 01,DODGEN 01,1799.0,831.0,293.0,1155.0,0.0,0.0,both
216,067CR01,126045.486549,white,CHESTNUT RIDGE 01,CHESTNUT RIDGE 01,2781.0,1291.0,447.0,1788.0,0.0,0.0,both
217,067RW02,153556.991168,white,ROSWELL 02,ROSWELL 02,3236.0,1416.0,513.0,1972.0,0.0,0.0,both
218,067WG02,84696.1926927,white,WADE GREEN 02,WADE GREEN 02,3563.0,1016.0,781.0,1863.0,0.0,0.0,both
219,067BG02,101215.728602,white,BIG SHANTY 02,BIG SHANTY 02,2557.0,868.0,433.0,1339.0,0.0,0.0,both
220,067PT01,111668.999885,white,PITNER 01,PITNER 01,2295.0,811.0,383.0,1247.0,0.0,0.0,both
221,067CK01,57427.9083144,white,CHALKER 01,CHALKER 01,3332.0,743.0,586.0,1384.0,0.0,0.0,both
222,067PR01,87389.9386063,white,PALMER 01,PALMER 01,2128.0,761.0,333.0,1148.0,0.0,0.0,both
223,067BF03,77375.5927994,white,BELLS FERRY 03,BELLS FERRY 03,4664.0,1517.0,735.0,2343.0,0.0,0.0,both
224,12103E,19653.4983947,black,03E,03E,1615.0,7.0,534.0,546.0,0.0,0.0,both
225,12104J,25242.292842,black,04J,04J,908.0,1.0,129.0,130.0,0.0,0.0,both
226,12103L,60667.9997259,black,03L,03L,492.0,3.0,141.0,146.0,0.0,0.0,both
227,12103M,57334.3119909,white,03M,03M,682.0,59.0,191.0,269.0,0.0,0.0,both
228,12103N,29787.4994217,black,03N,03N,1758.0,9.0,481.0,497.0,0.0,0.0,both
229,12109G1,67895.0182723,white,09G1,09G1,377.0,34.0,113.0,150.0,0.0,0.0,both
230,12109G2,67895.0000883,white,09G2,09G2,1925.0,251.0,528.0,792.0,0.0,0.0,both
231,12109H,67895.0,white,09H,09H,746.0,56.0,209.0,269.0,0.0,0.0,both
232,12108M,135365.035419,white,08M,08M,1321.0,610.0,247.0,865.0,0.0,0.0,both
233,12107J,125829.486437,white,07J,07J,2398.0,516.0,600.0,1129.0,0.0,0.0,both
234,12107H,129059.000016,white,07H,07H,1738.0,525.0,503.0,1040.0,0.0,0.0,both
235,12108G,118764.009889,white,08G,08G,2340.0,529.0,509.0,1046.0,0.0,0.0,both
236,12108C,256389.389374,white,08C,08C,1241.0,586.0,179.0,767.0,0.0,0.0,both
237,12108B,245507.920083,white,08B,08B,2902.0,1044.0,511.0,1582.0,0.0,0.0,both
238,12106I,69900.5230237,,06I,06I,2395.0,162.0,532.0,702.0,0.0,0.0,both
239,067MT01,157721.753009,white,MT BETHEL 01,,,,,,,,left_only
240,121SS18B,90477.0004194,white,SS18B,SS18B,218.0,93.0,51.0,145.0,0.0,0.0,both
241,067TR01,157506.254459,white,TIMBER RIDGE 01,TIMBER RIDGE 01,2223.0,967.0,403.0,1428.0,0.0,0.0,both
242,121SS02A,90477.0,white,SS02A,SS02A,1034.0,233.0,223.0,465.0,0.0,0.0,both
243,121SS19B,77423.006892,white,SS19B,SS19B,1825.0,276.0,408.0,694.0,0.0,0.0,both
