,Precinct,Precincts,dem_p,dem_votes,registered_v,rep_p,rep_votes,total,County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18,_merge
92,MORROW 5,,0,1684,3588,0,325,2037,CLAYTON,31.0,MO5,MORROW 5,401.0,5.0,44.0,76.0,6.0,,9.0,,,,,,1.0,,,both
93,MORROW 5,,0,1684,3588,0,325,2037,CLAYTON,31.0,MO5,MORROW 5,438.0,5.0,44.0,76.0,6.0,,8.0,,,,,,1.0,,,both
94,MORROW 6,,0,797,1994,0,193,1004,CLAYTON,31.0,MO6,MORROW 6,401.0,5.0,44.0,76.0,6.0,,9.0,,,,,,1.0,,,both
95,MORROW 7,,0,487,1452,0,137,635,CLAYTON,31.0,MO7,MORROW 7,449.0,5.0,44.0,75.0,6.0,,9.0,,,,,,1.0,,,both
96,MORROW 8,,0,1098,2143,0,87,1193,CLAYTON,31.0,MO8,MORROW 8,401.0,5.0,44.0,76.0,6.0,,9.0,,,,,,1.0,,,both
97,MORROW 9,,0,431,1030,0,89,532,CLAYTON,31.0,MO9,MORROW 9,432.0,5.0,44.0,78.0,6.0,,9.0,,,,,,1.0,,,both
98,OAK 1,,0,607,1608,0,27,640,CLAYTON,31.0,OAK1,OAK 1,402.0,5.0,34.0,60.0,6.0,,4.0,,,,,,2.0,,,both
99,OAK 1,,0,607,1608,0,27,640,CLAYTON,31.0,OAK1,OAK 1,452.0,5.0,34.0,60.0,6.0,,4.0,,,,,3,2.0,,,both
100,OAK 2,,0,377,1039,0,33,416,CLAYTON,31.0,OAK2,OAK 2,402.0,5.0,34.0,60.0,6.0,,4.0,,,,,,2.0,,,both
101,OAK 2,,0,377,1039,0,33,416,CLAYTON,31.0,OAK2,OAK 2,410.0,5.0,34.0,74.0,6.0,,4.0,,,,,,2.0,,,both
102,OAK 3,,0,962,2856,0,62,1032,CLAYTON,31.0,OAK3,OAK 3,410.0,5.0,34.0,74.0,6.0,,4.0,,,,,,2.0,,,both
103,OAK 4,,0,1036,2394,0,54,1099,CLAYTON,31.0,OAK4,OAK 4,410.0,5.0,34.0,74.0,6.0,,4.0,,,,,,2.0,,,both
104,OAK 4,,0,1036,2394,0,54,1099,CLAYTON,31.0,OAK4,OAK 4,454.0,5.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
105,PANHANDLE 1,,0,1144,2293,0,171,1325,CLAYTON,31.0,PH1,PANHANDLE 1,455.0,13.0,44.0,63.0,6.0,,1.0,,,,,,3.0,,,both
106,PANHANDLE 2,,0,785,2043,0,367,1164,CLAYTON,31.0,PH2,PANHANDLE 2,455.0,13.0,44.0,63.0,6.0,,1.0,,,,,,3.0,,,both
107,RIVERDALE 1,,0,946,1764,0,88,1041,CLAYTON,31.0,RD01,RIVERDALE 1,456.0,13.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
108,RIVERDALE 2,,0,1021,2329,0,62,1093,CLAYTON,31.0,RD02,RIVERDALE 2,421.0,13.0,34.0,77.0,6.0,,2.0,,,,,,3.0,,,both
109,RIVERDALE 2,,0,1021,2329,0,62,1093,CLAYTON,31.0,RD02,RIVERDALE 2,466.0,13.0,34.0,77.0,6.0,,2.0,,,,,,2.0,,,both
110,RIVERDALE 3,,0,1159,2580,0,75,1248,CLAYTON,31.0,RD03,RIVERDALE 3,456.0,13.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
111,RIVERDALE 3,,0,1159,2580,0,75,1248,CLAYTON,31.0,RD03,RIVERDALE 3,457.0,13.0,34.0,74.0,6.0,,3.0,,,,,LRG,2.0,,,both
112,RIVERDALE 4,,0,1184,3183,0,138,1334,CLAYTON,31.0,RD04,RIVERDALE 4,433.0,13.0,34.0,77.0,6.0,,5.0,,,,,,4.0,,,both
113,RIVERDALE 4,,0,1184,3183,0,138,1334,CLAYTON,31.0,RD04,RIVERDALE 4,458.0,13.0,34.0,77.0,6.0,,5.0,,,,,LRG,4.0,,,both
114,RIVERDALE 4,,0,1184,3183,0,138,1334,CLAYTON,31.0,RD04,RIVERDALE 4,465.0,13.0,34.0,77.0,6.0,,3.0,,,,,LRG,4.0,,,both
115,RIVERDALE 4,,0,1184,3183,0,138,1334,CLAYTON,31.0,RD04,RIVERDALE 4,469.0,13.0,34.0,77.0,6.0,,3.0,,,,,,4.0,,,both
116,RIVERDALE 5,,0,932,2175,0,106,1051,CLAYTON,31.0,RD05,RIVERDALE 5,433.0,13.0,34.0,77.0,6.0,,5.0,,,,,,4.0,,,both
117,RIVERDALE 5,,0,932,2175,0,106,1051,CLAYTON,31.0,RD05,RIVERDALE 5,458.0,13.0,34.0,77.0,6.0,,5.0,,,,,LRG,4.0,,,both
118,RIVERDALE 6,,0,705,2371,0,148,867,CLAYTON,31.0,RD06,RIVERDALE 6,459.0,13.0,34.0,77.0,6.0,,7.0,,,,,,4.0,,,both
119,RIVERDALE 7,,0,524,1766,0,96,636,CLAYTON,31.0,RD07,RIVERDALE 7,469.0,13.0,34.0,77.0,6.0,,3.0,,,,,,4.0,,,both
120,RIVERDALE 7,,0,524,1766,0,96,636,CLAYTON,31.0,RD07,RIVERDALE 7,488.0,13.0,34.0,77.0,6.0,,3.0,,,,,LRG,2.0,,,both
121,RIVERDALE 7,,0,524,1766,0,96,636,CLAYTON,31.0,RD07,RIVERDALE 7,489.0,13.0,34.0,77.0,6.0,,3.0,,,,,,2.0,,,both
122,RIVERDALE 8,,0,1135,2115,0,137,1289,CLAYTON,31.0,RD08,RIVERDALE 8,456.0,13.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
123,RIVERDALE 8,,0,1135,2115,0,137,1289,CLAYTON,31.0,RD08,RIVERDALE 8,457.0,13.0,34.0,74.0,6.0,,3.0,,,,,LRG,2.0,,,both
124,RIVERDALE 9,,0,839,2022,0,105,956,CLAYTON,31.0,RD09,RIVERDALE 9,433.0,13.0,34.0,77.0,6.0,,5.0,,,,,,4.0,,,both
125,RIVERDALE 9,,0,839,2022,0,105,956,CLAYTON,31.0,RD09,RIVERDALE 9,458.0,13.0,34.0,77.0,6.0,,5.0,,,,,LRG,4.0,,,both
126,RIVERDALE 9,,0,839,2022,0,105,956,CLAYTON,31.0,RD09,RIVERDALE 9,485.0,13.0,34.0,77.0,6.0,,2.0,,,,,LRG,4.0,,,both
127,RIVERDALE 9,,0,839,2022,0,105,956,CLAYTON,31.0,RD09,RIVERDALE 9,486.0,13.0,34.0,77.0,6.0,,2.0,,,,,,4.0,,,both
128,RIVERDALE 10,,0,655,1942,0,25,686,CLAYTON,31.0,RD10,RIVERDALE 10,456.0,13.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
129,RIVERDALE 10,,0,655,1942,0,25,686,CLAYTON,31.0,RD10,RIVERDALE 10,457.0,13.0,34.0,74.0,6.0,,3.0,,,,,LRG,2.0,,,both
130,RIVERDALE 10,,0,655,1942,0,25,686,CLAYTON,31.0,RD10,RIVERDALE 10,484.0,13.0,34.0,74.0,6.0,,4.0,,,,,,2.0,,,both
131,RIVERDALE 10,,0,655,1942,0,25,686,CLAYTON,31.0,RD10,RIVERDALE 10,493.0,13.0,34.0,74.0,6.0,,4.0,,,,,LRG,2.0,,,both
132,RIVERDALE 11,,0,745,1394,0,69,825,CLAYTON,31.0,RD11,RIVERDALE 11,456.0,13.0,34.0,74.0,6.0,,3.0,,,,,,2.0,,,both
133,RIVERDALE 12,,0,1075,2214,0,92,1178,CLAYTON,31.0,RD12,RIVERDALE 12,488.0,13.0,34.0,77.0,6.0,,3.0,,,,,LRG,2.0,,,both
134,RIVERDALE 12,,0,1075,2214,0,92,1178,CLAYTON,31.0,RD12,RIVERDALE 12,489.0,13.0,34.0,77.0,6.0,,3.0,,,,,,2.0,,,both
135,Totals:,,0,51510,129300,0,9897,62287,,,,,,,,,,,,,,,,,,,,left_only
136,Acworth 1A,,0,797,3876,0,1105,1955,,,,,,,,,,,,,,,,,,,,left_only
137,Acworth 1B,,0,606,3644,0,1048,1712,,,,,,,,,,,,,,,,,,,,left_only
138,Acworth 1C,,0,798,3568,0,670,1522,,,,,,,,,,,,,,,,,,,,left_only
139,Addison 01,,0,379,1919,0,731,1145,,,,,,,,,,,,,,,,,,,,left_only
140,Austell 1A,,0,1223,3232,0,360,1626,,,,,,,,,,,,,,,,,,,,left_only
141,Bells Ferry 02,,0,468,2438,0,795,1314,,,,,,,,,,,,,,,,,,,,left_only
142,Bells Ferry 03,,0,735,4664,0,1517,2343,,,,,,,,,,,,,,,,,,,,left_only
143,Big Shanty 01,,0,300,2134,0,628,966,,,,,,,,,,,,,,,,,,,,left_only
144,Big Shanty 02,,0,433,2557,0,868,1339,,,,,,,,,,,,,,,,,,,,left_only
145,Baker 01,,0,691,3456,0,818,1554,,,,,,,,,,,,,,,,,,,,left_only
146,Birney 01,,0,492,1928,0,452,961,,,,,,,,,,,,,,,,,,,,left_only
147,Birney 02,,0,834,2942,0,725,1605,,,,,,,,,,,,,,,,,,,,left_only
148,Bryant 01,,0,853,1605,0,61,925,,,,,,,,,,,,,,,,,,,,left_only
149,Bryant 02,,0,1416,4031,0,77,1515,,,,,,,,,,,,,,,,,,,,left_only
150,Blackwell 01,,0,405,2061,0,661,1110,,,,,,,,,,,,,,,,,,,,left_only
151,Chattahoochee 01,,0,972,4192,0,434,1461,,,,,,,,,,,,,,,,,,,,left_only
152,Cheatham Hill 02,,0,394,2487,0,1013,1455,,,,,,,,,,,,,,,,,,,,left_only
153,Cheatham Hill 03,,0,698,3233,0,1221,1972,,,,,,,,,,,,,,,,,,,,left_only
154,Chalker 01,,0,586,3332,0,743,1384,,,,,,,,,,,,,,,,,,,,left_only
155,Clarkdale 01,,0,347,1365,0,293,657,,,,,,,,,,,,,,,,,,,,left_only
156,Clarkdale 02,,0,1283,3894,0,667,1993,,,,,,,,,,,,,,,,,,,,left_only
157,Cooper 01,,0,1216,3622,0,472,1719,,,,,,,,,,,,,,,,,,,,left_only
158,Chestnut Ridge 01,,0,447,2781,0,1291,1788,,,,,,,,,,,,,,,,,,,,left_only
159,Dickerson 01,,0,461,2446,0,1093,1584,,,,,,,,,,,,,,,,,,,,left_only
160,Dobbins 01,,0,652,3008,0,206,885,,,,,,,,,,,,,,,,,,,,left_only
161,Dowell 01,,0,613,2615,0,902,1569,,,,,,,,,,,,,,,,,,,,left_only
162,Dodgen 01,,0,293,1799,0,831,1155,,,,,,,,,,,,,,,,,,,,left_only
163,Durham 01,,0,384,3444,0,1556,1988,,,,,,,,,,,,,,,,,,,,left_only
164,Davis 01,,0,309,1697,0,609,938,,,,,,,,,,,,,,,,,,,,left_only
165,Eastside 01,,0,477,2528,0,1134,1671,,,,,,,,,,,,,,,,,,,,left_only
166,Eastside 02,,0,688,3489,0,1560,2328,,,,,,,,,,,,,,,,,,,,left_only
