DISTRICT,income,race,Precinct Description
12112B,48162.9999502,black,12B
12112S,37724.9999756,black,12S
12101J,30444.8270649,black,01J
12101C1,38173.0765435,black,01C1
12112A,48162.9996438,black,12A
12112K,29682.5130538,black,12K
12112N,28004.0125754,black,12N
12104B,43957.3952996,black,04B
13555,64396.6603751,white,SUGAR HILL D
135102,79498.6926708,white,PUCKETTS B
13524,73604.6428598,,SUGAR HILL A
12110K,40334.9878689,black,10K
12110G,38163.730312,black,10G
12111H,44749.0923361,black,11H
12110J,27505.4212903,black,10J
12112L,24448.6012747,black,12L
12112G,23800.0000513,black,12G
12112D,23984.7763757,black,12D
135141,111178.852139,white,SUGAR HILL G
13525,80193.2937559,white,SUGAR HILL B
13589,88062.5945048,white,SUGAR HILL E
13554,83876.5297412,white,SUGAR HILL C
121MP01,175478.0,white,MP01
135130,111176.408953,white,SUWANEE D
067DC01,132366.422976,white,DICKERSON 01
067SA01,126620.496246,white,SANDY PLAINS 01
067PP01,133844.556198,white,POPE 01
067MB01,151583.999728,white,MABRY 01
067DV01,107699.0,white,DAVIS 01
067GM01,106741.00026,white,GARRISON MILL 01
067PO01,138681.999949,white,POST OAK 01
067HT01,145838.999948,white,HIGHTOWER 01
067SF01,137689.69657,white,SHALLOWFORD FALLS 01
121ML05A,169334.0,white,ML05A
121ML06A,89105.4961093,white,ML06A
121AP12B,163711.151849,white,AP12B
121ML05C,131507.554028,white,ML05C
121ML04C,184433.58675,white,ML04C
121ML071,190427.0,white,ML071
121ML06B,87754.0786291,white,ML06B
121SS09B,107793.915474,white,SS09B
121SS13B,170781.917706,white,SS13B
121SS11D,92761.0000254,,SS11D
121SS11B,92760.9877163,,SS11B
121SS06,69192.9977567,white,SS06
121SS05,58602.0054561,,SS05
121SS18A,71783.7353125,,SS18A
121SS31,69229.1196899,white,SS31
121SS03,69193.0003403,white,SS03
121SS13A,94140.0,white,SS13A
121SS11A,98018.5278361,white,SS11A
121SS11C,101716.448226,,SS11C
121SS14,162671.225707,white,SS14
12108J,138801.245249,white,08J
063FP4,48873.5560823,,FOREST PARK 4
063FP1,37380.0730443,black,FOREST PARK 1
121HP01,52696.9730183,,HP01
12112E1,22402.7118397,black,12E1
121AP05,158709.308464,white,AP05
121ML072,190427.0,white,ML072
121AP09B,115719.401279,white,AP09B
089CE,73394.4072516,,CHAMBLEE (CHA)
089HF,65928.9603339,,HUNTLEY HILLS ELEM (CHA)
089PB,59632.0001897,,PEACHTREE MIDDLE (DUN)
089DG,145869.000002,white,DUNWOODY HIGH (DUN)
089CH,72004.6906385,white,CHESNUT ELEM (DUN)
089TG,102101.255157,white,TILLY MILL ROAD (DUN)
067MT03,168311.623111,white,MT BETHEL 03
067PE01,54717.0484505,black,PEBBLEBROOK 01
