v_id,race,avg_income
067VG01,white,88765
067VG02,,85128
067VG03,white,101155
067VG04,white,126661
067WG02,white,84611
067WL01,white,136873
0691,white,43196
0692,white,51921
0693,white,49659
0694,white,59231
0695,white,55208
0696,black,32307
0711,white,45983
07110,white,47582
07111,white,49618
07112,white,49619
07113,white,49619
07114,white,45738
07115,white,49171
07116,white,47582
07117,white,46571
07118,white,55230
07119,white,52927
0712,white,42507
07120,white,49645
07121,white,47583
07122,white,62391
07123,white,48331
0717,white,44225
0718,white,49618
0719,white,62391
07310,white,73656
073100,white,77453
073105,white,163408
073107,white,163408
073108,white,162876
073109,white,163408
073110,white,51956
073111,white,78686
073115,white,59947
073120,white,70156
073125,white,70157
073130,white,83111
073131,white,104249
073132,white,104871
073134,white,104248
073135,white,104249
073136,white,78686
073137,white,88881
07315,white,85490
07316,white,64778
07317,white,66247
07320,white,55468
07321,white,54920
07325,white,60121
07326,white,56171
07330,white,63565
07331,white,63930
07332,white,63583
07333,white,63218
07340,white,74540
07350,white,74916
07351,white,75413
07360,white,76198
07361,white,113709
07362,white,64509
07363,white,114387
07364,white,114387
07365,white,86863
07370,white,64778
07374,white,64777
07375,white,64778
07376,white,65069
07380,white,65230
07385,white,65229
07390,white,61504
075C,white,49374
075DB,white,49823
075EP,black,41694
075L,white,40067
075M,white,45979
075NL,white,46457
075RB,white,43519
075S,white,45586
0771,white,72304
07710,white,72598
07711,white,64814
07712,white,64716
07713,white,72042
07714,white,76889
07715,black,51921
07716,white,47087
07717,,46618
07718,white,88518
07719,white,66641
0772,white,66459
07720,white,64559
07721,white,80134
07722,white,94323
07723,white,92309
07724,white,60478
07725,white,80055
07726,white,93924
07727,white,82616
07728,white,57303
0773,white,57039
0774,white,65060
0775,black,54197
0776,white,76407
0777,white,97692
0778,white,94906
0779,white,56850
0791A,white,93724
0791B,white,68836
0792,white,52836
0793,white,78181
0794,white,50367
0795,white,76249
081ARABI,white,34823
081CONEY,white,44861
081CORDE,white,45738
081JAMES,white,41475
081LISTO,white,57695
0831038,white,68147
0831214,white,65210
0831222,,47583
0831885,,47583
0831889,white,65116
083960,white,68910
083974,white,74160
0851,white,62391
0852,white,50896
0853,white,45084
