,DISTRICT,income,race,Precinct Description,Precinct,prec,County,MITT ROMNEY (R),BARACK OBAMA (I)(D)
229,121SS20,68393.6845785,,SS20,SS20,SS20,Fulton,462,626
230,121SS22,52899.405147,,SS22,SS22,SS22,Fulton,804,794
231,121RW11A,92566.1771281,white,RW11A,RW11A,RW11A,Fulton,979,662
232,121RW19,187821.165651,white,RW19,RW19,RW19,Fulton,982,378
233,121ML012,177525.000024,white,ML012,ML012,ML012,Fulton,195,38
234,121ML01B,178143.432728,white,ML01B,ML01B,ML01B,Fulton,68,19
235,121AP04A,138431.719885,white,AP04A,AP04A,AP04A,Fulton,815,252
236,121ML011,177524.999989,white,ML011,ML011,ML011,Fulton,865,312
237,121AP04B,177524.999495,white,AP04B,AP04B,AP04B,Fulton,164,54
238,12105A2,74509.8315883,white,05A2,05A2,05A2,Fulton,209,1361
239,12103G,15389.0001477,black,03G,03G,03G,Fulton,4,217
240,12103T,44311.8871663,black,03T,03T,03T,Fulton,37,843
241,12103P2,21209.0,black,03P2,03P2,03P2,Fulton,3,95
242,121AP06,111870.317795,white,AP06,AP06,AP06,Fulton,859,275
243,121AP07B,138287.349975,white,AP07B,AP07B,AP07B,Fulton,672,245
244,121AP10,169333.999407,white,AP10,AP10,AP10,Fulton,495,163
245,121AP07A,90764.2214155,white,AP07A,AP07A,AP07A,Fulton,1137,762
246,121ML03,190427.0,white,ML03,ML03,ML03,Fulton,1916,434
247,121ML07A,190427.0,white,ML07A,ML07A,ML07A,Fulton,310,86
248,12112B,48162.9999502,black,12B,12B,12B,Fulton,60,1231
249,12112S,37724.9999756,black,12S,12S,12S,Fulton,19,951
250,12101J,30444.8270649,black,01J,01J,01J,Fulton,29,1224
251,12101C1,38173.0765435,black,01C1,01C1,01C1,Fulton,17,561
252,12112A,48162.9996438,black,12A,12A,12A,Fulton,12,450
253,12104B,43957.3952996,black,04B,04B,04B,Fulton,16,838
254,13555,64396.6603751,white,SUGAR HILL D,SUGAR HILL D,SUGAR HILL D,Gwinnett,1201,707
255,135102,79498.6926708,white,PUCKETTS B,PUCKETTS B,PUCKETTS B,Gwinnett,1277,526
256,13524,73604.6428598,,SUGAR HILL A,SUGAR HILL A,SUGAR HILL A,Gwinnett,1148,574
257,12110G,38163.730312,black,10G,10G,10G,Fulton,11,878
258,12111H,44749.0923361,black,11H,11H,11H,Fulton,22,1375
259,12110J,27505.4212903,black,10J,10J,10J,Fulton,2,442
260,12112L,24448.6012747,black,12L,12L,12L,Fulton,5,284
261,12112G,23800.0000513,black,12G,12G,12G,Fulton,19,479
262,12112D,23984.7763757,black,12D,12D,12D,Fulton,10,599
263,135141,111178.852139,white,SUGAR HILL G,SUGAR HILL G,SUGAR HILL G,Gwinnett,1176,428
264,13525,80193.2937559,white,SUGAR HILL B,SUGAR HILL B,SUGAR HILL B,Gwinnett,1615,849
265,13589,88062.5945048,white,SUGAR HILL E,SUGAR HILL E,SUGAR HILL E,Gwinnett,1146,460
266,13554,83876.5297412,white,SUGAR HILL C,SUGAR HILL C,SUGAR HILL C,Gwinnett,1731,663
267,121MP01,175478.0,white,MP01,MP01,MP01,Fulton,164,136
268,135130,111176.408953,white,SUWANEE D,SUWANEE D,SUWANEE D,Gwinnett,1985,658
269,067DC01,132366.422976,white,DICKERSON 01,DICKERSON 01,DICKERSON 01,Cobb,1403,601
270,067SA01,126620.496246,white,SANDY PLAINS 01,SANDY PLAINS 01,SANDY PLAINS 01,Cobb,1117,629
271,067PP01,133844.556198,white,POPE 01,POPE 01,POPE 01,Cobb,1444,632
272,067MB01,151583.999728,white,MABRY 01,MABRY 01,MABRY 01,Cobb,966,287
273,067DV01,107699.0,white,DAVIS 01,DAVIS 01,DAVIS 01,Cobb,941,423
274,067GM01,106741.00026,white,GARRISON MILL 01,GARRISON MILL 01,GARRISON MILL 01,Cobb,1307,585
275,067PO01,138681.999949,white,POST OAK 01,POST OAK 01,POST OAK 01,Cobb,1783,601
276,067HT01,145838.999948,white,HIGHTOWER 01,HIGHTOWER 01,HIGHTOWER 01,Cobb,1599,645
277,067SF01,137689.69657,white,SHALLOWFORD FALLS 01,SHALLOWFORD FALLS 01,SHALLOWFORD FALLS 01,Cobb,1616,694
278,121SS13B,170781.917706,white,SS13B,SS13B,SS13B,Fulton,186,141
279,121SS11D,92761.0000254,,SS11D,SS11D,SS11D,Fulton,134,100
280,121SS11B,92760.9877163,,SS11B,SS11B,SS11B,Fulton,288,376
281,121SS06,69192.9977567,white,SS06,SS06,SS06,Fulton,683,257
282,121SS05,58602.0054561,,SS05,SS05,SS05,Fulton,861,443
283,121SS18A,71783.7353125,,SS18A,SS18A,SS18A,Fulton,314,141
284,121SS31,69229.1196899,white,SS31,SS31,SS31,Fulton,422,281
285,121SS03,69193.0003403,white,SS03,SS03,SS03,Fulton,516,374
286,121SS13A,94140.0,white,SS13A,SS13A,SS13A,Fulton,661,568
287,121SS11A,98018.5278361,white,SS11A,SS11A,SS11A,Fulton,958,933
288,121SS11C,101716.448226,,SS11C,SS11C,SS11C,Fulton,55,182
289,121SS14,162671.225707,white,SS14,SS14,SS14,Fulton,689,258
290,12108J,138801.245249,white,08J,08J,08J,Fulton,1195,605
291,063FP4,48873.5560823,,FOREST PARK 4,FOREST PARK 4,FOREST PARK 4,Clayton,328,621
292,063FP1,37380.0730443,black,FOREST PARK 1,FOREST PARK 1,FOREST PARK 1,Clayton,304,1000
293,121HP01,52696.9730183,,HP01,HP01,HP01,Fulton,588,1069
294,12112E1,22402.7118397,black,12E1,12E1,12E1,Fulton,20,602
