,income,precinct_n,race
292,23800.0000513,12G,black
293,23984.7763757,12D,black
294,111178.852139,SUGAR HILL G,white
295,80193.2937559,SUGAR HILL B,white
296,88062.5945048,SUGAR HILL E,white
297,83876.5297412,SUGAR HILL C,white
298,175478.0,MP01,white
299,111176.408953,SUWANEE D,white
300,132366.422976,DICKERSON 01,white
301,126620.496246,SANDY PLAINS 01,white
302,133844.556198,POPE 01,white
303,151583.999728,MABRY 01,white
304,107699.0,DAVIS 01,white
305,106741.00026,GARRISON MILL 01,white
306,138681.999949,POST OAK 01,white
307,145838.999948,HIGHTOWER 01,white
308,137689.69657,SHALLOWFORD FALLS 01,white
309,169334.0,ML05A,white
310,89105.4961093,ML06A,white
311,163711.151849,AP12B,white
312,131507.554028,ML05C,white
313,184433.58675,ML04C,white
314,190427.0,ML071,white
315,87754.0786291,ML06B,white
316,107793.915474,SS09B,white
317,170781.917706,SS13B,white
318,92761.0000254,SS11D,
319,92760.9877163,SS11B,
320,69192.9977567,SS06,white
321,58602.0054561,SS05,
322,71783.7353125,SS18A,
323,69229.1196899,SS31,white
324,69193.0003403,SS03,white
325,94140.0,SS13A,white
326,98018.5278361,SS11A,white
327,101716.448226,SS11C,
328,162671.225707,SS14,white
329,138801.245249,08J,white
330,48873.5560823,FOREST PARK 4,
331,37380.0730443,FOREST PARK 1,black
332,52696.9730183,HP01,
333,22402.7118397,12E1,black
334,158709.308464,AP05,white
335,190427.0,ML072,white
336,115719.401279,AP09B,white
337,73394.4072516,CHAMBLEE (CHA),
338,65928.9603339,HUNTLEY HILLS ELEM (,
339,59632.0001897,PEACHTREE MIDDLE (DU,
340,145869.000002,DUNWOODY ELEM (DUN),white
341,72004.6906385,CHESNUT ELEM (DUN),white
342,102101.255157,TILLY MILL ROAD (DUN,white
343,168311.623111,MT BETHEL 03,white
344,54717.0484505,PEBBLEBROOK 01,black
345,59046.8462027,MABLETON 02,
346,40853.856121,BRYANT 02,black
347,46848.0001011,RIVERSIDE 01,black
348,59962.8220394,AUSTELL 1A,black
349,87960.7627183,SC05D,black
350,99633.9108888,UC02B,black
351,101950.239027,SC05B,black
352,48657.023764,SC08C,black
353,101953.999923,SC18B,black
354,60280.8508902,CLARKDALE 01,black
355,66352.2386892,POWDER SPRINGS 2A,black
356,64283.2503091,COOPER 01,black
357,89559.9998885,OREGON 02,
358,56422.003735,SC13B,white
359,58258.2233014,SC05A,white
360,56422.0002889,SC13A,white
361,31091.9225552,09K,black
362,118699.999949,09M,white
363,42531.6628892,09E,black
364,100512.153848,09A,
365,35651.9998104,04C,black
366,27740.6627099,03A,black
367,27340.0000291,03D,black
368,27406.0000852,03B,black
369,40775.9999983,09I,black
370,56038.6551555,ACWORTH 1B,white
371,70161.0019773,MACLAND 01,
372,115053.218289,OREGON 05,white
373,99899.129528,KEMP 02,white
374,67348.9999932,OREGON 04,
375,116142.006679,DOWELL 01,white
376,101431.856003,CHEATHAM HILL 03,white
377,76526.1134595,MABLETON 01,
378,48164.3079317,SWEETWATER 02,black
379,88901.4144031,BIRNEY 02,white
380,81757.9999983,BIRNEY 01,
381,90712.6836194,MABLETON 03,white
382,85874.5923571,MABLETON 04,white
383,86606.9200046,ACWORTH 1A,white
384,80636.2928891,MCEACHERN 01,
385,115676.017844,LOST MOUNTAIN 01,white
386,113406.000007,OREGON 01,white
387,133633.008538,VAUGHAN 01,white
388,72507.5992392,POWDER SPRINGS 1A,
389,69734.9063381,POWDER SPRINGS 3A,
390,127437.776917,LOST MOUNTAIN 03,white
391,71456.3040366,SWEETWATER 01,
392,67228.7038238,CLARKDALE 02,black
393,59452.946863,MARIETTA 3A,
394,129495.146669,HARRISON 01,white
395,115967.16253,KEMP 01,white
396,98471.0045237,MCCLURE 01,white
397,74359.4702,NORTH COBB 01,white
398,114849.058097,SMYRNA 7B,
399,42668.9250389,SC14,black
400,80364.0067912,HARMONY-LELAND 01,
401,133845.983744,LINDLEY 01,
402,36599.8336446,CP04,black
403,39986.8709058,CP012,
404,40753.9595325,EP03,black
405,40399.8685842,CP011,
406,42070.8213304,EP01,black
407,47644.2055908,SC19B,black
408,44235.3064161,EP04,black
409,51275.8443223,CP051,black
410,35016.0003381,CP07A,black
411,45767.3397957,11P,black
412,41164.0363432,SC10,black
413,41166.0001052,CP081,black
414,48657.1903879,UC01E,black
415,48657.006409,SC17A,black
416,40697.9825237,SC17C,black
417,39780.2115605,SC19A,black
418,53108.6451605,SC18A,black
419,50016.1480866,11E3,black
420,51445.000011,11E1,black
421,51445.0,11E2,black
422,58366.7049726,UC02A,black
423,48657.0,SC08F,black
424,87927.9411808,SC01B,black
425,71485.7392749,SC02,black
426,81562.9999511,SC16,black
