,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p
119,COBB,738,LOST MOUNTAIN 01,1567,2305,0.679826464208,0.320173535792
120,COBB,680,LOST MOUNTAIN 02,2112,2792,0.756446991404,0.243553008596
121,COBB,1081,LOST MOUNTAIN 03,2342,3423,0.684195150453,0.315804849547
122,COBB,558,LOST MOUNTAIN 04,1238,1796,0.689309576837,0.310690423163
123,COBB,324,LEWIS 01,769,1093,0.703568161025,0.296431838975
124,COBB,1794,MABLETON 01,982,2776,0.353746397695,0.646253602305
125,COBB,948,MABLETON 02,503,1451,0.346657477602,0.653342522398
126,COBB,903,MABLETON 03,829,1732,0.478637413395,0.521362586605
127,COBB,468,MABLETON 04,536,1004,0.533864541833,0.466135458167
128,COBB,392,MABRY 01,797,1189,0.67031118587,0.32968881413
129,COBB,1554,MACLAND 01,740,2294,0.322580645161,0.677419354839
130,COBB,1035,MURDOCK 01,1611,2646,0.608843537415,0.391156462585
131,COBB,1102,MCEACHERN 01,1002,2104,0.476235741445,0.523764258555
132,COBB,442,MCCLESKEY 01,752,1194,0.629815745394,0.370184254606
133,COBB,326,MCCLURE 01,747,1073,0.696178937558,0.303821062442
134,COBB,1176,MARIETTA 1A,497,1673,0.297071129707,0.702928870293
135,COBB,536,MARIETTA 2A,948,1484,0.638814016173,0.361185983827
136,COBB,1491,MARIETTA 2B,1069,2560,0.417578125,0.582421875
137,COBB,2095,MARIETTA 3A,1499,3594,0.417084028937,0.582915971063
138,COBB,372,MARIETTA 4A,1008,1380,0.730434782609,0.269565217391
139,COBB,614,MARIETTA 4B,623,1237,0.503637833468,0.496362166532
140,COBB,648,MARIETTA 4C,1231,1879,0.655135710484,0.344864289516
141,COBB,1244,MARIETTA 5A,378,1622,0.233045622688,0.766954377312
142,COBB,905,MARIETTA 5B,290,1195,0.242677824268,0.757322175732
143,COBB,908,MARIETTA 6A,307,1215,0.252674897119,0.747325102881
144,COBB,924,MARIETTA 6B,913,1837,0.497005988024,0.502994011976
145,COBB,1206,MARIETTA 7A,273,1479,0.184584178499,0.815415821501
146,COBB,472,MARS HILL 01,1638,2110,0.776303317536,0.223696682464
147,COBB,646,MARS HILL 02,1027,1673,0.613867304244,0.386132695756
148,COBB,1172,MOUNT BETHEL 01,1668,2840,0.587323943662,0.412676056338
149,COBB,956,MOUNT BETHEL 03,1181,2137,0.552643893308,0.447356106692
150,COBB,805,MOUNT BETHEL 04,1237,2042,0.605778648384,0.394221351616
151,COBB,593,NORTH COBB 01,785,1378,0.569666182874,0.430333817126
152,COBB,2088,NICKAJACK 01,703,2791,0.25188104622,0.74811895378
153,COBB,1410,NORTON PARK 01,1074,2484,0.432367149758,0.567632850242
154,COBB,570,NICHOLSON 01,976,1546,0.631306597671,0.368693402329
155,COBB,1378,OAKDALE 01,1083,2461,0.440065014222,0.559934985778
156,COBB,387,OREGON 01,762,1149,0.66318537859,0.33681462141
157,COBB,2300,OREGON 02,858,3158,0.271690943635,0.728309056365
158,COBB,1179,OREGON 03,576,1755,0.328205128205,0.671794871795
159,COBB,1772,OREGON 04,724,2496,0.290064102564,0.709935897436
160,COBB,1277,OREGON 05,1128,2405,0.469022869023,0.530977130977
161,COBB,2283,PEBBLEBROOK 01,500,2783,0.179662234998,0.820337765002
162,COBB,959,POWERS FERRY 01,1098,2057,0.533787068546,0.466212931454
163,COBB,685,PINE MOUNTAIN 01,1605,2290,0.700873362445,0.299126637555
