County Name,County Code,County Precinct,Precinct Description,Combo#,Cong,Senat,House,Judic,Ward,Schol,Watbd,Supcm,Schob,Fire,Cityl,Commi,Munib,Unnamed: 18
CLAYTON,31,RD09,RIVERDALE 9,433,13,34,77,6,,5,,,,,,4,,
CLAYTON,31,RD09,RIVERDALE 9,458,13,34,77,6,,5,,,,,LRG,4,,
CLAYTON,31,RD09,RIVERDALE 9,485,13,34,77,6,,2,,,,,LRG,4,,
CLAYTON,31,RD09,RIVERDALE 9,486,13,34,77,6,,2,,,,,,4,,
CLAYTON,31,RD10,RIVERDALE 10,456,13,34,74,6,,3,,,,,,2,,
CLAYTON,31,RD10,RIVERDALE 10,457,13,34,74,6,,3,,,,,LRG,2,,
CLAYTON,31,RD10,RIVERDALE 10,484,13,34,74,6,,4,,,,,,2,,
CLAYTON,31,RD10,RIVERDALE 10,493,13,34,74,6,,4,,,,,LRG,2,,
CLAYTON,31,RD11,RIVERDALE 11,456,13,34,74,6,,3,,,,,,2,,
CLAYTON,31,RD12,RIVERDALE 12,488,13,34,77,6,,3,,,,,LRG,2,,
CLAYTON,31,RD12,RIVERDALE 12,489,13,34,77,6,,3,,,,,,2,,
COBB,33,88888,88888,0,99999,99999,99999,99999,,,,,,,,99999,,
COBB,33,99999,99999,0,99999,99999,99999,99999,,,,,,,,99999,,
COBB,33,AC1A,ACWORTH 1A,695,11,37,35,7,,1,,,,,LRG,1,,
COBB,33,AC1B,ACWORTH 1B,687,11,37,35,7,,1,,,,,LRG,3,,
COBB,33,AC1B,ACWORTH 1B,695,11,37,35,7,,1,,,,,LRG,1,,
COBB,33,AC1C,ACWORTH 1C,687,11,37,35,7,,1,,,,,LRG,3,,
COBB,33,AC1C,ACWORTH 1C,695,11,37,35,7,,1,,,,,LRG,1,,
COBB,33,AD01,ADDISON 01,605,6,32,44,7,,4,,,,,,3,,
COBB,33,AU1A,AUSTELL 1A,730,13,33,39,7,1,3,,,,,,4,,
COBB,33,AU1A,AUSTELL 1A,731,13,33,39,7,2,3,,,,,,4,,
COBB,33,AU1A,AUSTELL 1A,732,13,33,39,7,3,3,,,,,,4,,
COBB,33,AU1A,AUSTELL 1A,733,13,33,39,7,4,3,,,,,,4,,
COBB,33,BF02,BELLS FERRY 02,605,6,32,44,7,,4,,,,,,3,,
COBB,33,BF03,BELLS FERRY 03,602,6,14,44,7,,4,,,,,,3,,
COBB,33,BF03,BELLS FERRY 03,610,6,32,46,7,,4,,,,,,3,,
COBB,33,BG01,BIG SHANTY 01,692,11,37,34,7,,4,,,,,,1,,
COBB,33,BG01,BIG SHANTY 01,701,11,37,35,7,,4,,,,,,1,,
COBB,33,BG01,BIG SHANTY 01,711,11,37,44,7,,4,,,,,,3,,
COBB,33,BG01,BIG SHANTY 01,755,11,37,35,7,,4,,,,,,3,,
COBB,33,BG01,BIG SHANTY 01,758,11,37,34,7,,4,,,,,,3,,
COBB,33,BG02,BIG SHANTY 02,650,11,14,44,7,,4,,,,,,3,,
COBB,33,BK01,BAKER 01,697,11,37,35,7,,1,,,,,,1,,
COBB,33,BK01,BAKER 01,701,11,37,35,7,,4,,,,,,1,,
COBB,33,BK01,BAKER 01,753,11,37,35,7,,1,,,,,,3,,
COBB,33,BK01,BAKER 01,755,11,37,35,7,,4,,,,,,3,,
COBB,33,BR01,BIRNEY 01,723,13,33,38,7,,2,,,,,,4,,
COBB,33,BR02,BIRNEY 02,740,13,38,38,7,,2,,,,,,4,,
COBB,33,BT01,BRYANT 01,744,13,38,39,7,,3,,,,,,4,,
COBB,33,BT02,BRYANT 02,744,13,38,39,7,,3,,,,,,4,,
COBB,33,BW01,BLACKWELL 01,605,6,32,44,7,,4,,,,,,3,,
COBB,33,CA01,CHATTAHOOCHEE 01,601,6,6,43,7,,6,,,,,,2,,
COBB,33,CA01,CHATTAHOOCHEE 01,635,11,6,42,7,,6,,,,,,2,,
COBB,33,CA01,CHATTAHOOCHEE 01,645,11,6,43,7,,6,,,,,,2,,
COBB,33,CH02,CHEATHAM HILL 02,688,11,37,34,7,,1,,,,,,1,,
COBB,33,CH02,CHEATHAM HILL 02,693,11,37,34,7,,7,,,,,,1,,
COBB,33,CH03,CHEATHAM HILL 03,705,11,37,37,7,,7,,,,,,1,,
COBB,33,CH03,CHEATHAM HILL 03,708,11,37,41,7,,7,,,,,,1,,
COBB,33,CK01,CHALKER 01,711,11,37,44,7,,4,,,,,,3,,
COBB,33,CL01,CLARKDALE 01,727,13,33,38,7,,3,,,,,,4,,
COBB,33,CL01,CLARKDALE 01,734,13,33,39,7,,3,,,,,,4,,
COBB,33,CL02,CLARKDALE 02,734,13,33,39,7,,3,,,,,,4,,
COBB,33,CL02,CLARKDALE 02,739,13,33,61,7,,3,,,,,,4,,
COBB,33,CO01,COOPER 01,727,13,33,38,7,,3,,,,,,4,,
COBB,33,CO01,COOPER 01,729,13,33,38,7,,7,,,,,,4,,
COBB,33,CR01,CHESTNUT RIDGE 01,608,6,32,45,7,,5,,,,,,3,,
COBB,33,CR01,CHESTNUT RIDGE 01,691,6,32,45,7,,5,,,,,,2,,
COBB,33,DC01,DICKERSON 01,607,6,32,45,7,,6,,,,,,2,,
COBB,33,DI01,DOBBINS 01,631,11,6,42,7,,2,,,,,,2,,
COBB,33,DI01,DOBBINS 01,632,11,6,42,7,,5,,,,,,2,,
COBB,33,DI01,DOBBINS 01,635,11,6,42,7,,6,,,,,,2,,
COBB,33,DI01,DOBBINS 01,639,11,6,42,7,,2,,,,,,4,,
COBB,33,DI01,DOBBINS 01,680,11,33,42,7,,2,,,,,,4,,
COBB,33,DI01,DOBBINS 01,788,11,6,42,7,,2,,,,,,3,,
