,PRECINCT_N,ajc_precinct
319,SS11B,SS11B
320,SS06,SS06
321,SS05,SS05
322,SS18A,SS18A
323,SS31,SS31
324,SS03,SS03
325,SS13A,SS13A
326,SS11A,SS11A
327,SS11C,SS11C
328,SS14,SS14
329,08J,08J
330,FOREST PARK 4,FOREST PARK 4
331,FOREST PARK 1,FOREST PARK 1
332,HP01,HP01
333,12E1,12E1
334,AP05,AP05
335,ML072,ML072
336,AP09B,AP09B
337,CHAMBLEE (CHA),CHAMBLEE
338,HUNTLEY HILLS ELEM (,HUNTLEY HILLS ELEM
339,PEACHTREE MIDDLE (DU,PEACHTREE MIDDLE
340,DUNWOODY ELEM (DUN),DUNWOODY HIGH
341,CHESNUT ELEM (DUN),CHESNUT ELEM
342,TILLY MILL ROAD (DUN,TILLY MILL ROAD
343,MT BETHEL 03,MOUNT BETHEL 03
344,PEBBLEBROOK 01,PEBBLEBROOK 01
345,MABLETON 02,MABLETON 02
346,BRYANT 02,BRYANT 02
347,RIVERSIDE 01,RIVERSIDE 01
348,AUSTELL 1A,AUSTELL 1A
349,SC05D,SC05D
350,UC02B,UC02B
351,SC05B,SC05B
352,SC08C,SC08C
353,SC18B,SC18B
354,CLARKDALE 01,CLARKDALE 01
355,POWDER SPRINGS 2A,POWDER SPRINGS 2A
356,COOPER 01,COOPER 01
357,OREGON 02,OREGON 02
358,SC13B,SC13B
359,SC05A,SC05A
360,SC13A,SC13A
361,09K,09K
362,09M,09M
363,09E,09E
364,09A,09A
365,04C,04C
366,03A,03A
367,03D,03D
368,03B,03B
369,09I,09I
370,ACWORTH 1B,ACWORTH 1B
371,MACLAND 01,MACLAND 01
372,OREGON 05,OREGON 05
373,KEMP 02,KEMP 02
374,OREGON 04,OREGON 04
375,DOWELL 01,DOWELL 01
376,CHEATHAM HILL 03,CHEATHAM HILL 03
377,MABLETON 01,MABLETON 01
378,SWEETWATER 02,SWEETWATER 02
379,BIRNEY 02,BIRNEY 02
380,BIRNEY 01,BIRNEY 01
381,MABLETON 03,MABLETON 03
382,MABLETON 04,MABLETON 04
383,ACWORTH 1A,ACWORTH 1A
384,MCEACHERN 01,MCEACHERN 01
385,LOST MOUNTAIN 01,LOST MOUNTAIN 01
386,OREGON 01,OREGON 01
387,VAUGHAN 01,VAUGHN 01
388,POWDER SPRINGS 1A,POWDER SPRINGS 1A
389,POWDER SPRINGS 3A,POWDER SPRINGS 3A
390,LOST MOUNTAIN 03,LOST MOUNTAIN 03
391,SWEETWATER 01,SWEETWATER 01
392,CLARKDALE 02,CLARKDALE 02
393,MARIETTA 3A,MARIETTA 3A
394,HARRISON 01,HARRISON 01
395,KEMP 01,KEMP 01
396,MCCLURE 01,MCCLURE 01
397,NORTH COBB 01,NORTH COBB 01
398,SMYRNA 7B,SMYRNA 7B
399,SC14,SC14
400,HARMONY-LELAND 01,HARMONY LELAND 01
401,LINDLEY 01,LINDLEY 01
402,CP04,CP04
403,CP012,CP012
404,EP03,EP03
405,CP011,CP011
406,EP01,EP01
407,SC19B,SC19B
408,EP04,EP04
409,CP051,CP051
410,CP07A,CP07A
411,11P,11P
412,SC10,SC10
413,CP081,CP081
414,UC01E,UC01E
415,SC17A,SC17A
416,SC17C,SC17C
417,SC19A,SC19A
418,SC18A,SC18A
419,11E3,11E3
420,11E1,11E1
421,11E2,11E2
422,UC02A,UC02A
423,SC08F,SC08F
424,SC01B,SC01B
425,SC02,SC02
426,SC16,SC16
427,BRYANT 01,BRYANT 01
428,11C,11C
429,SC30A,SC30A
430,10A,10A
431,10C,10C
432,11N,11N
433,11M,11M
434,SC30B,SC30B
435,10L,10L
436,10R,10R
437,10B,10B
438,10I,10I
439,10H,10H
440,EP02,EP02
441,11B,11B
442,10D,10D
443,10E,10E
444,10P,10P
445,09C,09C
446,09B,09B
447,09L,09L
448,11R,11R
449,11K,11K
450,11G,11G
451,12I,12I
452,12C,12C
453,04S,04S
454,04X1,04X1
455,04M,04M
456,04T,04T
457,10M,10M
458,04X2,04X2
459,04L,04L
460,04D,04D
461,04G,04G
462,04A,04A
463,04K,04K
464,04W,04W
465,10F,10F
466,03S,03S
467,09D,09D
468,03C,03C
469,03H,03H
470,OREGON 03,OREGON 03
471,MARIETTA 2A,MARIETTA 2A
472,NORTON PARK 01,NORTON PARK 01
473,FAIR OAKS 01,FAIR OAKS 01
474,LASSITER 01,LASSSITER 01
475,KELL 01,KELL 01
476,ROCKY MOUNT 01,ROCKY MOUNTAIN 01
477,EASTSIDE 02,EASTSIDE 02
478,SOPE CREEK 01,SOPE CREEK 01
479,FAIR OAKS 02,FAIR OAKS 02
480,FAIR OAKS 04,FAIR OAKS 04
481,MARIETTA 2B,MARIETTA 2B
482,BELLS FERRY 02,BELLS FERRY 02
483,BLACKWELL 01,BLACKWELL 01
484,GRITTERS 01,GRITTERS 01
485,MCCLESKEY 01,MCCLESKEY 01
486,NICHOLSON 01,NICHOLSON 01
487,ADDISON 01,ADDISON 01
488,SIMPSON 01,SIMPSON 01
489,MARIETTA 6A,MARIETTA 6A
490,MARIETTA 5B,MARIETTA 5B
491,HAYES 01,HAYES 01
492,PINE MOUNTAIN 02,PINE MOUNTAIN 02
493,CHEATHAM HILL 02,CHEATHAM HILL 02
494,POWERS FERRY 01,POWERS FERRY 01
495,08E,08E
496,VININGS 04,VININGS 04
497,MARIETTA 7A,MARIETTA 7A
498,FAIR OAKS 05,FAIR OAKS 05
499,MARIETTA 1A,MARIETTA 1A
500,DOBBINS 01,DOBBINS 01
501,SMYRNA 5A,SMYRNA 5A
502,SMYRNA 3A,SMYRNA 3A
503,MARIETTA 4C,MARIETTA 4C
504,KENNESAW 3A,KENNESAW 3A
505,MARIETTA 4A,MARIETTA 4A
506,MARIETTA 5A,MARIETTA 5A
507,SMYRNA 7A,SMYRNA 7A
508,SMYRNA 4A,SMYRNA 4A
509,EAST PIEDMONT 01,EAST PIEDMONT 01
510,KENNESAW 1A,KENNESAW 1A
511,BIG SHANTY 01,BIG SHANTY 01
512,MARIETTA 4B,MARIETTA 4B
513,ELIZABETH 01,ELIZABETH 01
514,PINE MOUNTAIN 01,PINE MOUNTAIN 01
515,KENNESAW 2A,KENNESAW 2A
516,MARS HILL 02,MARS HILL 02
517,ACWORTH 1C,ACWORTH 1C
518,KENNESAW 4A,KENNESAW 4A
