,PRECINCT_N,XCOORD,YCOORD,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
71,SC17B,-84.530987,33.610103,4008306,0.15,1520,121SC17B,121SC17B,SC17B,60,FULTON,121,black,48657,SC17B
72,SC07A,-84.624144,33.572924,3974577,11.0,1501,121SC07A,121SC07A,SC07A,60,FULTON,121,black,64043,SC07A
73,CH03,-84.751412,33.583595,3886504,17.58,1398,121CH03,121CH03,CH03,60,FULTON,121,white,41282,CH03
74,CH02,-84.706726,33.593946,3886642,5.24,1397,121CH02,121CH02,CH02,60,FULTON,121,white,41282,CH02
75,CH01,-84.690312,33.562941,3886700,2.77,1396,121CH01,121CH01,CH01,60,FULTON,121,white,41282,CH01
76,SC04,-84.683201,33.616471,3886746,17.33,1497,121SC04,121SC04,SC04,60,FULTON,121,white,51949,SC04
77,CH05,-84.785387,33.541167,797909,18.69,1401,121CH05,121CH05,CH05,60,FULTON,121,white,41282,CH05
78,CH04A,-84.715887,33.526988,798082,6.8,1399,121CH04A,121CH04A,CH04A,60,FULTON,121,white,41282,CH04A
79,JONESBORO 18,-84.336409,33.553545,1073521,2.69,466,063JB18,063JB18,JB18,31,CLAYTON,63,black,52205,JONESBORO 18
80,JONESBORO 11,-84.319021,33.534289,1073600,2.9,459,063JB11,063JB11,JB11,31,CLAYTON,63,black,71803,JONESBORO 11
81,JONESBORO 7,-84.318887,33.550985,1073694,2.02,455,063JB07,063JB07,JB07,31,CLAYTON,63,black,61414,JONESBORO 7
82,JONESBORO 6,-84.301431,33.52299,1073760,3.84,454,063JB06,063JB06,JB06,31,CLAYTON,63,white,98786,JONESBORO 6
83,UC032,-84.526731,33.550724,890832,0.14,1583,121UC032,121UC032,UC032,60,FULTON,121,black,49669,UC032
84,SC211,-84.50829,33.549134,890867,1.76,1526,121SC211,121SC211,SC211,60,FULTON,121,black,54300,SC211
85,JONESBORO 1,-84.413927,33.507094,898570,1.94,449,063JB01,063JB01,JB01,31,CLAYTON,63,black,39933,JONESBORO 1
86,PANHANDLE 1,-84.391763,33.428545,1053163,1.68,486,063PH1,063PH1,PH1,31,CLAYTON,63,black,71320,PANHANDLE 1
87,JONESBORO 13,-84.377235,33.483269,1053201,2.08,461,063JB13,063JB13,JB13,31,CLAYTON,63,black,61686,JONESBORO 13
88,LOVEJOY 4,-84.35843,33.459624,1053254,1.85,471,063LJ4,063LJ4,LJ4,31,CLAYTON,63,black,62823,LOVEJOY 4
89,LOVEJOY 5,-84.357755,33.470864,1053297,1.17,472,063LJ5,063LJ5,LJ5,31,CLAYTON,63,black,48898,LOVEJOY 5
90,PANHANDLE 2,-84.372511,33.389304,1044861,10.67,487,063PH2,063PH2,PH2,31,CLAYTON,63,black,71320,PANHANDLE 2
91,JONESBORO 4,-84.355442,33.542859,1067981,1.49,452,063JB04,063JB04,JB04,31,CLAYTON,63,black,37524,JONESBORO 4
92,LOVEJOY 3,-84.341349,33.440899,1068024,7.56,470,063LJ3,063LJ3,LJ3,31,CLAYTON,63,black,66907,LOVEJOY 3
93,LOVEJOY 1,-84.332556,33.485422,1068127,6.59,468,063LJ1,063LJ1,LJ1,31,CLAYTON,63,black,50463,LOVEJOY 1
94,LOVEJOY 2,-84.320598,33.46344,1068221,4.84,469,063LJ2,063LJ2,LJ2,31,CLAYTON,63,black,59069,LOVEJOY 2
95,JONESBORO 5,-84.33999,33.507286,1068289,1.42,453,063JB05,063JB05,JB05,31,CLAYTON,63,black,62825,JONESBORO 5
96,JONESBORO 14,-84.313769,33.504988,1068337,3.61,462,063JB14,063JB14,JB14,31,CLAYTON,63,black,66969,JONESBORO 14
97,BAYCREEK I,-83.939766,33.929071,5075546,4.55,1804,135147,135147,147,67,GWINNETT,135,,90842,BAYCREEK I
98,BAYCREEK C,-83.89402,33.908235,5075606,7.52,1737,13580,13580,80,67,GWINNETT,135,,84393,BAYCREEK C
99,LAWRENCEVILLE I,-84.000855,33.983475,5075667,2.27,1747,13590,13590,90,67,GWINNETT,135,,57021,LAWRENCEVILLE I
