ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_rac,income_r_1,XCOORD,YCOORD
3886746,17.33,1497,121SC04,121SC04,SC04,SC04,60,FULTON,121,white,51949.844099,-84.683201,33.616471
797909,18.69,1401,121CH05,121CH05,CH05,CH05,60,FULTON,121,white,41282,-84.785387,33.541167
798082,6.8,1399,121CH04A,121CH04A,CH04A,CH04A,60,FULTON,121,white,41282,-84.715887,33.526988
1073521,2.69,466,063JB18,063JB18,JB18,JONESBORO 18,31,CLAYTON,063,black,52205.845437,-84.336409,33.553545
1073600,2.9,459,063JB11,063JB11,JB11,JONESBORO 11,31,CLAYTON,063,black,71803.028945,-84.319021,33.534289
1073694,2.02,455,063JB07,063JB07,JB07,JONESBORO 7,31,CLAYTON,063,black,61414.103633,-84.318887,33.550985
1073760,3.84,454,063JB06,063JB06,JB06,JONESBORO 6,31,CLAYTON,063,white,98786.090439,-84.301431,33.52299
890832,0.14,1583,121UC032,121UC032,UC032,UC032,60,FULTON,121,black,49669.000086,-84.526731,33.550724
890867,1.76,1526,121SC211,121SC211,SC211,SC211,60,FULTON,121,black,54300.206736,-84.50829,33.549134
898570,1.94,449,063JB01,063JB01,JB01,JONESBORO 1,31,CLAYTON,063,black,39933.077998,-84.413927,33.507094
1053163,1.68,486,063PH1,063PH1,PH1,PANHANDLE 1,31,CLAYTON,063,black,71320,-84.391763,33.428545
1053201,2.08,461,063JB13,063JB13,JB13,JONESBORO 13,31,CLAYTON,063,black,61686.824594,-84.377235,33.483269
1053254,1.85,471,063LJ4,063LJ4,LJ4,LOVEJOY 4,31,CLAYTON,063,black,62823.996842,-84.35843,33.459624
1053297,1.17,472,063LJ5,063LJ5,LJ5,LOVEJOY 5,31,CLAYTON,063,black,48898.999807,-84.357755,33.470864
1044861,10.67,487,063PH2,063PH2,PH2,PANHANDLE 2,31,CLAYTON,063,black,71320,-84.372511,33.389304
1067981,1.49,452,063JB04,063JB04,JB04,JONESBORO 4,31,CLAYTON,063,black,37524.605961,-84.355442,33.542859
1068024,7.56,470,063LJ3,063LJ3,LJ3,LOVEJOY 3,31,CLAYTON,063,black,66907.097959,-84.341349,33.440899
1068127,6.59,468,063LJ1,063LJ1,LJ1,LOVEJOY 1,31,CLAYTON,063,black,50463.516533,-84.332556,33.485422
1068221,4.84,469,063LJ2,063LJ2,LJ2,LOVEJOY 2,31,CLAYTON,063,black,59069.995596,-84.320598,33.46344
1068289,1.42,453,063JB05,063JB05,JB05,JONESBORO 5,31,CLAYTON,063,black,62825,-84.33999,33.507286
1068337,3.61,462,063JB14,063JB14,JB14,JONESBORO 14,31,CLAYTON,063,black,66969.206291,-84.313769,33.504988
5075546,4.55,1804,135147,135147,147,BAYCREEK I,67,GWINNETT,135,,90842.566464,-83.939766,33.929071
5075606,7.52,1737,13580,13580,80,BAYCREEK C,67,GWINNETT,135,,84393.778435,-83.89402,33.908235
5075667,2.27,1747,13590,13590,90,LAWRENCEVILLE I,67,GWINNETT,135,,57021.610324,-84.000855,33.983475
5075729,2.33,1742,13585,13585,85,LAWRENCEVILLE H,67,GWINNETT,135,white,88378.161112,-83.995415,34.003176
