PRECINCT_N,ajc_precinct
FREEDOM MIDDLE,FREEDOM MIDDLE
PINE LAKE (PIN),PINE LAKE
HAMBRICK ELEM,HAMBRICK ELEM
ROCKBRIDGE ELEM,ROCKBRIDGE ELEM
STONE MILL ELEM,STONE MILL ELEM
MILLER-ELDRIDGE L MI,MILLER-ELDRIDGE L. M
GARNERS B,GARNERS B
BERKSHIRE D,BERKSHIRE D
BERKSHIRE A,BERKSHIRE A
BERKSHIRE P,BERKSHIRE P
BERKSHIRE M,BERKSHIRE M
PINCKNEYVILLE Q,PINCKNEYVILLE Q
BERKSHIRE L,BERKSHIRE L
GARNERS F,GARNERS F
BERKSHIRE N,BERKSHIRE N
BERKSHIRE E,BERKSHIRE E
BERKSHIRE J,BERKSHIRE J
GARNERS C,GARNERS C
GARNERS A,GARNERS A
FERNBANK ELEM,FERNBANK ELEM
EMORY SOUTH,EMORY SOUTH
JOHNSON ESTATES (ATL,JOHNSON ESTATES
BRIAR VISTA ELEM,BRIAR VISTA ELEM
DRUID HILLS HIGH,DRUID HILLS HIGH
EMORY ROAD,EMORY ROAD
LAVISTA ROAD,LAVISTA ROAD
STN MTN MIDDLE,STONE MOUNTAIN MIDDL
TUCKER,TUCKER
HUGH HOWELL,HUGH HOWELL
SMOKE RISE,SMOKE RISE ELEM
BERKSHIRE B,BERKSHIRE B
BERKSHIRE Q,BERKSHIRE Q
SOUTH HAIRSTON,SOUTH HAIRSTON
PANOLA,PANOLA
SHADOW ROCK ELEM,SHADOW ROCK ELEM
STONE MTN CHAMPION (,STONE MOUNTAIN CHAMP
STONE MTN LIBRARY (S,STONE MOUNTAIN LIBRA
08H,08H
DULUTH D,DULUTH D
DULUTH E,DULUTH E
DULUTH C,DULUTH C
JC11,JC11
JC09,JC09
JC07,JC07
AP12D,AP12D
SHAMROCK,SHAMROCK
NORTHLAKE,NORTHLAKE
BRIARLAKE ELEM,BRIARLAKE ELEM
REHOBOTH,REHOBOTH
WARREN TECH,WARREN TECH
BERKSHIRE H,BERKSHIRE H
PINCKNEYVILLE Y,PINCKNEYVILLE Y
PINCKNEYVILLE D,PINCKNEYVILLE D
PINCKNEYVILLE K,PINCKNEYVILLE K
PINCKNEYVILLE I,PINCKNEYVILLE I
WINTERS CHAPEL (DUN),WINTERS CHAPEL
PINCKNEYVILLE U,PINCKNEYVILLE U
MIDVALE ROAD,MIDVALE ROAD
HENDERSON MILL ELEM,HENDERSON MILL ELEM
MONTREAL,MONTREAL
JOLLY ELEM,JOLLY ELEM
IDLEWOOD ELEM,IDLEWOOD ELEM
BROCKETT,BROCKETT
WOODWARD ELEM (BHAVN,WOODWARD ELEM
CROSS KEYS HIGH (BHA,CROSS KEYS HIGH
HARRIS-MARGARET HARR,HARRIS-MARGARET HARR
BRIARCLIFF,BRIARCLIFF
MONTCLAIR ELEM,MONTCLAIR ELEM
BRIARWOOD (BHAVN),BRIARWOOD
BROOKHAVEN (BHAVN),BROOKHAVEN
SILVER LAKE (BHAVN),SILVER LAKE
SKYLAND (BHAVN),SKYLAND
ASHFORD PARK ELEM (B,ASHFORD PARK ELEM
OAK GROVE ELEM,OAK GROVE ELEM
CORALWOOD,CORALWOOD
SAGAMORE HILLS ELEM,SAGAMORE HILLS ELEM
LAKESIDE HIGH,LAKESIDE HIGH
DRESDEN ELEM,DRESDEN ELEM
HAWTHORNE ELEM,HAWTHORNE ELEM
CLIFTON ELEM,CLIFTON ELEM
CEDAR GROVE MIDDLE,CEDAR GROVE MIDDLE
FLAT SHOALS,FLAT SHOALS
FLAT SHOALS ELEM,FLAT SHOALS ELEM
MCNAIR ACADEMY,MCNAIR ACADEMY
EAST LAKE (ATL),EAST LAKE ELEM
MCNAIR MIDDLE,MCNAIR MIDDLE
OAKHURST (DEC),OAKHURST
RENFROE MIDDLE (DEC),RENFROE MIDDLE
PONCE DE LEON (DEC),PONCE DE LEON
CLAIREMONT EAST (DEC,CLAIREMONT EAST
WINNONA PARK ELEM (D,WINNONA PARK ELEM
GLENNWOOD (DEC),GLENNWOOD - 04
CLAIREMONT WEST (DEC,CLAIREMONT WEST
12M,12M
12J,12J
12H,12H
FOREST PARK 2,FOREST PARK 2
12T,12T
MORROW 2,MORROW 2
MORROW 7,MORROW 7
GLENHAVEN,GLENHAVEN
AVONDALE HIGH,AVONDALE HIGH
AVONDALE (AVO),AVONDALE
MIDWAY ELEM,MIDWAY ELEM
COVINGTON,COVINGTON
NORTH DECATUR,NORTH DECATUR
MCLENDON,MCLENDON
LAKE CITY,LAKE CITY
MORROW 4,MORROW 4
MORROW 9,MORROW 9
MORROW 6,MORROW 6
MORROW 3,MORROW 3
PEACHCREST ELEM,PEACHCREST ELEM
MATHIS-BOB MATHIS EL,MATHIS-BOB MATHIS EL
RAINBOW ELEM,RAINBOW ELEM
KELLEY CHAPEL ROAD,KELLEY CHAPEL ROAD
COLUMBIA DRIVE,COLUMBIA DRIVE
AUSTIN DRIVE,AUSTIN DRIVE
CANBY LANE ELEM,CANBY LANE ELEM
SNAPFINGER ROAD N,SNAPFINGER ROAD NORT
GLENWOOD ROAD,GLENWOOD ROAD
MORROW 1,MORROW 1
BOULDERCREST ROAD,BOULDERCREST RD
ELLENWOOD,ELLENWOOD
CEDAR GROVE SOUTH,CEDAR GROVE SOUTH
CEDAR GROVE ELEM,CEDAR GROVE ELEM
12F,12F
04V,04V
04I,04I
01F,01F
01G,01G
01D,01D
01H,01H
05B,05B
01S,01S
01C2,01C
01T,01T
01P,01P
01R,01R
01E,01E
01A,01A
05A1,05A1
01B,01B
KELLEY LAKE ELEM,KELLEY LAKE ELEM
CANDLER,CANDLER
COAN MIDDLE (ATL),COAN MIDDLE
EPWORTH (ATL),EPWORTH
LIN-MARY LIN ELEM (A,LIN-MARY LIN ELEM
BOULEVARD (ATL),BOULEVARD
MEADOWVIEW ELEM,MEADOWVIEW ELEM
GRESHAM ROAD,GRESHAM ROAD
BURGESS ELEM (ATL),BURGESS ELEM
METROPOLITAN (ATL),METROPOLITAN
PINEY GROVE,PINEY GROVE
TERRY MILL,TERRY MILL ELEM
02G,02G
02D,02D
02F2,02F2
02J,02J
06G,06G
06B,06B
02E,02E
02F1,02F1
06F,06F
06L1,06L1
RW17,RW17
RW04,RW04
KINGSLEY ELEM (DUN),KINGSLEY ELEM
SS01,SS01
RW20,RW20
RW21A,RW21
RW22A,RW22A
RW07A,RW07A
DORAVILLE NORTH (DOR,DORAVILLE NORTH
OAKCLIFF ELEM,OAKCLIFF ELEM
NORTH PEACHTREE (DUN,NORTH PEACHTREE
PINCKNEYVILLE E,PINCKNEYVILLE E
EMBRY HILLS,EMBRY HILLS
PLEASANTDALE ELEM,PLEASANTDALE ELEM
SS25,SS25
PINCKNEYVILLE P,PINCKNEYVILLE P
PINCKNEYVILLE A1,PINCKNEYVILLE A1
RW21B,RW21
JC19,JC19
JC13A,JC13A
PINCKNEYVILLE C,PINCKNEYVILLE C
PINCKNEYVILLE Z,PINCKNEYVILLE Z
PINCKNEYVILLE L,PINCKNEYVILLE L
JC13B,JC13B
PINCKNEYVILLE M,PINCKNEYVILLE M
PINCKNEYVILLE B,PINCKNEYVILLE B
PINCKNEYVILLE J,PINCKNEYVILLE J
PINCKNEYVILLE V,PINCKNEYVILLE V
PINCKNEYVILLE W,PINCKNEYVILLE W
PINKCNEYVILLE A,PINCKNEYVILLE A
PINCKNEYVILLE S,PINCKNEYVILLE S
EVANSDALE ELEM,EVANSDALE ELEM
MIDVALE ELEM,MIDVALE ELEM
TUCKER LIBRARY,TUCKER LIBRARY
LIVSEY ELEM,LIVSEY ELEM
DORAVILLE SOUTH (DOR,DORAVILLE SOUTH
JC18A,JC18A
JC18B,JC18B
JC17,JC17
AP01C,AP01C
JC16,JC16
AP01A,AP01A
AP13,AP13
AP12A,AP12A
JC14,JC14
AP14,AP14
JC15,JC15
JC10,JC10
ASHFORD DUNWOODY RD,ASHFORD DUNWOODY RD
ASHFORD PARKSIDE (BH,ASHFORD PARKSIDE
MONTGOMERY  (BHAVN),MONTGOMERY ELEM
KITTREDGE ELEM (BHAV,KITTREDGE ELEM
GEORGETOWN SQ (DUN),GEORGETOWN SQUARE
DUNWOODY (DUN),DUNWOODY
MOUNT VERNON WEST (D,MT. VERNON WEST
07F,07F
07D,07D
07N,07N
07M,07M
07E,07E
07A,07A
07C,07C
07B,07B
MILLER GROVE HIGH,MILLER GROVE MIDDLE
ROCK CHAPEL ROAD,ROCK CHAPEL ROAD
ROCK CHAPEL ELEM,ROCK CHAPEL ELEM
ROCKBRIDGE ROAD,ROCKBRIDGE ROAD
ROCKBRIDGE G,ROCKBRIDGE G
CATES B,CATES B
CATES K,CATES K
MARTINS K,MARTINS K
MARTINS H,MARTINS H
CATES I,CATES I
CATES M,CATES M
