,Unnamed: 0,Unnamed: 0.1,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct,county,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
1,1.0,1.0,906458.0,1.42,489.0,063RD02,063RD02,RD02,RIVERDALE 2,31.0,CLAYTON,63.0,black,48828.0,RIVERDALE 2,CLAYTON,11.0,RIVERDALE 2,19.0,51.0,0.372549019608,0.21568627451,both
2,2.0,2.0,906514.0,1.25,460.0,063JB12,063JB12,JB12,JONESBORO 12,31.0,CLAYTON,63.0,black,52807.0,JONESBORO 12,CLAYTON,11.0,JONESBORO 12,22.0,49.0,0.448979591837,0.224489795918,both
3,3.0,3.0,906550.0,1.38,499.0,063RD12,063RD12,RD12,RIVERDALE 12,31.0,CLAYTON,63.0,black,56430.0,RIVERDALE 12,CLAYTON,11.0,RIVERDALE 12,24.0,58.0,0.413793103448,0.189655172414,both
4,4.0,4.0,865539.0,2.71,1527.0,121SC212,121SC212,SC212,SC212,60.0,FULTON,121.0,black,49669.0,SC212,FULTON,6.0,SC212,22.0,48.0,0.458333333333,0.125,both
5,5.0,5.0,865657.0,1.93,1424.0,121FA01B,121FA01B,FA01B,FA01B,60.0,FULTON,121.0,black,49669.0,FA01B,FULTON,3.0,FA01B,0.0,12.0,0.0,0.25,both
6,6.0,6.0,856612.0,15.12,1423.0,121FA01A,121FA01A,FA01A,FA01A,60.0,FULTON,121.0,black,60801.0,FA01A,FULTON,89.0,FA01A,143.0,369.0,0.387533875339,0.241192411924,both
7,7.0,7.0,4914136.0,2.82,1659.0,1352,1352,2,ROCKBRIDGE A,67.0,GWINNETT,135.0,black,66640.0,ROCKBRIDGE A,GWINNETT,99.0,ROCKBRIDGE A,114.0,342.0,0.333333333333,0.289473684211,both
8,8.0,8.0,4914201.0,3.08,1732.0,13575,13575,75,ROCKBRIDGE C,67.0,GWINNETT,135.0,black,68494.0,ROCKBRIDGE C,GWINNETT,99.0,ROCKBRIDGE C,153.0,431.0,0.354988399072,0.22969837587,both
9,9.0,9.0,848913.0,11.04,1469.0,121PA01,121PA01,PA01,PA01,60.0,FULTON,121.0,white,45172.0,PA01,FULTON,51.0,PA01,90.0,224.0,0.401785714286,0.227678571429,both
11,11.0,11.0,1060127.0,1.93,465.0,063JB17,063JB17,JB17,JONESBORO 17,31.0,CLAYTON,63.0,black,43596.0,JONESBORO 17,CLAYTON,25.0,JONESBORO 17,30.0,79.0,0.379746835443,0.316455696203,both
12,12.0,12.0,1060189.0,1.49,450.0,063JB02,063JB02,JB02,JONESBORO 2,31.0,CLAYTON,63.0,black,49034.0,JONESBORO 2,CLAYTON,11.0,JONESBORO 2,12.0,43.0,0.279069767442,0.255813953488,both
13,13.0,13.0,1060238.0,1.33,496.0,063RD09,063RD09,RD09,RIVERDALE 9,31.0,CLAYTON,63.0,black,50495.0,RIVERDALE 9,CLAYTON,15.0,RIVERDALE 9,31.0,70.0,0.442857142857,0.214285714286,both
14,14.0,14.0,1060297.0,0.98,464.0,063JB16,063JB16,JB16,JONESBORO 16,31.0,CLAYTON,63.0,black,40743.0,JONESBORO 16,CLAYTON,11.0,JONESBORO 16,34.0,62.0,0.548387096774,0.177419354839,both
15,15.0,15.0,1060357.0,1.12,492.0,063RD05,063RD05,RD05,RIVERDALE 5,31.0,CLAYTON,63.0,black,50020.0,RIVERDALE 5,CLAYTON,15.0,RIVERDALE 5,31.0,74.0,0.418918918919,0.202702702703,both
16,16.0,16.0,1060412.0,4.09,451.0,063JB03,063JB03,JB03,JONESBORO 3,31.0,CLAYTON,63.0,black,56598.0,JONESBORO 3,CLAYTON,56.0,JONESBORO 3,107.0,234.0,0.457264957265,0.239316239316,both
17,17.0,17.0,1060513.0,1.51,458.0,063JB10,063JB10,JB10,JONESBORO 10,31.0,CLAYTON,63.0,black,44499.0,JONESBORO 10,CLAYTON,18.0,JONESBORO 10,34.0,83.0,0.409638554217,0.21686746988,both
18,18.0,18.0,1060578.0,1.26,457.0,063JB09,063JB09,JB09,JONESBORO 9,31.0,CLAYTON,63.0,black,35822.0,JONESBORO 9,CLAYTON,25.0,JONESBORO 9,25.0,64.0,0.390625,0.390625,both
19,19.0,19.0,4876383.0,2.44,847.0,089FG,089FG,FG,FLAT ROCK ELEM,44.0,DEKALB,89.0,black,64793.0,FLAT ROCK ELEM,DEKALB,12.0,FLAT ROCK ELEM,14.0,46.0,0.304347826087,0.260869565217,both
20,20.0,20.0,4876418.0,8.53,812.0,089CF,089CF,CF,CANDLER-MURPHEY CAND,44.0,DEKALB,89.0,black,64793.0,CANDLER-MURPHEY CAND,DEKALB,27.0,CANDLER-MURPHEY CAND,47.0,110.0,0.427272727273,0.245454545455,both
21,21.0,21.0,4865051.0,1.23,1435.0,121JC08,121JC08,JC08,JC08,60.0,FULTON,121.0,white,126335.0,JC08,FULTON,133.0,JC08,175.0,658.0,0.265957446809,0.202127659574,both
22,22.0,22.0,4865113.0,0.72,1432.0,121JC05,121JC05,JC05,JC05,60.0,FULTON,121.0,,98246.0,JC05,FULTON,64.0,JC05,143.0,420.0,0.340476190476,0.152380952381,both
23,23.0,23.0,4865156.0,0.13,1431.0,121JC04B,121JC04B,JC04B,JC04B,60.0,FULTON,121.0,white,113558.0,JC04B,FULTON,7.0,JC04B,9.0,42.0,0.214285714286,0.166666666667,both
24,24.0,24.0,4865181.0,0.16,1428.0,121JC03A,121JC03A,JC03A,JC03A,60.0,FULTON,121.0,,98246.0,JC03A,FULTON,20.0,JC03A,41.0,133.0,0.308270676692,0.15037593985,both
25,25.0,25.0,4865211.0,1.44,1430.0,121JC04A,121JC04A,JC04A,JC04A,60.0,FULTON,121.0,white,163061.0,JC04A,FULTON,148.0,JC04A,206.0,846.0,0.243498817967,0.174940898345,both
26,26.0,26.0,4865253.0,0.56,1429.0,121JC03B,121JC03B,JC03B,JC03B,60.0,FULTON,121.0,,98246.0,JC03B,FULTON,49.0,JC03B,66.0,275.0,0.24,0.178181818182,both
27,27.0,27.0,4865282.0,1.73,1433.0,121JC06,121JC06,JC06,JC06,60.0,FULTON,121.0,white,126336.0,JC06,FULTON,95.0,JC06,200.0,614.0,0.325732899023,0.154723127036,both
28,28.0,28.0,4865324.0,2.33,1768.0,135111,135111,111,DULUTH H,67.0,GWINNETT,135.0,,76509.0,DULUTH H,GWINNETT,105.0,DULUTH H,183.0,520.0,0.351923076923,0.201923076923,both
29,29.0,29.0,4865372.0,2.66,1427.0,121JC02,121JC02,JC02,JC02,60.0,FULTON,121.0,,119965.0,JC02,FULTON,79.0,JC02,104.0,362.0,0.28729281768,0.218232044199,both
