county,dem_votes,precinct,rep_votes,total
CALHOUN,1298,Calhoun,883,2181
CALHOUN,6377,Camden,11343,17720
CALHOUN,1157,Candler,2344,3501
CALHOUN,12688,Carroll,28280,40968
CALHOUN,5365,Catoosa,17858,23223
CALHOUN,1197,Charlton,2527,3724
CALHOUN,60246,Chatham,47204,107450
CALHOUN,729,Chattahoochee,735,1464
CALHOUN,2232,Chattooga,5452,7684
CALHOUN,19841,Cherokee,76514,96355
CALHOUN,25431,Clarke,13815,39246
CALHOUN,862,Clay,537,1399
CALHOUN,81479,Clayton,14164,95643
CALHOUN,852,Clinch,1598,2450
CALHOUN,133124,Cobb,171722,304846
CALHOUN,5057,Coffee,9248,14305
CALHOUN,3973,Colquitt,9243,13216
CALHOUN,16451,Columbia,41765,58216
CALHOUN,2042,Cook,3935,5977
CALHOUN,15168,Coweta,39653,54821
CALHOUN,1706,Crawford,3368,5074
CALHOUN,3167,Crisp,4182,7349
CALHOUN,1411,Dade,4471,5882
CALHOUN,1241,Dawson,8847,10088
CALHOUN,4591,Decatur,5824,10415
CALHOUN,238224,DeKalb,64392,302616
CALHOUN,2442,Dodge,5214,7656
CALHOUN,2285,Dooly,1985,4270
CALHOUN,26295,Dougherty,11449,37744
CALHOUN,28441,Douglas,26241,54682
CALHOUN,2765,Early,2557,5322
CALHOUN,173,Echols,917,1090
CALHOUN,4947,Effingham,15596,20543
CALHOUN,3181,Elbert,4859,8040
CALHOUN,2927,Emanuel,5100,8027
CALHOUN,1268,Evans,2268,3536
CALHOUN,2028,Fannin,7857,9885
CALHOUN,19736,Fayette,38075,57811
CALHOUN,9640,Floyd,22733,32373
CALHOUN,14571,Forsyth,65908,80479
CALHOUN,1499,Franklin,6114,7613
CALHOUN,255470,Fulton,137124,392594
CALHOUN,1958,Gilmer,8926,10884
CALHOUN,176,Glascock,1135,1311
CALHOUN,11950,Glynn,20893,32843
CALHOUN,3440,Gordon,13197,16637
CALHOUN,3419,Grady,5924,9343
CALHOUN,3201,Greene,5071,8272
CALHOUN,132509,Gwinnett,159855,292364
CALHOUN,2301,Habersham,12166,14467
CALHOUN,12999,Hall,47481,60480
CALHOUN,3308,Hancock,769,4077
CALHOUN,1789,Haralson,8446,10235
CALHOUN,4145,Harris,11197,15342
CALHOUN,2870,Hart,6517,9387
CALHOUN,948,Heard,3160,4108
CALHOUN,43761,Henry,46774,90535
CALHOUN,22702,Houston,34662,57364
CALHOUN,1141,Irwin,2538,3679
CALHOUN,4238,Jackson,19135,23373
CALHOUN,1845,Jasper,4136,5981
CALHOUN,1275,Jeff Davis,3996,5271
CALHOUN,4261,Jefferson,2999,7260
CALHOUN,1488,Jenkins,1887,3375
CALHOUN,1305,Johnson,2440,3745
CALHOUN,4274,Jones,7744,12018
CALHOUN,2602,Lamar,4899,7501
CALHOUN,1114,Lanier,1820,2934
CALHOUN,7513,Laurens,11950,19463
CALHOUN,3196,Lee,10314,13510
CALHOUN,10457,Liberty,5565,16022
CALHOUN,1586,Lincoln,2807,4393
CALHOUN,1442,Long,2306,3748
CALHOUN,17470,Lowndes,21327,38797
CALHOUN,2055,Lumpkin,8647,10702
CALHOUN,3211,Macon,1545,4756
CALHOUN,2494,Madison,8443,10937
CALHOUN,1412,Marion,1733,3145
CALHOUN,4044,McDuffie,5475,9519
CALHOUN,2864,McIntosh,3409,6273
CALHOUN,4331,Meriwether,4856,9187
CALHOUN,852,Miller,1905,2757
CALHOUN,4081,Mitchell,4155,8236
CALHOUN,3785,Monroe,8361,12146
CALHOUN,1135,Montgomery,2662,3797
CALHOUN,2753,Morgan,6186,8939
CALHOUN,2542,Murray,8443,10985
CALHOUN,42573,Muscogee,27510,70083
CALHOUN,21851,Newton,20982,42833
CALHOUN,4421,Oconee,13098,17519
CALHOUN,1914,Oglethorpe,4251,6165
CALHOUN,15825,Paulding,40846,56671
CALHOUN,6148,Peach,5287,11435
CALHOUN,1975,Pickens,10547,12522
CALHOUN,1124,Pierce,5667,6791
CALHOUN,1356,Pike,6668,8024
CALHOUN,3615,Polk,9811,13426
CALHOUN,1219,Pulaski,2444,3663
CALHOUN,2926,Putnam,6215,9141
CALHOUN,612,Quitman,510,1122
CALHOUN,1559,Rabun,5754,7313
CALHOUN,1770,Randolph,1271,3041
CALHOUN,52560,Richmond,25845,78405
CALHOUN,22023,Rockdale,15716,37739
CALHOUN,448,Schley,1286,1734
CALHOUN,2774,Screven,3287,6061
CALHOUN,1478,Seminole,2245,3723
CALHOUN,9898,Spalding,14911,24809
CALHOUN,2131,Stephens,7221,9352
CALHOUN,1323,Stewart,745,2068
CALHOUN,6375,Sumter,5378,11753
CALHOUN,2265,Talbot,1202,3467
CALHOUN,636,Taliaferro,323,959
CALHOUN,1897,Tattnall,4706,6603
CALHOUN,1572,Taylor,1948,3520
CALHOUN,1805,Telfair,2480,4285
CALHOUN,2544,Terrell,1834,4378
CALHOUN,7653,Thomas,11156,18809
CALHOUN,4660,Tift,9185,13845
CALHOUN,2746,Toombs,6524,9270
CALHOUN,1273,Towns,4876,6149
CALHOUN,1074,Treutlen,1652,2726
CALHOUN,10547,Troup,15179,25726
CALHOUN,1510,Turner,2028,3538
CALHOUN,2270,Twiggs,1907,4177
CALHOUN,2139,Union,8773,10912
CALHOUN,3959,Upson,7230,11189
CALHOUN,5274,Walker,16247,21521
CALHOUN,8148,Walton,29036,37184
CALHOUN,3900,Ware,7941,11841
CALHOUN,1529,Warren,990,2519
CALHOUN,4714,Washington,4035,8749
CALHOUN,2596,Wayne,7557,10153
CALHOUN,582,Webster,601,1183
CALHOUN,772,Wheeler,1366,2138
CALHOUN,1671,White,8651,10322
CALHOUN,7210,Whitfield,19305,26515
CALHOUN,1060,Wilcox,2053,3113
CALHOUN,2087,Wilkes,2635,4722
CALHOUN,2181,Wilkinson,2246,4427
CALHOUN,2487,Worth,5869,8356
CAMDEN,216,Tarboro,381,597
CAMDEN,317,Waverly,521,838
CAMDEN,599,Woodbine,662,1261
CAMDEN,85,Browntown,327,412
CAMDEN,268,Harrietts Bluff,895,1163
CAMDEN,388,West Kingsland,1009,1397
CAMDEN,744,North Kingsland,558,1302
CAMDEN,421,Kingsland,677,1098
CAMDEN,968,East Kingsland,1829,2797
CAMDEN,369,North St Marys,378,747
CAMDEN,610,Mary Lee Clark,950,1560
CAMDEN,483,South St Marys,726,1209
CAMDEN,452,Mush Bluff,914,1366
CAMDEN,457,West Saint Marys,1516,1973
CANDLER,689,METTER 1685,1230,1919
CANDLER,468,CANDLER-1736,1114,1582
CARROLL,64,KANSAS (1006),530,594
CARROLL,444,BOWDON (1111),1142,1586
CARROLL,571,SANDHILL (1122),1575,2146
CARROLL,118,CENTER POINT (1152),852,970
CARROLL,116,LOWELL (1163),692,808
CARROLL,173,MT ZION (1240),748,921
CARROLL,151,BURWELL (1371),617,768
CARROLL,437,CLEM (1483),1594,2031
CARROLL,203,BOWDON JUNCTION (1496),468,671
CARROLL,163,TYUS (1533),857,1020
CARROLL,588,FAIRFIELD (1540),1612,2200
CARROLL,206,HULETT (1542),1013,1219
CARROLL,884,BETHANY (501),1273,2157
CARROLL,299,V R COUNTY SOUTH (640),1184,1483
CARROLL,742,V R COUNTY NORTH (641),1773,2515
CARROLL,1319,VILLA RICA CITY (642),1498,2817
CARROLL,403,TEMPLE COUNTY (649),1520,1923
CARROLL,506,TEMPLE CITY (650),1059,1565
CARROLL,190,WHITESBURG (682),889,1079
CARROLL,150,ROOPVILLE (713),729,879
CARROLL,1262,WEST CARROLLTON (714A1),310,1572
CARROLL,335,EAST CARROLLTON REC (714A2),531,866
CARROLL,705,BONNER (714A3),1170,1875
CARROLL,894,UNIVERSITY OF W. GA (714A4),763,1657
CARROLL,513,COUNTY ADMIN BLDG (714A5),725,1238
CARROLL,271,TABERNACLE CHURCH (714A6),523,794
