county,dem_votes,precinct,rep_votes,total
CATOOSA,143,BLACKSTOCK,854,997
CATOOSA,660,BOYNTON,2880,3540
CATOOSA,214,CATOOSA KEITH,1245,1459
CATOOSA,258,CHAMBERS,1362,1620
CATOOSA,486,FORT OGLETHORPE,1764,2250
CATOOSA,442,GRAYSVILLE,1949,2391
CATOOSA,372,LAKEVIEW,1421,1793
CATOOSA,384,POPLAR SPRINGS,2120,2504
CATOOSA,883,RINGGOLD,3412,4295
CATOOSA,657,WESTSIDE,2334,2991
CATOOSA,270,WOODSTATION,1519,1789
CHARLTON,780,Folkston,644,1424
CHARLTON,17,GA Bend,272,289
CHARLTON,32,St. George,392,424
CHARLTON,42,American Legion,450,492
CHARLTON,59,Homeland,423,482
CHARLTON,48,Folkston Fire,411,459
CHARLTON,12,Racepond,167,179
CHARLTON,14,Winokur,191,205
CHATHAM,1235,1-01 First Presbyterian Church,908,2143
CHATHAM,734,1-05 JEA Building,559,1293
CHATHAM,562,1-06 Central Chur of Christ,793,1355
CHATHAM,437,1-08 Grace United Meth Chur,599,1036
CHATHAM,214,1-09 Immanuel Bapt Church,156,370
CHATHAM,199,1-10 Saint Thomas Episcopal Church,568,767
CHATHAM,417,1-12 Isle of Hope Baptist,978,1395
CHATHAM,293,1-13 The Sanctuary,476,769
CHATHAM,388,1-14 St Luke Church,733,1121
CHATHAM,447,1-16 Ferguson Ave Baptist,1326,1773
CHATHAM,605,1-17 Islands Christian Church,1444,2049
CHATHAM,629,2-02 Blackshear Comm Ctr,146,775
CHATHAM,674,2-03 W. W. Law Center,108,782
CHATHAM,1532,2-04 Fellowship of Love,64,1596
CHATHAM,952,2-05 Holy Spirit Lutheran,108,1060
CHATHAM,239,2-06 Eli Whitney,37,276
CHATHAM,1275,2-07 Christ Comm. Church,196,1471
CHATHAM,1553,2-09 The Salvation Army,202,1755
CHATHAM,768,2-11 S Gardens Christian,153,921
CHATHAM,655,2-12 Williams Court Apts,96,751
CHATHAM,168,3-01 Old Courthouse,123,291
CHATHAM,610,3-02 Rose of Sharon,361,971
CHATHAM,472,3-03 Savannah High School,58,530
CHATHAM,772,3-04 First African Baptist,44,816
CHATHAM,733,3-05 Aldersgate Youth Cent,257,990
CHATHAM,461,3-08 Jenkins High School,217,678
CHATHAM,171,3-09 Cokesbury Methodist,273,444
CHATHAM,1225,3-10 Bible Baptist Church,200,1425
CHATHAM,607,3-11 Southside Bapt Church,152,759
CHATHAM,552,3-12 Thunderbolt Muni. Complex,447,999
CHATHAM,1289,3-13 New Cov 7 Day Adv Ch,455,1744
CHATHAM,1062,3-14 Riverview Health Reh,276,1338
CHATHAM,253,3-15 Eli Whitney Complex,264,517
CHATHAM,484,4-02 Frank Murray Comm Ct,868,1352
CHATHAM,423,4-04 Lighthouse Baptist Ch,1076,1499
CHATHAM,437,4-05 St Francis Episcopal,1051,1488
CHATHAM,383,4-06 First Baptist Church,1019,1402
CHATHAM,629,4-07 Wilm Is Un Meth Ch,1394,2023
CHATHAM,472,4-08 Wilmington Island Pr,1325,1797
CHATHAM,359,4-10 Guard House Comm Ctr,653,1012
CHATHAM,446,4-11 Tybee Island School Cafe,690,1136
CHATHAM,519,4-12 St Peters Episcopal,1213,1732
CHATHAM,524,4-13 Skid Is Pres Church,1300,1824
CHATHAM,404,4-14 Skidaway Island Methodist Church,868,1272
CHATHAM,435,4-15 Skidaway Island State Park,942,1377
CHATHAM,396,5-01 Bartlett Middle Sch,133,529
CHATHAM,354,5-02 Senior Citizens Cent,34,388
CHATHAM,517,5-03 Butler Presbyterian,11,528
CHATHAM,1444,5-05 Liberty City Comm Ctr,22,1466
CHATHAM,1004,5-06 Wildwood United Meth,163,1167
CHATHAM,685,5-07 Elks Lodge,215,900
CHATHAM,661,5-08 Savannah Primitive,303,964
CHATHAM,1742,5-10 Jonesville Bapt Church,65,1807
CHATHAM,1101,5-11 Largo-Tibet Elem,347,1448
CHATHAM,585,6-01 White Bluff Pres Chr,373,958
CHATHAM,666,6-02 Windsor Forest Baptist,914,1580
CHATHAM,870,6-03 Crusader Comm Ctr,645,1515
CHATHAM,608,6-05 Windsor Golden Age,387,995
CHATHAM,360,6-06 The Light,398,758
CHATHAM,808,6-08 Savannah Commons,317,1125
CHATHAM,1187,6-09 Trinity Lutheran Ch,935,2122
CHATHAM,1187,6-10 Georgetown Elem,1190,2377
CHATHAM,1341,6-11 Bamboo Farms,776,2117
CHATHAM,317,7-01 Garden City Senior Ctr,460,777
CHATHAM,208,7-03 P B Edwards Gym,514,722
CHATHAM,1439,7-04 Lake Shore Comm Ctr,700,2139
CHATHAM,328,7-05 Woodlawn Bapt Ch,273,601
CHATHAM,661,7-06 Pooler City Hall,894,1555
CHATHAM,1262,7-07 Rothwell Bapt Ch,2019,3281
CHATHAM,220,7-08 Bloomingdale Com Ctr,1102,1322
CHATHAM,614,7-09 Southwest Baptist Ch,625,1239
CHATHAM,1067,7-10 Progressive Rec Ctr,724,1791
CHATHAM,1068,7-11 Seventh Day Adv Chr,858,1926
CHATHAM,1515,7-12 Pooler Church,1630,3145
CHATHAM,547,7-13 Garden City City Hall,1123,1670
CHATHAM,2338,7-14 Coastal Cathedral,1269,3607
CHATHAM,272,8-01 Civic Center,69,341
CHATHAM,727,8-02 Bull Street Baptist,143,870
CHATHAM,134,8-03 Silk Hope Bapt Ch,275,409
CHATHAM,642,8-05 W Broad St YMCA,17,659
CHATHAM,456,8-06 Tompkins Rec Ctr,8,464
CHATHAM,311,8-07 Woodville-Tompkins,12,323
CHATHAM,840,8-08 Resur Of Our Lord Ch,15,855
CHATHAM,701,8-09 Moses Jackson Ctr,11,712
CHATHAM,989,8-10 Carver Heights Comm Ctr,10,999
CHATHAM,925,8-11 Butler Elem School,6,931
CHATHAM,434,8-12 Beach High School,103,537
CHATHAM,131,8-13 Savannah Christ. Sch,258,389
CHATHAM,693,8-15 Garden City Rec Ctr,65,758
CHATTAHOOCHEE,593,Chattahoochee Acvitity Center,746,1339
CHATTOOGA,58,CLOUDLAND,158,216
CHATTOOGA,48,PENNVILLE,272,320
CHATTOOGA,53,COLDWATER,106,159
CHATTOOGA,16,DIRTSELLER,106,122
CHATTOOGA,15,HAYWOOD,89,104
CHATTOOGA,94,LYERLY,445,539
CHATTOOGA,306,TRION,1588,1894
CHATTOOGA,758,SUMMERVILLE,2097,2855
CHATTOOGA,40,TELOGA,320,360
CHATTOOGA,96,DIRTTOWN,453,549
CHATTOOGA,5,SEMINOLE,77,82
CHATTOOGA,30,SUBLIGNA,295,325
CHATTOOGA,93,ALPINE,451,544
CHEROKEE,491,AIR ACRES,1284,1775
CHEROKEE,617,ARNOLD MILL,2183,2800
CHEROKEE,268,AVERY,1661,1929
CHEROKEE,280,BALL GROUND,1940,2220
CHEROKEE,664,BASCOMB,1898,2562
CHEROKEE,1068,BELLS,1849,2917
CHEROKEE,699,BOOTH,1943,2642
CHEROKEE,557,BRADSHAW,2306,2863
CHEROKEE,707,BRIDGEMILL,2596,3303
CHEROKEE,1003,CANTON,2390,3393
CHEROKEE,750,CARMEL,1384,2134
CHEROKEE,1177,WOODSTOCK,2138,3315
CHEROKEE,317,CLAYTON,1841,2158
CHEROKEE,45,CONNS CREEK,424,469
CHEROKEE,490,DEER RUN,1405,1895
CHEROKEE,962,DIXIE,2143,3105
CHEROKEE,525,FREEHOME,2850,3375
CHEROKEE,816,HICKORY FLAT,2599,3415
CHEROKEE,280,HIGHTOWER,1836,2116
CHEROKEE,498,HILLSIDE,1722,2220
CHEROKEE,292,HOLLY SPRINGS,1224,1516
CHEROKEE,758,KELLOGG,2058,2816
CHEROKEE,1235,LIBERTY,3204,4439
CHEROKEE,1456,LITTLE RIVER,2790,4246
CHEROKEE,520,MACEDONIA,2437,2957
CHEROKEE,432,MOUNTAIN ROAD,1565,1997
CHEROKEE,458,OAK GROVE,1624,2082
CHEROKEE,227,R M MOORE,1708,1935
CHEROKEE,362,R T JONES,888,1250
CHEROKEE,583,ROSECREEK,1922,2505
CHEROKEE,43,SALACOA,376,419
CHEROKEE,428,SIXES,1550,1978
CHEROKEE,204,SUTALLEE,1305,1509
CHEROKEE,939,TEASLEY,3463,4402
CHEROKEE,911,TOONIGH,2911,3822
CHEROKEE,436,UNION HILL,2062,2498
CHEROKEE,502,UNIVETER,2654,3156
CHEROKEE,366,VICTORIA,1438,1804
CHEROKEE,352,WALESKA,1259,1611
CHEROKEE,387,WILDCAT,1530,1917
CHEROKEE,813,WOODLANDS,1411,2224
CHEROKEE,1285,NEESE,2840,4125
CLARKE,931,1A W'ville Train Depot,618,1549
CLARKE,1268,1B Gaines School,704,1972
