,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,race,avg_income,ajc_precinct
148,148,4770852,1.48,1486,121RW16,121RW16,RW16,RW16,60,FULTON,121,white,110849,RW16
149,149,4770890,2.4,1483,121RW12,121RW12,RW12,RW12,60,FULTON,121,white,113046,RW12
150,150,4770952,1.08,836,089DI,089DI,DI,DUNWOODY LIBRARY (DU,44,DEKALB,89,white,159717,DUNWOODY LIBRARY
151,151,4771006,1.23,789,089AD,089AD,AD,AUSTIN,44,DEKALB,89,white,157989,AUSTIN
152,152,4771060,1.09,897,089MQ,089MQ,MQ,MOUNT VERNON EAST (D,44,DEKALB,89,white,146753,MT. VERNON EAST
153,153,4771112,0.4,1561,121SS15B,121SS15B,SS15B,SS15B,60,FULTON,121,,72017,SS15B
154,154,4771146,3.47,1563,121SS17,121SS17,SS17,SS17,60,FULTON,121,white,46878,SS17
155,155,4044457,6.92,482,063OAK1,063OAK1,OAK1,OAK 1,31,CLAYTON,63,black,40769,OAK 1
156,156,4044614,1.09,1405,121CP02,121CP02,CP02,CP02,60,FULTON,121,,79794,CP02
157,157,4044714,0.15,1404,121CP01B,121CP01B,CP01B,CP01B,60,FULTON,121,,79794,CP01B
158,158,4251043,1.39,644,067VG01,067VG01,VG01,VININGS 01,33,COBB,67,white,88765,VININGS 01
159,159,4251121,1.1,1319,12109F,12109F,09F,09F,60,FULTON,121,white,92955,09F
160,160,4251171,0.38,1312,12108N2,12108N2,08N2,08N2,60,FULTON,121,white,221381,08N2
161,161,4251207,0.49,1311,12108N1,12108N1,08N1,08N1,60,FULTON,121,white,221299,08N1
162,162,4251244,1.45,1303,12108F1,12108F1,08F1,08F1,60,FULTON,121,white,226070,08F1
163,163,4251295,3.25,1298,12108A,12108A,08A,08A,60,FULTON,121,white,263565,08A
164,164,4251371,0.94,1301,12108D,12108D,08D,08D,60,FULTON,121,white,255725,08D
165,165,4259115,2.4,520,067CA01,067CA01,CA01,CHATTAHOOCHEE 01,33,COBB,67,,67115,CHATTAHOOCHEE 01
166,166,4259191,1.3,641,067TM01,067TM01,TM01,TERRELL MILL 01,33,COBB,67,,62734,TERRELL MILL 01
167,167,4259309,2.85,637,067SO02,067SO02,SO02,SOPE CREEK 02,33,COBB,67,white,109556,SOPE CREEK 02
168,168,4259387,4.12,1550,121SS09A,121SS09A,SS09A,SS09A,60,FULTON,121,white,66325,SS09A
169,169,4259455,2.49,638,067SO03,067SO03,SO03,SOPE CREEK 03,33,COBB,67,white,166386,SOPE CREEK 03
170,170,4259505,2.56,1562,121SS16,121SS16,SS16,SS16,60,FULTON,121,,58034,SS16
171,171,4848415,2.19,1387,121AP09A,121AP09A,AP09A,AP09A,60,FULTON,121,white,105645,AP09A
172,172,4848474,1.83,1778,135121,135121,121,PINCKNEYVILLE X,67,GWINNETT,135,white,112622,PINCKNEYVILLE X
173,173,4848523,4.79,1697,13540,13540,40,PINCKNEYVILLE H,67,GWINNETT,135,,88833,PINCKNEYVILLE H
174,174,4848626,3.34,1439,121JC12,121JC12,JC12,JC12,60,FULTON,121,white,170409,JC12
175,175,4848690,1.89,1756,13599,13599,99,PINCKNEYVILLE T,67,GWINNETT,135,,63661,PINCKNEYVILLE T
176,176,4763972,0.66,1560,121SS15A,121SS15A,SS15A,SS15A,60,FULTON,121,black,44353,SS15A
177,177,4764015,2.48,621,067RW01,067RW01,RW01,ROSWELL 01,33,COBB,67,white,135308,ROSWELL 01
178,178,4764088,2.53,1471,121RW02,121RW02,RW02,RW02,60,FULTON,121,white,142982,RW02
179,179,4764155,2.2,1480,121RW10,121RW10,RW10,RW10,60,FULTON,121,white,121373,RW10
180,180,4764210,2.27,1485,121RW15,121RW15,RW15,RW15,60,FULTON,121,white,166033,RW15
181,181,4764273,4.01,1470,121RW01,121RW01,RW01,RW01,60,FULTON,121,white,108603,RW01
182,182,4764348,3.03,1472,121RW03,121RW03,RW03,RW03,60,FULTON,121,,71633,RW03
183,183,5034183,1.9,1812,135155,135155,155,SUWANEE G,67,GWINNETT,135,white,120739,SUWANEE G
184,184,5034227,3.29,1797,135140,135140,140,SUWANEE H,67,GWINNETT,135,white,145658,SUWANEE H
185,185,5034287,1.72,1674,13517,13517,17,MARTINS A,67,GWINNETT,135,,59083,MARTINS A
186,186,5034337,3.72,1734,13577,13577,77,GOODWINS C,67,GWINNETT,135,,67035,GOODWINS C
187,187,5034415,2.8,1754,13597,13597,97,GOODWINS E,67,GWINNETT,135,,83664,GOODWINS E
188,188,3958663,2.52,567,067LM02,067LM02,LM02,LOST MOUNTAIN 02,33,COBB,67,white,132393,LOST MOUNTAIN 02
189,189,3958718,2.33,547,067FR01,067FR01,FR01,FORD 01,33,COBB,67,white,140268,FORD 01
190,190,3958775,3.18,532,067DU01,067DU01,DU01,DURHAM 01,33,COBB,67,white,122343,DURHAM 01
191,191,3958825,5.54,563,067KP03,067KP03,KP03,KEMP 03,33,COBB,67,white,123383,KEMP 03
192,192,3958891,2.45,548,067FY01,067FY01,FY01,FREY 01,33,COBB,67,white,121066,FREY 01
193,193,3958944,2.02,569,067LM04,067LM04,LM04,LOST MOUNTAIN 04,33,COBB,67,white,130492,LOST MOUNTAIN 04
194,194,3958991,9.31,593,067MS01,067MS01,MS01,MARS HILL 01,33,COBB,67,white,105760,MARS HILL 01
195,195,3959109,1.48,570,067LW01,067LW01,LW01,LEWIS 01,33,COBB,67,white,99747,LEWIS 01
196,196,5047868,2.27,1788,135131,135131,131,SUWANEE E,67,GWINNETT,135,white,145658,SUWANEE E
197,197,5047916,2.21,1661,1354,1354,4,SUWANEE A,67,GWINNETT,135,white,100037,SUWANEE A
198,198,5047982,2.17,1755,13598,13598,98,GOODWINS F,67,GWINNETT,135,white,86616,GOODWINS F
199,199,5048051,2.76,1799,135142,135142,142,SUWANEE F,67,GWINNETT,135,,108954,SUWANEE F
200,200,5048109,2.84,1757,135100,135100,100,SUWANEE B,67,GWINNETT,135,,108992,SUWANEE B
201,201,5048163,2.38,1687,13530,13530,30,CATES C,67,GWINNETT,135,,70953,CATES C
202,202,5084595,2.13,1727,13570,13570,70,GOODWINS B,67,GWINNETT,135,white,102252,GOODWINS B
203,203,5084641,2.75,1683,13526,13526,26,HOG MOUNTAIN A,67,GWINNETT,135,,82901,HOG MOUNTAIN A
204,204,5084696,2.16,1688,13531,13531,31,HOG MOUNTAIN D,67,GWINNETT,135,white,89986,HOG MOUNTAIN D
205,205,5084745,4.43,1793,135136,135136,136,HOG MOUNTAIN C,67,GWINNETT,135,white,80519,HOG MOUNTAIN C
206,206,5084801,4.87,1724,13567,13567,67,PUCKETTS E,67,GWINNETT,135,white,80968,PUCKETTS E
207,207,5084859,2.41,1728,13571,13571,71,LAWRENCEVILLE F,67,GWINNETT,135,,80776,LAWRENCEVILLE F
208,208,5084911,4.5,1801,135144,135144,144,LAWRENCEVILLE M,67,GWINNETT,135,,70796,LAWRENCEVILLE M
209,209,5084980,5.63,1684,13527,13527,27,HOG MOUNTAIN B,67,GWINNETT,135,white,86588,HOG MOUNTAIN B
210,210,4302647,1.83,546,067FP01,067FP01,FP01,FULLERS PARK 01,33,COBB,67,white,130850,FULLERS PARK 01
211,211,4302716,1.87,626,067SM01,067SM01,SM01,SEWELL MILL 01,33,COBB,67,white,125454,SEWELL MILL 01
212,212,4302796,1.94,577,067MD01,067MD01,MD01,MURDOCK 01,33,COBB,67,white,126857,MURDOCK 01
213,213,4302856,1.99,597,067MT04,067MT04,MT04,MT BETHEL 04,33,COBB,67,white,209538,MOUNT BETHEL 04
214,214,4302911,1.67,534,067EA01,067EA01,EA01,EASTSIDE 01,33,COBB,67,white,122972,EASTSIDE 01
215,215,4302972,1.19,531,067DO01,067DO01,DO01,DODGEN 01,33,COBB,67,white,135135,DODGEN 01
216,216,4303023,1.43,527,067CR01,067CR01,CR01,CHESTNUT RIDGE 01,33,COBB,67,white,126045,CHESTNUT RIDGE 01
217,217,4303089,1.67,622,067RW02,067RW02,RW02,ROSWELL 02,33,COBB,67,white,153556,ROSWELL 02
218,218,4189043,1.96,648,067WG02,067WG02,WG02,WADE GREEN 02,33,COBB,67,white,84696,WADE GREEN 02
219,219,4189087,1.11,513,067BG02,067BG02,BG02,BIG SHANTY 02,33,COBB,67,white,101215,BIG SHANTY 02
220,220,4189152,1.03,618,067PT01,067PT01,PT01,PITNER 01,33,COBB,67,white,111668,PITNER 01
221,221,4189207,3.75,523,067CK01,067CK01,CK01,CHALKER 01,33,COBB,67,white,57427,CHALKER 01
222,222,4189282,1.55,614,067PR01,067PR01,PR01,PALMER 01,33,COBB,67,white,87389,PALMER 01
223,223,4189336,3.58,511,067BF03,067BF03,BF03,BELLS FERRY 03,33,COBB,67,white,77375,BELLS FERRY 03
224,224,4088718,0.37,1237,12103E,12103E,03E,03E,60,FULTON,121,black,19653,03E
225,225,4088790,0.22,1256,12104J,12104J,04J,04J,60,FULTON,121,black,25242,04J
226,226,4088850,0.27,1242,12103L,12103L,03L,03L,60,FULTON,121,black,60667,03L
227,227,4088903,0.71,1243,12103M,12103M,03M,03M,60,FULTON,121,white,57334,03M
228,228,4088960,0.69,1244,12103N,12103N,03N,03N,60,FULTON,121,black,29787,03N
229,229,4089035,0.57,1320,12109G1,12109G1,09G1,09G1,60,FULTON,121,white,67895,09G
230,230,4089071,1.26,1321,12109G2,12109G2,09G2,09G2,60,FULTON,121,white,67895,09G
231,231,4089133,0.44,1322,12109H,12109H,09H,09H,60,FULTON,121,white,67895,09H
232,232,4709230,1.06,1310,12108M,12108M,08M,08M,60,FULTON,121,white,135365,08M
233,233,4709303,0.58,1295,12107J,12107J,07J,07J,60,FULTON,121,white,125829,07J
234,234,4709350,0.45,1294,12107H,12107H,07H,07H,60,FULTON,121,white,129059,07H
235,235,4709398,0.57,1305,12108G,12108G,08G,08G,60,FULTON,121,white,118764,08G
236,236,4709445,2.09,1300,12108C,12108C,08C,08C,60,FULTON,121,white,256389,08C
237,237,4709523,2.0,1299,12108B,12108B,08B,08B,60,FULTON,121,white,245507,08B
238,238,4709617,0.53,1280,12106I,12106I,06I,06I,60,FULTON,121,,69900,06I
