county,dem_votes,precinct,rep_votes,total
DEKALB,2055,REDAN-TROTTI LIBRARY,57,2112
DEKALB,979,REHOBOTH,434,1413
DEKALB,1070,RENFROE MIDDLE,99,1169
DEKALB,1508,ROCK CHAPEL ELEM,72,1580
DEKALB,1989,ROCK CHAPEL ROAD,168,2157
DEKALB,1506,ROCKBRIDGE ELEM,136,1642
DEKALB,2145,ROCKBRIDGE ROAD,97,2242
DEKALB,1556,ROWLAND ELEM,108,1664
DEKALB,1044,ROWLAND ROAD,107,1151
DEKALB,1379,SAGAMORE HILLS ELEM,740,2119
DEKALB,2151,SALEM MIDDLE,68,2219
DEKALB,1305,SCOTT,303,1608
DEKALB,2464,SHADOW ROCK ELEM,116,2580
DEKALB,786,SHAMROCK,297,1083
DEKALB,1700,SHAW-ROBERT SHAW ELEM,247,1947
DEKALB,1560,SILVER LAKE,1332,2892
DEKALB,663,SKYLAND,515,1178
DEKALB,809,SMOKE RISE ELEM,678,1487
DEKALB,1091,SNAPFINGER ELEM,45,1136
DEKALB,1186,SNAPFINGER ROAD NORTH,52,1238
DEKALB,1190,SNAPFINGER ROAD SOUTH,47,1237
DEKALB,1918,SOUTH DESHON,51,1969
DEKALB,1890,SOUTH HAIRSTON,89,1979
DEKALB,1871,STEPHENSON HIGH,117,1988
DEKALB,2026,STEPHENSON MIDDLE,126,2152
DEKALB,1239,STONE MILL ELEM,87,1326
DEKALB,1231,STONE MOUNTAIN CHAMPION,158,1389
DEKALB,1030,STONE MOUNTAIN ELEM,408,1438
DEKALB,636,STONE MOUNTAIN LIBRARY,161,797
DEKALB,1036,STONE MOUNTAIN MIDDLE,87,1123
DEKALB,765,STONEVIEW ELEM,46,811
DEKALB,1403,TERRY MILL ELEM,56,1459
DEKALB,482,TILLY MILL ROAD,587,1069
DEKALB,920,TONEY ELEM,30,950
DEKALB,1134,TUCKER,871,2005
DEKALB,1119,TUCKER LIBRARY,543,1662
DEKALB,469,VALLEY BROOK,149,618
DEKALB,486,WADSWORTH ELEM - 05,2,488
DEKALB,1054,WADSWORTH ELEM - 04,36,1090
DEKALB,523,WARREN TECH,258,781
DEKALB,1881,WESLEY CHAPEL LIBRARY,51,1932
DEKALB,1327,WHITE OAK,43,1370
DEKALB,2006,WHITEFOORD ELEM,170,2176
DEKALB,1303,WINNONA PARK ELEM,135,1438
DEKALB,509,WINTERS CHAPEL,486,995
DEKALB,1799,WOODRIDGE ELEM,123,1922
DEKALB,3149,WOODROW ROAD,145,3294
DEKALB,974,WOODWARD ELEM,397,1371
DEKALB,2075,WYNBROOKE ELEM,128,2203
DEKALB,1143,YOUNG ROAD,35,1178
FULTON,1877,01A,172,2049
FULTON,2288,01B,242,2530
FULTON,576,01C,19,595
FULTON,265,01D,22,287
FULTON,2903,01E,283,3186
FULTON,436,01F,16,452
FULTON,375,01H,20,395
FULTON,1151,01J,40,1191
FULTON,573,01P,17,590
FULTON,553,01R,7,560
FULTON,793,01S,25,818
FULTON,692,01T,49,741
FULTON,1802,02A,453,2255
FULTON,1041,02B,178,1219
FULTON,1111,02C,89,1200
FULTON,2167,02D,239,2406
FULTON,1209,02E,152,1361
FULTON,1697,02F1,216,1913
FULTON,419,02F2,47,466
FULTON,1958,02G,247,2205
FULTON,1680,02J,203,1883
FULTON,819,02K,120,939
FULTON,2936,02L1,549,3485
FULTON,573,02L2,130,703
FULTON,390,02S,30,420
FULTON,219,02W,51,270
FULTON,757,03A,21,778
FULTON,201,03B,2,203
FULTON,733,03C,14,747
FULTON,389,03D,10,399
FULTON,878,03E,39,917
FULTON,932,03F,174,1106
FULTON,297,03G,6,303
FULTON,384,03H,9,393
FULTON,643,03I,120,763
FULTON,203,03L,10,213
FULTON,334,03M,87,421
FULTON,862,03N,35,897
FULTON,1577,03P1A,243,1820
FULTON,18,03P2,0,18
FULTON,334,03S,7,341
FULTON,707,03T,32,739
FULTON,491,04A,11,502
FULTON,923,04B,23,946
FULTON,64,04C,0,64
FULTON,710,04D,17,727
FULTON,845,04F,77,922
FULTON,304,04G,8,312
FULTON,490,04I,52,542
FULTON,398,04J,4,402
FULTON,1126,04K,34,1160
FULTON,721,04L,27,748
FULTON,318,04M,8,326
FULTON,1111,04S,23,1134
FULTON,540,04T,9,549
FULTON,1185,04V,20,1205
FULTON,648,04W,8,656
FULTON,911,04X1,28,939
FULTON,314,04X2,8,322
FULTON,1461,05A1,146,1607
FULTON,1499,05A2,119,1618
FULTON,841,05B,54,895
FULTON,61,05C,3,64
FULTON,98,05D,6,104
FULTON,71,05F,7,78
FULTON,345,05J,47,392
FULTON,1236,05K,84,1320
FULTON,1009,06B,197,1206
FULTON,4536,06D,1148,5684
FULTON,1206,06E,252,1458
FULTON,1451,06F,280,1731
FULTON,307,06G,53,360
FULTON,1440,06I,233,1673
FULTON,1481,06J,303,1784
FULTON,494,06L1,144,638
FULTON,336,06L2,132,468
FULTON,792,06N,340,1132
FULTON,243,06Q,35,278
FULTON,883,06R,210,1093
FULTON,2115,07A,1746,3861
FULTON,892,07B,1144,2036
FULTON,1295,07C,1149,2444
FULTON,1281,07D,988,2269
FULTON,896,07E,430,1326
FULTON,1092,07F,787,1879
FULTON,768,07H,588,1356
FULTON,1117,07J,606,1723
FULTON,774,07M,438,1212
FULTON,792,07N,188,980
FULTON,923,08A,939,1862
FULTON,979,08B,1217,2196
FULTON,326,08C,602,928
FULTON,280,08D,436,716
FULTON,835,08E,964,1799
FULTON,611,08F1,875,1486
FULTON,923,08G,671,1594
FULTON,845,08H,828,1673
FULTON,1045,08J,852,1897
FULTON,394,08K,258,652
FULTON,1670,08L,747,2417
FULTON,553,08M,691,1244
FULTON,226,08N1,313,539
FULTON,496,08N2,397,893
FULTON,632,08P,168,800
FULTON,1491,09A,464,1955
FULTON,196,09B,6,202
FULTON,1547,09C,33,1580
FULTON,909,09D,19,928
FULTON,1221,09E,49,1270
FULTON,1487,09F,967,2454
FULTON,1471,09G,398,1869
FULTON,465,09H,83,548
FULTON,516,09I,10,526
FULTON,1916,09K,59,1975
FULTON,992,09M,288,1280
FULTON,1709,10A,29,1738
FULTON,2492,10B,56,2548
FULTON,1249,10C,15,1264
FULTON,2035,10D,52,2087
FULTON,543,10E,8,551
FULTON,597,10F,18,615
FULTON,818,10G,21,839
FULTON,214,10H1,3,217
FULTON,1091,10H2,31,1122
FULTON,240,10I,10,250
FULTON,428,10J,11,439
FULTON,841,10K,32,873
FULTON,1216,10M,31,1247
FULTON,712,10P,17,729
FULTON,365,10R,8,373
FULTON,3022,11B,64,3086
FULTON,1873,11C,33,1906
FULTON,610,11E1,16,626
FULTON,495,11E2,6,501
FULTON,1707,11E3,37,1744
FULTON,968,11G,19,987
FULTON,346,11H,12,358
FULTON,986,11J,28,1014
FULTON,1077,11K,27,1104
FULTON,1567,11M,29,1596
FULTON,1374,11N,30,1404
FULTON,1010,11P,18,1028
FULTON,765,11R,16,781
FULTON,2373,12A,109,2482
FULTON,565,12D,11,576
FULTON,561,12E1,26,587
FULTON,436,12F,10,446
FULTON,423,12G,27,450
FULTON,1654,12H,45,1699
FULTON,421,12I,7,428
FULTON,1200,12J,26,1226
FULTON,1280,12K,63,1343
FULTON,251,12L,5,256
FULTON,1243,12M,29,1272
FULTON,359,12N,8,367
FULTON,904,12S,19,923
FULTON,578,AP01A,730,1308
FULTON,246,AP01B,203,449
FULTON,654,AP01C,830,1484
FULTON,292,AP01D,221,513
FULTON,109,AP02B,122,231
FULTON,297,AP03,94,391
FULTON,435,AP04A,727,1162
FULTON,137,AP04B,165,302
FULTON,1268,AP05,1788,3056
FULTON,484,AP06,733,1217
FULTON,960,AP07A,1088,2048
FULTON,459,AP07B,602,1061
FULTON,1317,AP09A,1363,2680
FULTON,299,AP09B,223,522
FULTON,874,AP021,1004,1878
FULTON,705,AP022,676,1381
FULTON,247,AP10,420,667
FULTON,257,AP12A,141,398
FULTON,255,AP12B,118,373
FULTON,352,AP12C,472,824
FULTON,837,AP13,913,1750
FULTON,932,AP14,1074,2006
FULTON,106,CH01,44,150
FULTON,133,CH02,181,314
FULTON,75,CH03,160,235
FULTON,185,CH04A,204,389
FULTON,49,CH05,211,260
FULTON,156,CP01B,72,228
FULTON,525,CP011,126,651
FULTON,585,CP012,163,748
FULTON,442,CP02,73,515
FULTON,22,CP04,2,24
FULTON,57,CP05B,1,58
FULTON,871,CP051,39,910
FULTON,210,CP06A,12,222
FULTON,432,CP07A,10,442
FULTON,132,CP081,4,136
FULTON,81,CP083,1,82
FULTON,200,CP08A,4,204
FULTON,2562,EP01,266,2828
FULTON,2620,EP02,274,2894
FULTON,3302,EP03,173,3475
FULTON,2540,EP04-05,84,2624
FULTON,1021,EP04-13,17,1038
FULTON,4169,FA01A,596,4765
FULTON,355,FA01B,20,375
FULTON,1196,HP01,492,1688
FULTON,1857,JC01,1316,3173
FULTON,720,JC02,694,1414
FULTON,195,JC03A,198,393
FULTON,547,JC03B,373,920
FULTON,1403,JC04A,1379,2782
FULTON,91,JC04B,74,165
FULTON,735,JC05,649,1384
FULTON,709,JC06,1023,1732
FULTON,1387,JC07,1205,2592
FULTON,864,JC08,952,1816
FULTON,1054,JC09,802,1856
FULTON,796,JC10,616,1412
FULTON,895,JC11,1223,2118
FULTON,577,JC12,1174,1751
FULTON,448,JC13A,1008,1456
FULTON,37,JC13B,153,190
FULTON,705,JC14,1000,1705
FULTON,294,JC15,201,495
FULTON,796,JC16,905,1701
FULTON,790,JC18,1096,1886
FULTON,1232,JC19,1228,2460
FULTON,625,ML011,981,1606
FULTON,103,ML012,232,335
FULTON,19,ML01B,37,56
FULTON,300,ML021,938,1238
FULTON,35,ML022,104,139
FULTON,264,ML023,715,979
FULTON,16,ML024,57,73
FULTON,743,ML03,1790,2533
FULTON,431,ML04A,735,1166
FULTON,248,ML04B,564,812
FULTON,18,ML04C,52,70
FULTON,17,ML05A,13,30
FULTON,83,ML05B,185,268
