,PRECINCT_N,ajc_precinct,BEN CARSON,BERNIE SANDERS,CARLY FIORINA,CHRIS CHRISTIE,GEORGE PATAKI,HILLARY CLINTON,JEB BUSH,JOHN R. KASICH,LINDSEY GRAHAM,MARCO RUBIO,MARTIN O'MALLEY,MICHAEL STEINBERG,MIKE HUCKABEE,RAND PAUL,RICK SANTORUM,dem_votes,precinct,rep_votes,total,rep_p,dem_p,_merge
162,08F1,08F1,,,,,,,,,,,,,,,,,,,,,,left_only
163,08A,08A,,,,,,,,,,,,,,,,,,,,,,left_only
164,08D,08D,,,,,,,,,,,,,,,,,,,,,,left_only
165,CHATTAHOOCHEE 01,CHATTAHOOCHEE 01,,,,,,,,,,,,,,,,,,,,,,left_only
166,TERRELL MILL 01,TERRELL MILL 01,,,,,,,,,,,,,,,,,,,,,,left_only
167,SOPE CREEK 02,SOPE CREEK 02,,,,,,,,,,,,,,,,,,,,,,left_only
168,SS09A,SS09A,,,,,,,,,,,,,,,,,,,,,,left_only
169,SOPE CREEK 03,SOPE CREEK 03,,,,,,,,,,,,,,,,,,,,,,left_only
170,SS16,SS16,,,,,,,,,,,,,,,,,,,,,,left_only
171,AP09A,AP09A,,,,,,,,,,,,,,,,,,,,,,left_only
174,JC12,JC12,,,,,,,,,,,,,,,,,,,,,,left_only
176,SS15A,SS15A,,,,,,,,,,,,,,,,,,,,,,left_only
177,ROSWELL 01,ROSWELL 01,,,,,,,,,,,,,,,,,,,,,,left_only
178,RW02,RW02,,,,,,,,,,,,,,,,,,,,,,left_only
179,RW10,RW10,,,,,,,,,,,,,,,,,,,,,,left_only
180,RW15,RW15,,,,,,,,,,,,,,,,,,,,,,left_only
181,RW01,RW01,,,,,,,,,,,,,,,,,,,,,,left_only
182,RW03,RW03,,,,,,,,,,,,,,,,,,,,,,left_only
188,LOST MOUNTAIN 02,LOST MOUNTAIN 02,,,,,,,,,,,,,,,,,,,,,,left_only
189,FORD 01,FORD 01,,,,,,,,,,,,,,,,,,,,,,left_only
190,DURHAM 01,DURHAM 01,,,,,,,,,,,,,,,,,,,,,,left_only
191,KEMP 03,KEMP 03,,,,,,,,,,,,,,,,,,,,,,left_only
192,FREY 01,FREY 01,,,,,,,,,,,,,,,,,,,,,,left_only
193,LOST MOUNTAIN 04,LOST MOUNTAIN 04,,,,,,,,,,,,,,,,,,,,,,left_only
194,MARS HILL 01,MARS HILL 01,,,,,,,,,,,,,,,,,,,,,,left_only
195,LEWIS 01,LEWIS 01,,,,,,,,,,,,,,,,,,,,,,left_only
210,FULLERS PARK 01,FULLERS PARK 01,,,,,,,,,,,,,,,,,,,,,,left_only
211,SEWELL MILL 01,SEWELL MILL 01,,,,,,,,,,,,,,,,,,,,,,left_only
212,MURDOCK 01,MURDOCK 01,,,,,,,,,,,,,,,,,,,,,,left_only
213,MT BETHEL 04,MOUNT BETHEL 04,,,,,,,,,,,,,,,,,,,,,,left_only
214,EASTSIDE 01,EASTSIDE 01,,,,,,,,,,,,,,,,,,,,,,left_only
215,DODGEN 01,DODGEN 01,,,,,,,,,,,,,,,,,,,,,,left_only
216,CHESTNUT RIDGE 01,CHESTNUT RIDGE 01,,,,,,,,,,,,,,,,,,,,,,left_only
217,ROSWELL 02,ROSWELL 02,,,,,,,,,,,,,,,,,,,,,,left_only
218,WADE GREEN 02,WADE GREEN 02,,,,,,,,,,,,,,,,,,,,,,left_only
219,BIG SHANTY 02,BIG SHANTY 02,,,,,,,,,,,,,,,,,,,,,,left_only
220,PITNER 01,PITNER 01,,,,,,,,,,,,,,,,,,,,,,left_only
221,CHALKER 01,CHALKER 01,,,,,,,,,,,,,,,,,,,,,,left_only
222,PALMER 01,PALMER 01,,,,,,,,,,,,,,,,,,,,,,left_only
223,BELLS FERRY 03,BELLS FERRY 03,,,,,,,,,,,,,,,,,,,,,,left_only
224,03E,03E,,,,,,,,,,,,,,,,,,,,,,left_only
225,04J,04J,,,,,,,,,,,,,,,,,,,,,,left_only
226,03L,03L,,,,,,,,,,,,,,,,,,,,,,left_only
227,03M,03M,,,,,,,,,,,,,,,,,,,,,,left_only
228,03N,03N,,,,,,,,,,,,,,,,,,,,,,left_only
229,09G1,09G,,,,,,,,,,,,,,,,,,,,,,left_only
230,09G2,09G,,,,,,,,,,,,,,,,,,,,,,left_only
231,09H,09H,,,,,,,,,,,,,,,,,,,,,,left_only
232,08M,08M,,,,,,,,,,,,,,,,,,,,,,left_only
