,Unnamed: 0,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct,Precinct,County,rep_votes,dem_votes,total,rep_p,dem_p,_merge
447,447.0,4065829.0,1.78,1325.0,12109L,12109L,09L,09L,60.0,FULTON,121.0,black,40094.0606534,09L,,,,,,,,left_only
452,452.0,4074331.0,0.75,1357.0,12112C,12112C,12C,12C,60.0,FULTON,121.0,black,41225.9998394,12C,,,,,,,,left_only
474,474.0,4295661.0,1.89,564.0,067LA01,067LA01,LA01,LASSITER 01,33.0,COBB,67.0,white,135333.297273,LASSITER 01,,,,,,,,left_only
476,476.0,4295798.0,1.7,619.0,067RM01,067RM01,RM01,ROCKY MOUNT 01,33.0,COBB,67.0,white,107844.870771,ROCKY MOUNT 01,,,,,,,,left_only
541,541.0,4661698.0,1.03,964.0,089WA,089WA,WA,WADSWORTH ELEM,44.0,DEKALB,89.0,black,39815.870019,WADSWORTH ELEM,,,,,,,,left_only
558,558.0,4683453.0,1.39,893.0,089MM,089MM,MM,MEMORIAL NORTH,44.0,DEKALB,89.0,black,43097.1164635,MEMORIAL NORTH,,,,,,,,left_only
560,560.0,4683587.0,1.3,954.0,089SS,089SS,SS,SNAPFINGER ROAD S,44.0,DEKALB,89.0,black,60566.2389816,SNAPFINGER ROAD S,,,,,,,,left_only
562,562.0,4683697.0,2.57,889.0,089MI,089MI,MI,MIDDLE GROVE MIDDLE,44.0,DEKALB,89.0,black,47983.0366455,MIDDLE GROVE MIDDLE,,,,,,,,left_only
571,571.0,4678058.0,0.34,826.0,089CT,089CT,CT,COVINGTON HWY,44.0,DEKALB,89.0,black,27600.0000297,COVINGTON HWY,,,,,,,,left_only
576,576.0,4678332.0,1.08,817.0,089CK,089CK,CK,CLARKSTON (CLA),44.0,DEKALB,89.0,black,37306.7694379,CLARKSTON LA),,,,,,,,left_only
614,614.0,4891022.0,0.9,877.0,089LD,089LD,LD,LITHONIA (LIT),44.0,DEKALB,89.0,black,48247.0,LITHONIA IT),,,,,,,,left_only
628,628.0,4592246.0,0.07,1213.0,12101I,12101I,01I,01I,60.0,FULTON,121.0,black,34378.0001593,01I,,,,,,,,left_only
652,652.0,4696390.0,0.26,916.0,089PE,089PE,PE,PINE LAKE (PIN),44.0,DEKALB,89.0,black,42070.0496019,PINE LAKE IN),,,,,,,,left_only
656,656.0,4696648.0,1.08,881.0,089MA,089MA,MA,MILLER-ELDRIDGE L MI,44.0,DEKALB,89.0,black,61031.4152713,MILLER-ELDRIDGE L MI,,,,,,,,left_only
672,672.0,4627411.0,0.36,866.0,089JA,089JA,JA,JOHNSON ESTATES (ATL,44.0,DEKALB,89.0,white,36435.5899204,JOHNSON ESTATES TL,,,,,,,,left_only
677,677.0,4817585.0,1.83,944.0,089SI,089SI,SI,STN MTN MIDDLE,44.0,DEKALB,89.0,black,44447.773362,STN MTN MIDDLE,,,,,,,,left_only
680,680.0,4817787.0,2.57,943.0,089SH,089SH,SH,SMOKE RISE,44.0,DEKALB,89.0,white,117152.875737,SMOKE RISE,,,,,,,,left_only
686,686.0,4702799.0,0.74,951.0,089SP,089SP,SP,STONE MTN CHAMPION (,44.0,DEKALB,89.0,black,43995.228424,STONE MTN CHAMPION,,,,,,,,left_only
687,687.0,4702875.0,0.89,952.0,089SQ,089SQ,SQ,STONE MTN LIBRARY (S,44.0,DEKALB,89.0,black,64377.0594466,STONE MTN LIBRARY,,,,,,,,left_only
695,695.0,4790699.0,0.56,1392.0,121AP12C,121AP12C,AP12C,AP12D,60.0,FULTON,121.0,,85109.9573477,AP12D,,,,,,,,left_only
706,706.0,4829298.0,0.83,972.0,089WL,089WL,WL,WINTERS CHAPEL (DUN),44.0,DEKALB,89.0,white,126049.575239,WINTERS CHAPEL UN),,,,,,,,left_only
714,714.0,4732722.0,0.84,970.0,089WJ,089WJ,WJ,WOODWARD ELEM (BHAVN,44.0,DEKALB,89.0,,91628.9954277,WOODWARD ELEM HAVN,,,,,,,,left_only
715,715.0,4732788.0,0.56,821.0,089CO,089CO,CO,CROSS KEYS HIGH (BHA,44.0,DEKALB,89.0,,103435.932886,CROSS KEYS HIGH HA,,,,,,,,left_only
719,719.0,4733030.0,0.59,798.0,089BE,089BE,BE,BRIARWOOD (BHAVN),44.0,DEKALB,89.0,hispanic,83551.484499,BRIARWOOD HAVN),,,,,,,,left_only
720,720.0,4733080.0,0.75,802.0,089BI,089BI,BI,BROOKHAVEN (BHAVN),44.0,DEKALB,89.0,white,123167.521961,BROOKHAVEN HAVN),,,,,,,,left_only
721,721.0,4733144.0,1.34,940.0,089SE,089SE,SE,SILVER LAKE (BHAVN),44.0,DEKALB,89.0,white,120886.597542,SILVER LAKE HAVN),,,,,,,,left_only
722,722.0,4733206.0,0.74,941.0,089SF,089SF,SF,SKYLAND (BHAVN),44.0,DEKALB,89.0,,101731.994626,SKYLAND HAVN),,,,,,,,left_only
735,735.0,4617526.0,1.13,837.0,089EA,089EA,EA,EAST LAKE (ATL),44.0,DEKALB,89.0,black,79382.0158026,EAST LAKE TL),,,,,,,,left_only
737,737.0,4631418.0,0.68,911.0,089OK,089OK,OK,OAKHURST (DEC),44.0,DEKALB,89.0,white,106164.804212,OAKHURST EC),,,,,,,,left_only
738,738.0,4631496.0,0.43,935.0,089RN,089RN,RN,RENFROE MIDDLE (DEC),44.0,DEKALB,89.0,white,106721.992146,RENFROE MIDDLE EC),,,,,,,,left_only
739,739.0,4631548.0,0.53,918.0,089PG,089PG,PG,PONCE DE LEON (DEC),44.0,DEKALB,89.0,white,91336.453884,PONCE DE LEON EC),,,,,,,,left_only
740,740.0,4631608.0,0.68,827.0,089CV,089CV,CV,CLAIREMONT EAST (DEC,44.0,DEKALB,89.0,white,94575.0664381,CLAIREMONT EAST EC,,,,,,,,left_only
742,742.0,4631725.0,0.6,852.0,089GA,089GA,GA,GLENNWOOD (DEC),44.0,DEKALB,89.0,white,109095.808889,GLENNWOOD EC),,,,,,,,left_only
743,743.0,4631808.0,0.64,815.0,089CI,089CI,CI,CLAIREMONT WEST (DEC,44.0,DEKALB,89.0,white,109860.295873,CLAIREMONT WEST EC,,,,,,,,left_only
748,748.0,4556112.0,3.14,1371.0,12112T,12112T,12T,12T,60.0,FULTON,121.0,black,32949.4699222,12T,,,,,,,,left_only
752,752.0,4672384.0,1.28,793.0,089AI,089AI,AI,AVONDALE HIGH,44.0,DEKALB,89.0,white,86539.3731549,AVONDALE HIGH,,,,,,,,left_only
753,753.0,4672469.0,1.13,790.0,089AE,089AE,AE,AVONDALE (AVO),44.0,DEKALB,89.0,white,74514.5410651,AVONDALE VO),,,,,,,,left_only
770,770.0,4667042.0,0.87,953.0,089SR,089SR,SR,SNAPFINGER ROAD N,44.0,DEKALB,89.0,black,44471.7333448,SNAPFINGER ROAD N,,,,,,,,left_only
773,773.0,4567958.0,4.24,804.0,089BL,089BL,BL,BOULDERCREST ROAD,44.0,DEKALB,89.0,black,67348.9990567,BOULDERCREST ROAD,,,,,,,,left_only
786,786.0,4578796.0,0.37,1207.0,12101C2,12101C2,01C2,01C2,60.0,FULTON,121.0,black,35120.0000431,01C2,,,,,,,,left_only
796,796.0,4622583.0,0.84,820.0,089CN,089CN,CN,COAN MIDDLE (ATL),44.0,DEKALB,89.0,white,56069.8578966,COAN MIDDLE TL),,,,,,,,left_only
797,797.0,4622648.0,0.95,839.0,089EE,089EE,EE,EPWORTH (ATL),44.0,DEKALB,89.0,white,64047.6932682,EPWORTH TL),,,,,,,,left_only
799,799.0,4622800.0,1.04,795.0,089BB,089BB,BB,BOULEVARD (ATL),44.0,DEKALB,89.0,white,52449.3895367,BOULEVARD TL),,,,,,,,left_only
802,802.0,4611813.0,0.98,806.0,089BR,089BR,BR,BURGESS ELEM (ATL),44.0,DEKALB,89.0,white,56858.983108,BURGESS ELEM TL),,,,,,,,left_only
803,803.0,4611903.0,0.96,900.0,089MT,089MT,MT,METROPOLITAN (ATL),44.0,DEKALB,89.0,white,55994.556887,METROPOLITAN TL),,,,,,,,left_only
805,805.0,4612062.0,0.89,958.0,089TA,089TA,TA,TERRY MILL,44.0,DEKALB,89.0,black,49803.0111423,TERRY MILL,,,,,,,,left_only
818,818.0,4778505.0,1.12,869.0,089KB,089KB,KB,KINGSLEY ELEM (DUN),44.0,DEKALB,89.0,white,131053.188751,KINGSLEY ELEM UN),,,,,,,,left_only
821,821.0,4778745.0,1.86,1491.0,121RW21A,121RW21A,RW21A,RW21A,60.0,FULTON,121.0,white,163434.327627,RW21A,,,,,,,,left_only
824,824.0,4805805.0,3.2,829.0,089DA,089DA,DA,DORAVILLE NORTH (DOR,44.0,DEKALB,89.0,,51380.957949,DORAVILLE NORTH OR,,,,,,,,left_only
826,826.0,4805984.0,0.91,908.0,089NF,089NF,NF,NORTH PEACHTREE (DUN,44.0,DEKALB,89.0,,68242.5858185,NORTH PEACHTREE UN,,,,,,,,left_only
833,833.0,4835631.0,0.19,1492.0,121RW21B,121RW21B,RW21B,RW21B,60.0,FULTON,121.0,white,215870.515805,RW21B,,,,,,,,left_only
845,845.0,4823455.0,1.43,1677.0,13520,13520,20,PINKCNEYVILLE A,67.0,GWINNETT,135.0,hispanic,48121.3441719,PINKCNEYVILLE A,,,,,,,,left_only
851,851.0,4800733.0,0.83,830.0,089DB,089DB,DB,DORAVILLE SOUTH (DOR,44.0,DEKALB,89.0,,50535.0285842,DORAVILLE SOUTH OR,,,,,,,,left_only
853,853.0,4842566.0,0.07,1447.0,121JC18B,121JC18B,JC18B,JC18B,60.0,FULTON,121.0,white,117149.0,JC18B,,,,,,,,left_only
854,854.0,4842586.0,0.11,1445.0,121JC17,121JC17,JC17,JC17,60.0,FULTON,121.0,white,117142.980528,JC17,,,,,,,,left_only
865,865.0,4743771.0,1.09,792.0,089AH,089AH,AH,ASHFORD PARKSIDE (BH,44.0,DEKALB,89.0,white,94373.329923,ASHFORD PARKSIDE H,,,,,,,,left_only
866,866.0,4743841.0,1.46,901.0,089MU,089MU,MU,MONTGOMERY  (BHAVN),44.0,DEKALB,89.0,white,59718.1137412,MONTGOMERY  HAVN),,,,,,,,left_only
867,867.0,4743895.0,0.95,873.0,089KG,089KG,KG,KITTREDGE ELEM (BHAV,44.0,DEKALB,89.0,white,64576.1341072,KITTREDGE ELEM HAV,,,,,,,,left_only
