,ID,AREA,DATA,DISTRICT,CTYSOSID,PRECINCT_I,PRECINCT_N,COUNTY,COUNTY_NAM,FIPS2,income_race_precincts_race,income_race_precincts_avg_income,ajc_precinct
92,1068024,7.56,470,063LJ3,063LJ3,LJ3,LOVEJOY 3,31,CLAYTON,63,black,66907.0979587,LOVEJOY 3
93,1068127,6.59,468,063LJ1,063LJ1,LJ1,LOVEJOY 1,31,CLAYTON,63,black,50463.5165331,LOVEJOY 1
94,1068221,4.84,469,063LJ2,063LJ2,LJ2,LOVEJOY 2,31,CLAYTON,63,black,59069.9955964,LOVEJOY 2
95,1068289,1.42,453,063JB05,063JB05,JB05,JONESBORO 5,31,CLAYTON,63,black,62825.0,JONESBORO 5
96,1068337,3.61,462,063JB14,063JB14,JB14,JONESBORO 14,31,CLAYTON,63,black,66969.206291,JONESBORO 14
97,5075546,4.55,1804,135147,135147,147,BAYCREEK I,67,GWINNETT,135,,90842.5664644,BAYCREEK I
98,5075606,7.52,1737,13580,13580,80,BAYCREEK C,67,GWINNETT,135,,84393.7784348,BAYCREEK C
99,5075667,2.27,1747,13590,13590,90,LAWRENCEVILLE I,67,GWINNETT,135,,57021.6103245,LAWRENCEVILLE I
100,5075729,2.33,1742,13585,13585,85,LAWRENCEVILLE H,67,GWINNETT,135,white,88378.1611122,LAWRENCEVILLE H
101,5075788,1.38,1789,135132,135132,132,LAWRENCEVILLE K,67,GWINNETT,135,white,87845.014055,LAWRENCEVILLE K
102,5075831,4.06,1717,13560,13560,60,LAWRENCEVILLE D,67,GWINNETT,135,,62617.0986675,LAWRENCEVILLE D
103,5075925,3.18,1699,13542,13542,42,LAWRENCEVILLE C,67,GWINNETT,135,white,86150.1992045,LAWRENCEVILLE C
104,5219882,4.27,1666,1359,1359,9,PUCKETTS A,67,GWINNETT,135,white,80975.999975,PUCKETTS A
105,5220026,4.39,1792,135135,135135,135,PUCKETTS C,67,GWINNETT,135,white,90506.7657347,PUCKETTS C
106,5093428,6.33,1660,1353,1353,3,DACULA,67,GWINNETT,135,white,88376.2428555,DACULA
107,5093509,2.43,1809,135152,135152,152,ROCKYCREEK C,67,GWINNETT,135,white,92688.0017271,ROCKYCREEK C
108,5093552,2.39,1794,135137,135137,137,ROCKYCREEK B,67,GWINNETT,135,white,80511.0777688,ROCKYCREEK B
109,5093594,3.01,1811,135154,135154,154,PUCKETTS D,67,GWINNETT,135,white,80791.9673805,PUCKETTS D
110,5093659,3.03,1665,1358,1358,8,DUNCANS A,67,GWINNETT,135,white,110889.981861,DUNCANS A
111,5093729,1.6,1670,13513,13513,13,DUNCANS C,67,GWINNETT,135,white,111087.0,DUNCANS C
112,5093769,4.15,1479,121RW09,121RW09,RW09,RW09,60,FULTON,121,white,176443.563528,RW09
113,5066269,3.41,1765,135108,135108,108,BAYCREEK E,67,GWINNETT,135,,80886.0366707,BAYCREEK E
114,5066342,5.08,1802,135145,135145,145,BAYCREEK G,67,GWINNETT,135,white,76761.3788658,BAYCREEK G
115,5066508,7.92,1803,135146,135146,146,BAYCREEK H,67,GWINNETT,135,white,82443.0556252,BAYCREEK H
116,5066591,3.41,1748,13591,13591,91,BAYCREEK D,67,GWINNETT,135,white,94098.1579451,BAYCREEK D
117,5521053,11.28,1790,135133,135133,133,HARBINS B,67,GWINNETT,135,white,82440.026504,HARBINS B
118,5521161,7.04,1685,13528,13528,28,ROCKYCREEK A,67,GWINNETT,135,white,103858.05682,ROCKYCREEK A
119,5521221,6.29,1786,135129,135129,129,DUNCANS B,67,GWINNETT,135,white,111273.950701,DUNCANS B
120,5646016,7.06,1696,13539,13539,39,DUNCANS D,67,GWINNETT,135,white,111722.999983,DUNCANS D
121,4973944,4.4,1761,135104,135104,104,ROCKBRIDGE F,67,GWINNETT,135,black,74483.9951314,ROCKBRIDGE F
122,4974009,3.91,1733,13576,13576,76,ROCKBRIDGE D,67,GWINNETT,135,black,74483.9999396,ROCKBRIDGE D
123,4974227,1.42,1709,13552,13552,52,BERKSHIRE G,67,GWINNETT,135,white,86326.5441964,BERKSHIRE G
124,5511983,13.74,1658,1351,1351,1,HARBINS A,67,GWINNETT,135,white,77447.9999908,HARBINS A
125,5512082,5.93,1808,135151,135151,151,HARBINS C,67,GWINNETT,135,white,77448.0000003,HARBINS C
126,4313752,1.3,649,067WL01,067WL01,WL01,WILLEO 01,33,COBB,67,white,136873.844336,WILEO 01
127,4785216,0.25,1477,121RW07B,121RW07B,RW07B,RW07B,60,FULTON,121,hispanic,45170.9301991,RW07B
128,4785253,0.45,1380,121AP03,121AP03,AP03,AP03,60,FULTON,121,,57454.0000093,AP03
129,4785283,2.73,1474,121RW05,121RW05,RW05,RW05,60,FULTON,121,,58003.9855617,RW05
130,4785367,1.4,1377,121AP021,121AP021,AP021,AP021,60,FULTON,121,white,110781.941078,AP021
131,4785430,1.25,1475,121RW06,121RW06,RW06,RW06,60,FULTON,121,white,93606.2385029,RW06
132,4785484,2.31,1484,121RW13,121RW13,RW13,RW13,60,FULTON,121,white,103843.601204,RW13
133,4785583,1.55,1375,121AP01D,121AP01D,AP01D,AP01D,60,FULTON,121,white,81158.1907624,AP01D
134,4785645,0.86,1379,121AP02B,121AP02B,AP02B,AP02B,60,FULTON,121,,61654.999889,AP02B
135,4785688,1.73,1378,121AP022,121AP022,AP022,AP022,60,FULTON,121,,61655.0002753,AP022
136,4785752,0.81,1373,121AP01B,121AP01B,AP01B,AP01B,60,FULTON,121,,84909.9999854,AP01B
137,4036274,1.44,488,063RD01,063RD01,RD01,RIVERDALE 1,31,CLAYTON,63,black,59697.5995614,RIVERDALE 1
138,4036334,1.45,490,063RD03,063RD03,RD03,RIVERDALE 3,31,CLAYTON,63,black,48284.7791155,RIVERDALE 3
