,county,dem_votes,precinct,rep_votes,total,prop
1006,DOUGHERTY,627,Litman Cathedral,26,653,0.0398162327718
917,DEKALB,1296,PRINCETON ELEM,54,1350,0.04
269,CHATHAM,1532,2-04 Fellowship of Love,64,1596,0.0401002506266
1480,FULTON,1691,SC09A,71,1762,0.0402951191827
1487,FULTON,3791,SC15,160,3951,0.0404960769425
815,DEKALB,919,CLIFTON ELEM,39,958,0.0407098121086
1490,FULTON,626,SC17C,27,653,0.04134762634
941,DEKALB,1186,SNAPFINGER ROAD NORTH,52,1238,0.0420032310178
914,DEKALB,911,PINEY GROVE,40,951,0.0420609884332
921,DEKALB,1427,REDAN ROAD,63,1490,0.0422818791946
1326,FULTON,226,10I,10,236,0.0423728813559
928,DEKALB,2145,ROCKBRIDGE ROAD,97,2242,0.0432649420161
1232,FULTON,857,03E,39,896,0.0435267857143
1345,FULTON,2309,12A,106,2415,0.0438923395445
968,DEKALB,3149,WOODROW ROAD,145,3294,0.0440194292653
2343,RICHMOND,1042,607,48,1090,0.0440366972477
864,DEKALB,802,KELLEY CHAPEL ROAD,37,839,0.0441001191895
1243,FULTON,689,03T,32,721,0.0443828016644
1347,FULTON,538,12E1,25,563,0.044404973357
802,DEKALB,1533,CANDLER,72,1605,0.0448598130841
934,DEKALB,2464,SHADOW ROCK ELEM,116,2580,0.0449612403101
944,DEKALB,1890,SOUTH HAIRSTON,89,1979,0.044972208186
1541,FULTON,1656,UC01A,78,1734,0.0449826989619
925,DEKALB,1508,ROCK CHAPEL ELEM,72,1580,0.0455696202532
790,DEKALB,1106,BOULDERCREST RD,53,1159,0.0457290767903
1000,DOUGHERTY,1752,Westtown Elem School,84,1836,0.0457516339869
2165,MUSCOGEE,2925,MT. PILGRIM,141,3066,0.045988258317
477,CLAYTON,1573,RIVERDALE 2,76,1649,0.0460885385082
878,DEKALB,1686,MATHIS-BOB MATHIS ELEM,83,1769,0.0469191633691
1353,FULTON,1259,12K,62,1321,0.0469341408024
823,DEKALB,1569,CROSSROADS,78,1647,0.0473588342441
1389,FULTON,20,CP04,1,21,0.047619047619
1237,FULTON,200,03L,10,210,0.047619047619
96,BIBB,1993,EAST MACON 2,100,2093,0.0477783086479
891,DEKALB,1730,MILLER-ELDRIDGE L. MILLER ELEM,87,1817,0.0478811227298
1018,DOUGHERTY,653,Lamar Reese Elem School,33,686,0.0481049562682
1399,FULTON,3211,EP03,163,3374,0.0483106105513
1264,FULTON,59,05C,3,62,0.0483870967742
920,DEKALB,1376,REDAN MIDDLE,70,1446,0.0484094052559
98,BIBB,1229,EAST MACON 4,63,1292,0.0487616099071
478,CLAYTON,1674,RIVERDALE 3,86,1760,0.0488636363636
1008,DOUGHERTY,368,Turner Elem School,19,387,0.0490956072351
2162,MUSCOGEE,2412,CUSSETA RD,125,2537,0.0492707922743
1478,FULTON,347,SC08F,18,365,0.0493150684932
438,CLAYTON,2014,JONESBORO 2,108,2122,0.0508953817154
713,COOK,261,Elm Pine,14,275,0.0509090909091
2327,RICHMOND,1232,401,67,1299,0.0515781370285
821,DEKALB,349,COVINGTON HWY LIBRARY,19,368,0.0516304347826
785,DEKALB,1101,AUSTIN DRIVE,60,1161,0.0516795865633
1208,FULTON,364,01H,20,384,0.0520833333333
1403,FULTON,341,FA01B,19,360,0.0527777777778
2516,TROUP,1142,GRIGGS CENTER,64,1206,0.0530679933665
852,DEKALB,1756,GRESHAM ROAD,99,1855,0.0533692722372
1485,FULTON,1440,SC13,82,1522,0.053876478318
279,CHATHAM,772,3-04 First African Baptist,44,816,0.0539215686275
506,COBB,2450,Bryant 02,140,2590,0.0540540540541
